[KJV | EN | OT | Joshua | Chapter 19 | Verse 1] And the second lot came forth to Simeon, even for the tribe of the children of Simeon according to their families: and their inheritance was within the inheritance of the children of Judah.
[KJV | EN | OT | Joshua | Chapter 19 | Verse 2] And they had in their inheritance Beer-sheba, or Sheba, and Moladah,
[KJV | EN | OT | Joshua | Chapter 19 | Verse 3] and Hazar-shual, and Balah, and Azem,
[KJV | EN | OT | Joshua | Chapter 19 | Verse 4] and Eltolad, and Bethul, and Hormah,
[KJV | EN | OT | Joshua | Chapter 19 | Verse 5] and Ziklag, and Beth-marcaboth, and Hazar-susah,
[KJV | EN | OT | Joshua | Chapter 19 | Verse 6] and Beth-lebaoth, and Sharuhen; thirteen cities and their villages:
[KJV | EN | OT | Joshua | Chapter 19 | Verse 7] Ain, Remmon, and Ether, and Ashan; four cities and their villages:
[KJV | EN | OT | Joshua | Chapter 19 | Verse 8] and all the villages that were round about these cities to Baalath-beer, Ramath of the south. This is the inheritance of the tribe of the children of Simeon according to their families.
[KJV | EN | OT | Joshua | Chapter 19 | Verse 9] Out of the portion of the children of Judah was the inheritance of the children of Simeon: for the part of the children of Judah was too much for them: therefore the children of Simeon had their inheritance within the inheritance of them.
[KJV | EN | OT | Joshua | Chapter 19 | Verse 10] And the third lot came up for the children of Zebulun according to their families: and the border of their inheritance was unto Sarid:
[KJV | EN | OT | Joshua | Chapter 19 | Verse 11] and their border went up toward the sea, and Maralah, and reached to Dabbasheth, and reached to the river that is before Jokneam;
[KJV | EN | OT | Joshua | Chapter 19 | Verse 12] and turned from Sarid eastward toward the sunrising unto the border of Chisloth-tabor, and then goeth out to Daberath, and goeth up to Japhia,
[KJV | EN | OT | Joshua | Chapter 19 | Verse 13] and from thence passeth on along on the east to Gittah-hepher, to Ittah-kazin, and goeth out to Remmon-methoar to Neah;
[KJV | EN | OT | Joshua | Chapter 19 | Verse 14] and the border compasseth it on the north side to Hannathon: and the outgoings thereof are in the valley of Jiphthah-el:
[KJV | EN | OT | Joshua | Chapter 19 | Verse 15] and Kattath, and Nahallal, and Shimron, and Idalah, and Beth-lehem: twelve cities with their villages.
[KJV | EN | OT | Joshua | Chapter 19 | Verse 16] This is the inheritance of the children of Zebulun according to their families, these cities with their villages.
[KJV | EN | OT | Joshua | Chapter 19 | Verse 17] And the fourth lot came out to Issachar, for the children of Issachar according to their families.
[KJV | EN | OT | Joshua | Chapter 19 | Verse 18] And their border was toward Jezreel, and Chesulloth, and Shunem,
[KJV | EN | OT | Joshua | Chapter 19 | Verse 19] and Hapharaim, and Shion, and Anaharath,
[KJV | EN | OT | Joshua | Chapter 19 | Verse 20] and Rabbith, and Kishion, and Abez,
[KJV | EN | OT | Joshua | Chapter 19 | Verse 21] and Remeth, and En-gannim, and En-haddah, and Beth-pazzez;
[KJV | EN | OT | Joshua | Chapter 19 | Verse 22] and the coast reacheth to Tabor, and Shahazimah, and Beth-shemesh; and the outgoings of their border were at Jordan: sixteen cities with their villages.
[KJV | EN | OT | Joshua | Chapter 19 | Verse 23] This is the inheritance of the tribe of the children of Issachar according to their families, the cities and their villages.
[KJV | EN | OT | Joshua | Chapter 19 | Verse 24] And the fifth lot came out for the tribe of the children of Asher according to their families.
[KJV | EN | OT | Joshua | Chapter 19 | Verse 25] And their border was Helkath, and Hali, and Beten, and Achshaph,
[KJV | EN | OT | Joshua | Chapter 19 | Verse 26] and Alammelech, and Amad, and Misheal; and reacheth to Carmel westward, and to Shihor-libnath;
[KJV | EN | OT | Joshua | Chapter 19 | Verse 27] and turneth toward the sunrising to Beth-dagon, and reacheth to Zebulun, and to the valley of Jiphthah-el toward the north side of Beth-emek, and Neiel, and goeth out to Cabul on the left hand,
[KJV | EN | OT | Joshua | Chapter 19 | Verse 28] and Hebron, and Rehob, and Hammon, and Kanah, even unto great Zidon;
[KJV | EN | OT | Joshua | Chapter 19 | Verse 29] and then the coast turneth to Ramah, and to the strong city Tyre; and the coast turneth to Hosah; and the outgoings thereof are at the sea from the coast to Achzib:
[KJV | EN | OT | Joshua | Chapter 19 | Verse 30] Ummah also, and Aphek, and Rehob: twenty and two cities with their villages.
[KJV | EN | OT | Joshua | Chapter 19 | Verse 31] This is the inheritance of the tribe of the children of Asher according to their families, these cities with their villages.
[KJV | EN | OT | Joshua | Chapter 19 | Verse 32] The sixth lot came out to the children of Naphtali, even for the children of Naphtali according to their families.
[KJV | EN | OT | Joshua | Chapter 19 | Verse 33] And their coast was from Heleph, from Allon to Zaanannim, and Adami, Nekeb, and Jabneel, unto Lakum; and the outgoings thereof were at Jordan:
[KJV | EN | OT | Joshua | Chapter 19 | Verse 34] and then the coast turneth westward to Aznoth-tabor, and goeth out from thence to Hukkok, and reacheth to Zebulun on the south side, and reacheth to Asher on the west side, and to Judah upon Jordan toward the sunrising.
[KJV | EN | OT | Joshua | Chapter 19 | Verse 35] And the fenced cities are Ziddim, Zer, and Hammath, Rakkath, and Chinnereth,
[KJV | EN | OT | Joshua | Chapter 19 | Verse 36] and Adamah, and Ramah, and Hazor,
[KJV | EN | OT | Joshua | Chapter 19 | Verse 37] and Kedesh, and Edrei, and En-hazor,
[KJV | EN | OT | Joshua | Chapter 19 | Verse 38] and Iron, and Migdal-el, Horem, and Beth-anath, and Beth-shemesh; nineteen cities with their villages.
[KJV | EN | OT | Joshua | Chapter 19 | Verse 39] This is the inheritance of the tribe of the children of Naphtali according to their families, the cities and their villages.
[KJV | EN | OT | Joshua | Chapter 19 | Verse 40] And the seventh lot came out for the tribe of the children of Dan according to their families.
[KJV | EN | OT | Joshua | Chapter 19 | Verse 41] And the coast of their inheritance was Zorah, and Eshtaol, and Ir-shemesh,
[KJV | EN | OT | Joshua | Chapter 19 | Verse 42] and Shaalabbin, and Aijalon, and Jethlah,
[KJV | EN | OT | Joshua | Chapter 19 | Verse 43] and Elon, and Thimnathah, and Ekron,
[KJV | EN | OT | Joshua | Chapter 19 | Verse 44] and Eltekeh, and Gibbethon, and Baalath,
[KJV | EN | OT | Joshua | Chapter 19 | Verse 45] and Jehud, and Bene-berak, and Gath-rimmon,
[KJV | EN | OT | Joshua | Chapter 19 | Verse 46] and Me-jarkon, and Rakkon, with the border before Japho.
[KJV | EN | OT | Joshua | Chapter 19 | Verse 47] And the coast of the children of Dan went out too little for them: therefore the children of Dan went up to fight against Leshem, and took it, and smote it with the edge of the sword, and possessed it, and dwelt therein, and called Leshem, Dan, after the name of Dan their father.
[KJV | EN | OT | Joshua | Chapter 19 | Verse 48] This is the inheritance of the tribe of the children of Dan according to their families, these cities with their villages.
[KJV | EN | OT | Joshua | Chapter 19 | Verse 49] When they had made an end of dividing the land for inheritance by their coasts, the children of Israel gave an inheritance to Joshua the son of Nun among them:
[KJV | EN | OT | Joshua | Chapter 19 | Verse 50] according to the word of the Lord they gave him the city which he asked, even Timnath-serah in mount Ephraim: and he built the city, and dwelt therein.
[KJV | EN | OT | Joshua | Chapter 19 | Verse 51] These are the inheritances, which Eleazar the priest, and Joshua the son of Nun, and the heads of the fathers of the tribes of the children of Israel, divided for an inheritance by lot in Shiloh before the Lord, at the door of the tabernacle of the congregation. So they made an end of dividing the country.
