[KJV | EN | NT | Galatians | Chapter 1 | Verse 1] Paul, an apostle, (not of men, neither by man, but by Jesus Christ, and God the Father, who raised him from the dead;)
[KJV | EN | NT | Galatians | Chapter 1 | Verse 2] and all the brethren which are with me, unto the churches of Galatia:
[KJV | EN | NT | Galatians | Chapter 1 | Verse 3] grace be to you and peace from God the Father, and from our Lord Jesus Christ,
[KJV | EN | NT | Galatians | Chapter 1 | Verse 4] who gave himself for our sins, that he might deliver us from this present evil world, according to the will of God and our Father:
[KJV | EN | NT | Galatians | Chapter 1 | Verse 5] to whom be glory for ever and ever. Amen.
[KJV | EN | NT | Galatians | Chapter 1 | Verse 6] I marvel that you are so soon removed from him that called you into the grace of Christ unto another gospel:
[KJV | EN | NT | Galatians | Chapter 1 | Verse 7] which is not another; but there be some that trouble you, and would pervert the gospel of Christ.
[KJV | EN | NT | Galatians | Chapter 1 | Verse 8] But though we, or an angel from heaven, preach any other gospel unto you than that which we have preached unto you, let him be accursed.
[KJV | EN | NT | Galatians | Chapter 1 | Verse 9] As we said before, so say I now again, If any man preach any other gospel unto you than that ye have received, let him be accursed.
[KJV | EN | NT | Galatians | Chapter 1 | Verse 10] For do I now persuade men, or God? or do I seek to please men? for if I yet pleased men, I should not be the servant of Christ.
[KJV | EN | NT | Galatians | Chapter 1 | Verse 11] But I certify you, brethren, that the gospel which was preached of me is not after man.
[KJV | EN | NT | Galatians | Chapter 1 | Verse 12] For I neither received it of man, neither was I taught it, but by the revelation of Jesus Christ.
[KJV | EN | NT | Galatians | Chapter 1 | Verse 13] For ye have heard of my conversation in time past in the Jews’ religion, how that beyond measure I persecuted the church of God, and wasted it:
[KJV | EN | NT | Galatians | Chapter 1 | Verse 14] and profited in the Jews’ religion above many my equals in mine own nation, being more exceedingly zealous of the traditions of my fathers.
[KJV | EN | NT | Galatians | Chapter 1 | Verse 15] But when it pleased God, who separated me from my mother’s womb, and called me by his grace,
[KJV | EN | NT | Galatians | Chapter 1 | Verse 16] to reveal his Son in me, that I might preach him among the heathen; immediately I conferred not with flesh and blood:
[KJV | EN | NT | Galatians | Chapter 1 | Verse 17] neither went I up to Jerusalem to them which were apostles before me: but I went into Arabia, and returned again unto Damascus.
[KJV | EN | NT | Galatians | Chapter 1 | Verse 18] Then after three years I went up to Jerusalem to see Peter, and abode with him fifteen days.
[KJV | EN | NT | Galatians | Chapter 1 | Verse 19] But other of the apostles saw I none, save James the Lord’s brother.
[KJV | EN | NT | Galatians | Chapter 1 | Verse 20] Now the things which I write unto you, behold, before God, I lie not.
[KJV | EN | NT | Galatians | Chapter 1 | Verse 21] Afterwards I came into the regions of Syria and Cilicia;
[KJV | EN | NT | Galatians | Chapter 1 | Verse 22] and was unknown by face unto the churches of Judea which were in Christ:
[KJV | EN | NT | Galatians | Chapter 1 | Verse 23] but they had heard only, That he which persecuted us in times past now preacheth the faith which once he destroyed.
[KJV | EN | NT | Galatians | Chapter 1 | Verse 24] And they glorified God in me.
