[SBLGNT | EL | NT | John | Chapter 9 | Verse 1] Καὶ παράγων εἶδεν ἄνθρωπον τυφλὸν ἐκ γενετῆς.
[SBLGNT | EL | NT | John | Chapter 9 | Verse 2] καὶ ἠρώτησαν αὐτὸν οἱ μαθηταὶ αὐτοῦ λέγοντες· Ῥαββί, τίς ἥμαρτεν, οὗτος ἢ οἱ γονεῖς αὐτοῦ, ἵνα τυφλὸς γεννηθῇ;
[SBLGNT | EL | NT | John | Chapter 9 | Verse 3] ἀπεκρίθη Ἰησοῦς· Οὔτε οὗτος ἥμαρτεν οὔτε οἱ γονεῖς αὐτοῦ, ἀλλʼ ἵνα φανερωθῇ τὰ ἔργα τοῦ θεοῦ ἐν αὐτῷ.
[SBLGNT | EL | NT | John | Chapter 9 | Verse 4] ⸀ἡμᾶς δεῖ ἐργάζεσθαι τὰ ἔργα τοῦ πέμψαντός με ἕως ἡμέρα ἐστίν· ἔρχεται νὺξ ὅτε οὐδεὶς δύναται ἐργάζεσθαι.
[SBLGNT | EL | NT | John | Chapter 9 | Verse 5] ὅταν ἐν τῷ κόσμῳ ὦ, φῶς εἰμι τοῦ κόσμου.
[SBLGNT | EL | NT | John | Chapter 9 | Verse 6] ταῦτα εἰπὼν ἔπτυσεν χαμαὶ καὶ ἐποίησεν πηλὸν ἐκ τοῦ πτύσματος, καὶ ⸀ἐπέχρισεν ⸀αὐτοῦ τὸν πηλὸν ἐπὶ τοὺς ⸀ὀφθαλμούς,
[SBLGNT | EL | NT | John | Chapter 9 | Verse 7] καὶ εἶπεν αὐτῷ· Ὕπαγε νίψαι εἰς τὴν κολυμβήθραν τοῦ Σιλωάμ (ὃ ἑρμηνεύεται Ἀπεσταλμένος). ἀπῆλθεν οὖν καὶ ἐνίψατο, καὶ ἦλθεν βλέπων.
[SBLGNT | EL | NT | John | Chapter 9 | Verse 8] οἱ οὖν γείτονες καὶ οἱ θεωροῦντες αὐτὸν τὸ πρότερον ὅτι ⸀προσαίτης ἦν ἔλεγον· Οὐχ οὗτός ἐστιν ὁ καθήμενος καὶ προσαιτῶν;
[SBLGNT | EL | NT | John | Chapter 9 | Verse 9] ἄλλοι ἔλεγον ὅτι Οὗτός ἐστιν· ἄλλοι ⸂ἔλεγον· Οὐχί, ἀλλὰ⸃ ὅμοιος αὐτῷ ἐστιν. ἐκεῖνος ἔλεγεν ὅτι Ἐγώ εἰμι.
[SBLGNT | EL | NT | John | Chapter 9 | Verse 10] ἔλεγον οὖν αὐτῷ· ⸀Πῶς ἠνεῴχθησάν σου οἱ ὀφθαλμοί;
[SBLGNT | EL | NT | John | Chapter 9 | Verse 11] ἀπεκρίθη ⸀ἐκεῖνος· ⸂Ὁ ἄνθρωπος ὁ⸃ λεγόμενος Ἰησοῦς πηλὸν ἐποίησεν καὶ ἐπέχρισέν μου τοὺς ὀφθαλμοὺς καὶ εἶπέν μοι ⸀ὅτι Ὕπαγε εἰς ⸀τὸν Σιλωὰμ καὶ νίψαι· ἀπελθὼν ⸀οὖν καὶ νιψάμενος ἀνέβλεψα.
