[SBLGNT | EL | NT | John | Chapter 21 | Verse 1] Μετὰ ταῦτα ἐφανέρωσεν ἑαυτὸν πάλιν ⸀ὁ Ἰησοῦς τοῖς μαθηταῖς ἐπὶ τῆς θαλάσσης τῆς Τιβεριάδος· ἐφανέρωσεν δὲ οὕτως.
[SBLGNT | EL | NT | John | Chapter 21 | Verse 2] ἦσαν ὁμοῦ Σίμων Πέτρος καὶ Θωμᾶς ὁ λεγόμενος Δίδυμος καὶ Ναθαναὴλ ὁ ἀπὸ Κανὰ τῆς Γαλιλαίας καὶ οἱ τοῦ Ζεβεδαίου καὶ ἄλλοι ἐκ τῶν μαθητῶν αὐτοῦ δύο.
[SBLGNT | EL | NT | John | Chapter 21 | Verse 3] λέγει αὐτοῖς Σίμων Πέτρος· Ὑπάγω ἁλιεύειν· λέγουσιν αὐτῷ· Ἐρχόμεθα καὶ ἡμεῖς σὺν σοί. ἐξῆλθον καὶ ἐνέβησαν εἰς τὸ ⸀πλοῖον, καὶ ἐν ἐκείνῃ τῇ νυκτὶ ἐπίασαν οὐδέν.
[SBLGNT | EL | NT | John | Chapter 21 | Verse 4] Πρωΐας δὲ ἤδη ⸀γενομένης ⸀ἔστη Ἰησοῦς εἰς τὸν αἰγιαλόν· οὐ μέντοι ᾔδεισαν οἱ μαθηταὶ ὅτι Ἰησοῦς ἐστιν.
[SBLGNT | EL | NT | John | Chapter 21 | Verse 5] λέγει οὖν αὐτοῖς ⸀ὁ Ἰησοῦς· Παιδία, μή τι προσφάγιον ἔχετε; ἀπεκρίθησαν αὐτῷ· Οὔ.
[SBLGNT | EL | NT | John | Chapter 21 | Verse 6] ὁ δὲ εἶπεν αὐτοῖς· Βάλετε εἰς τὰ δεξιὰ μέρη τοῦ πλοίου τὸ δίκτυον, καὶ εὑρήσετε. ἔβαλον οὖν, καὶ οὐκέτι αὐτὸ ἑλκύσαι ⸀ἴσχυον ἀπὸ τοῦ πλήθους τῶν ἰχθύων.
[SBLGNT | EL | NT | John | Chapter 21 | Verse 7] λέγει οὖν ὁ μαθητὴς ἐκεῖνος ὃν ἠγάπα ὁ Ἰησοῦς τῷ Πέτρῳ· Ὁ κύριός ἐστιν. Σίμων οὖν Πέτρος, ἀκούσας ὅτι ὁ κύριός ἐστιν, τὸν ἐπενδύτην διεζώσατο, ἦν γὰρ γυμνός, καὶ ἔβαλεν ἑαυτὸν εἰς τὴν θάλασσαν·
[SBLGNT | EL | NT | John | Chapter 21 | Verse 8] οἱ δὲ ἄλλοι μαθηταὶ τῷ πλοιαρίῳ ἦλθον, οὐ γὰρ ἦσαν μακρὰν ἀπὸ τῆς γῆς ἀλλὰ ὡς ἀπὸ πηχῶν διακοσίων, σύροντες τὸ δίκτυον τῶν ἰχθύων.
[SBLGNT | EL | NT | John | Chapter 21 | Verse 9] Ὡς οὖν ἀπέβησαν εἰς τὴν γῆν βλέπουσιν ἀνθρακιὰν κειμένην καὶ ὀψάριον ἐπικείμενον καὶ ἄρτον.
[SBLGNT | EL | NT | John | Chapter 21 | Verse 10] λέγει αὐτοῖς ὁ Ἰησοῦς· Ἐνέγκατε ἀπὸ τῶν ὀψαρίων ὧν ἐπιάσατε νῦν.
[SBLGNT | EL | NT | John | Chapter 21 | Verse 11] ἀνέβη ⸀οὖν Σίμων Πέτρος καὶ εἵλκυσεν τὸ δίκτυον ⸂εἰς τὴν γῆν⸃ μεστὸν ἰχθύων μεγάλων ἑκατὸν πεντήκοντα τριῶν· καὶ τοσούτων ὄντων οὐκ ἐσχίσθη τὸ δίκτυον.
