[SBLGNT | EL | NT | John | Chapter 16 | Verse 1] Ταῦτα λελάληκα ὑμῖν ἵνα μὴ σκανδαλισθῆτε.
[SBLGNT | EL | NT | John | Chapter 16 | Verse 2] ἀποσυναγώγους ποιήσουσιν ὑμᾶς· ἀλλʼ ἔρχεται ὥρα ἵνα πᾶς ὁ ἀποκτείνας ὑμᾶς δόξῃ λατρείαν προσφέρειν τῷ θεῷ.
[SBLGNT | EL | NT | John | Chapter 16 | Verse 3] καὶ ταῦτα ποιήσουσιν ὅτι οὐκ ἔγνωσαν τὸν πατέρα οὐδὲ ἐμέ.
[SBLGNT | EL | NT | John | Chapter 16 | Verse 4] ἀλλὰ ταῦτα λελάληκα ὑμῖν ἵνα ὅταν ἔλθῃ ἡ ὥρα ⸀αὐτῶν μνημονεύητε ⸁αὐτῶν ὅτι ἐγὼ εἶπον ὑμῖν. Ταῦτα δὲ ὑμῖν ἐξ ἀρχῆς οὐκ εἶπον, ὅτι μεθʼ ὑμῶν ἤμην.
[SBLGNT | EL | NT | John | Chapter 16 | Verse 5] νῦν δὲ ὑπάγω πρὸς τὸν πέμψαντά με καὶ οὐδεὶς ἐξ ὑμῶν ἐρωτᾷ με· Ποῦ ὑπάγεις;
[SBLGNT | EL | NT | John | Chapter 16 | Verse 6] ἀλλʼ ὅτι ταῦτα λελάληκα ὑμῖν ἡ λύπη πεπλήρωκεν ὑμῶν τὴν καρδίαν.
[SBLGNT | EL | NT | John | Chapter 16 | Verse 7] ἀλλʼ ἐγὼ τὴν ἀλήθειαν λέγω ὑμῖν, συμφέρει ὑμῖν ἵνα ἐγὼ ἀπέλθω. ἐὰν ⸀γὰρ μὴ ἀπέλθω, ὁ παράκλητος ⸂οὐ μὴ ἔλθῃ⸃ πρὸς ὑμᾶς· ἐὰν δὲ πορευθῶ, πέμψω αὐτὸν πρὸς ὑμᾶς.
[SBLGNT | EL | NT | John | Chapter 16 | Verse 8] καὶ ἐλθὼν ἐκεῖνος ἐλέγξει τὸν κόσμον περὶ ἁμαρτίας καὶ περὶ δικαιοσύνης καὶ περὶ κρίσεως·
[SBLGNT | EL | NT | John | Chapter 16 | Verse 9] περὶ ἁμαρτίας μέν, ὅτι οὐ πιστεύουσιν εἰς ἐμέ·
[SBLGNT | EL | NT | John | Chapter 16 | Verse 10] περὶ δικαιοσύνης δέ, ὅτι πρὸς τὸν ⸀πατέρα ὑπάγω καὶ οὐκέτι θεωρεῖτέ με·
[SBLGNT | EL | NT | John | Chapter 16 | Verse 11] περὶ δὲ κρίσεως, ὅτι ὁ ἄρχων τοῦ κόσμου τούτου κέκριται.
[SBLGNT | EL | NT | John | Chapter 16 | Verse 12] Ἔτι πολλὰ ἔχω ⸂ὑμῖν λέγειν⸃, ἀλλʼ οὐ δύνασθε βαστάζειν ἄρτι·
[SBLGNT | EL | NT | John | Chapter 16 | Verse 13] ὅταν δὲ ἔλθῃ ἐκεῖνος, τὸ πνεῦμα τῆς ἀληθείας, ὁδηγήσει ὑμᾶς ⸂ἐν τῇ ἀληθείᾳ πάσῃ⸃, οὐ γὰρ λαλήσει ἀφʼ ἑαυτοῦ, ἀλλʼ ὅσα ⸀ἀκούσει λαλήσει, καὶ τὰ ἐρχόμενα ἀναγγελεῖ ὑμῖν.
[SBLGNT | EL | NT | John | Chapter 16 | Verse 14] ἐκεῖνος ἐμὲ δοξάσει, ὅτι ἐκ τοῦ ἐμοῦ λήμψεται καὶ ἀναγγελεῖ ὑμῖν.
[SBLGNT | EL | NT | John | Chapter 16 | Verse 15] πάντα ὅσα ἔχει ὁ πατὴρ ἐμά ἐστιν· διὰ τοῦτο εἶπον ὅτι ἐκ τοῦ ἐμοῦ λαμβάνει καὶ ἀναγγελεῖ ὑμῖν.
[SBLGNT | EL | NT | John | Chapter 16 | Verse 16] Μικρὸν καὶ ⸀οὐκέτι θεωρεῖτέ με, καὶ πάλιν μικρὸν καὶ ὄψεσθέ ⸀με.
[SBLGNT | EL | NT | John | Chapter 16 | Verse 17] εἶπαν οὖν ἐκ τῶν μαθητῶν αὐτοῦ πρὸς ἀλλήλους· Τί ἐστιν τοῦτο ὃ λέγει ἡμῖν· Μικρὸν καὶ οὐ θεωρεῖτέ με, καὶ πάλιν μικρὸν καὶ ὄψεσθέ με; καί· ⸀Ὅτι ὑπάγω πρὸς τὸν πατέρα;
[SBLGNT | EL | NT | John | Chapter 16 | Verse 18] ἔλεγον οὖν· ⸂Τί ἐστιν τοῦτο⸃ ὃ ⸀λέγει μικρόν; οὐκ οἴδαμεν τί λαλεῖ.
[SBLGNT | EL | NT | John | Chapter 16 | Verse 19] ⸀ἔγνω Ἰησοῦς ὅτι ἤθελον αὐτὸν ἐρωτᾶν, καὶ εἶπεν αὐτοῖς· Περὶ τούτου ζητεῖτε μετʼ ἀλλήλων ὅτι εἶπον· Μικρὸν καὶ οὐ θεωρεῖτέ με, καὶ πάλιν μικρὸν καὶ ὄψεσθέ με;
