[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 1] Woe unto thee, Babylon, and Asia! woe unto thee, Egypt, and Syria!
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 2] Gird up yourselves with sackcloth and garments of hair, and bewail your children, and lament; for your destruction is at hand.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 3] A sword is sent upon you, and who is he that may turn it back?
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 4] A fire is sent upon you, and who is he that may quench it?
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 5] Evils are sent upon you, and who is he that may drive them away?
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 6] May one drive away a hungry lion in the wood? or may one quench the fire in stubble, when it hath once begun to burn?
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 7] May one turn again the arrow that is shot of a strong archer?
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 8] The Lord God sendeth the evils, and who shall drive them away?
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 9] A fire shall go forth from his wrath, and who is he that may quench it?
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 10] He shall cast lightning, and who shall not fear? he shall thunder, and who shall not tremble?
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 11] The Lord shall threaten, and who shall not be utterly broken in pieces at his presence?
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 12] The earth quaketh, and the foundations thereof; the sea ariseth up with waves from the deep, and the waves of it shall be troubled, and the fish thereof also, at the presence of the Lord, and before the glory of his power:
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 13] for strong is his right hand that bendeth the bow, his arrows that he shooteth are sharp, and shall not miss, when they begin to be shot into the ends of the world.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 14] Behold, the evils are sent forth, and shall not return again, until they come upon the earth.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 15] The fire is kindled, and shall not be put out, till it consume the foundations of the earth.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 16] Like as an arrow which is shot of a mighty archer returneth not backward, even so the evils that are sent forth upon earth shall not return again.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 17] Woe is me! woe is me! who will deliver me in those days?
