[ASV | EN | OT | 2 Esdras | Chapter 7 | Verse 1] And when I had made an end of speaking these words, there was sent unto me the angel who had been sent unto me the nights afore:
[ASV | EN | OT | 2 Esdras | Chapter 7 | Verse 2] and he said unto me, Up, Ezra, and hear the words that I am come to tell thee.
[ASV | EN | OT | 2 Esdras | Chapter 7 | Verse 3] And I said, Speak on, my Lord. Then he said unto me, There is a sea set in a wide place, that it might be broad and vast.
[ASV | EN | OT | 2 Esdras | Chapter 7 | Verse 4] But the entrance thereof shall be set in a narrow place so as to be like a river;
[ASV | EN | OT | 2 Esdras | Chapter 7 | Verse 5] whoso then should desire to go into the sea to look upon it, or to rule it, if he went not through the narrow, how could he come into the broad?
[ASV | EN | OT | 2 Esdras | Chapter 7 | Verse 6] Another thing also: There is a city built and set in a plain country, and full of all good things;
[ASV | EN | OT | 2 Esdras | Chapter 7 | Verse 7] but the entrance thereof is narrow, and is set in a dangerous place to fall, having a fire on the right hand, and on the left a deep water:
[ASV | EN | OT | 2 Esdras | Chapter 7 | Verse 8] and there is one only path between them both, even between the fire and the water, so small that there could but one man go there at once.
[ASV | EN | OT | 2 Esdras | Chapter 7 | Verse 9] If this city now be given unto a man for an inheritance, if the heir pass not the danger before him, how shall he receive his inheritance?
[ASV | EN | OT | 2 Esdras | Chapter 7 | Verse 10] And I said, It is so, Lord. Then said he unto me, Even so also is Israel’s portion.
[ASV | EN | OT | 2 Esdras | Chapter 7 | Verse 11] Because for their sakes I made the world: and when Adam transgressed my statutes, then was decreed that now is done.
[ASV | EN | OT | 2 Esdras | Chapter 7 | Verse 12] Then were the entrances of this world made narrow, and sorrowful and toilsome: they are but few and evil, full of perils, and charged with great toils.
[ASV | EN | OT | 2 Esdras | Chapter 7 | Verse 13] For the entrances of the greater world are wide and sure, and bring forth fruit of immortality.
[ASV | EN | OT | 2 Esdras | Chapter 7 | Verse 14] If then they that live enter not these strait and vain things, they can never receive those that are laid up for them.
[ASV | EN | OT | 2 Esdras | Chapter 7 | Verse 15] Now therefore why disquietest thou thyself, seeing thou art but a corruptible man? and why art thou moved, whereas thou art but mortal?
[ASV | EN | OT | 2 Esdras | Chapter 7 | Verse 16] and why hast thou not considered in thy mind that which is to come, rather than that which is present?
[ASV | EN | OT | 2 Esdras | Chapter 7 | Verse 17] Then answered I and said, O Lord that bearest rule, lo, thou hast ordained in thy law, that the righteous should inherit these things, but that the ungodly should perish.
