[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 1] And it came to pass, while the lion spake these words unto the eagle, I beheld,
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 2] and, lo, the head that remained appeared no more, and the two wings which went over unto it arose and set themselves up to reign, and their kingdom was small, and full of uproar.
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 3] And I beheld, and, lo, they appeared no more, and the whole body of the eagle was burnt, so that the earth was in great fear: then awoke I by reason of great ecstasy of mind, and from great fear, and said unto my spirit,
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 4] Lo, this hast thou done unto me, in that thou searchest out the ways of the Most High.
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 5] Lo, I am yet weary in my mind, and very weak in my spirit; nor is there the least strength in me, for the great fear wherewith I was affrighted this night.
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 6] Therefore will I now beseech the Most High, that he will strengthen me unto the end.
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 7] And I said, O Lord that bearest rule, if I have found favor in thy sight, and if I am justified with thee above many others, and if my prayer indeed be come up before thy face;
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 8] strengthen me then, and show me thy servant the interpretation and plain meaning of this fearful vision, that thou mayest perfectly comfort my soul.
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 9] For thou hast judged me worthy to show me the end of time and the last times.
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 10] And he said unto me, This is the interpretation of this vision which thou sawest:
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 11] The eagle, whom thou sawest come up from the sea, is the fourth kingdom which appeared in vision to thy brother Daniel.
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 12] But it was not expounded unto him, as I now expound it unto thee or have expounded it.
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 13] Behold, the days come, that there shall rise up a kingdom upon earth, and it shall be feared above all the kingdoms that were before it.
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 14] In the same shall twelve kings reign, one after another:
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 15] whereof the second shall begin to reign, and shall have a longer time than any of the twelve.
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 16] This is the interpretation of the twelve wings, which thou sawest.
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 17] And whereas thou heardest a voice which spake, not going out from the heads, but from the midst of the body thereof, this is the interpretation:
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 18] That after the time of that kingdom there shall arise no small contentions, and it shall stand in peril of falling: nevertheless it shall not then fall, but shall be restored again to its first estate.
