[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 1] And it came to pass after seven days, I dreamed a dream by night:
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 2] and, lo, there arose a wind from the sea, that it moved all the waves thereof.
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 3] And I beheld, and, lo, this wind caused to come up from the midst of the sea as it were the likeness of a man, and I beheld, and, lo, that man flew with the clouds of heaven: and when he turned his countenance to look, all things trembled that were seen under him.
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 4] And whensoever the voice went out of his mouth, all they burned that heard his voice, like as the wax melteth when it feeleth the fire.
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 5] And after this I beheld, and, lo, there was gathered together a multitude of men, without number, from the four winds of heaven, to make war against the man that came out of the sea.
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 6] And I beheld, and, lo, he graved himself a great mountain, and flew upon it.
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 7] But I sought to see the region or place whereout the mountain was graven, and I could not.
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 8] And after this I beheld, and, lo, all they that were gathered together to fight against him were sore afraid, and yet dared fight.
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 9] And, lo, as he saw the assault of the multitude that came, he neither lifted up his hand, nor held spear, nor any instrument of war:
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 10] but only I saw how that he sent out of his mouth as it had been a flood of fire, and out of his lips a flaming breath, and out of his tongue he cast forth sparks of the storm.
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 11] And these were all mingled together; the flood of fire, the flaming breath, and the great storm; and fell upon the assault of the multitude which was prepared to fight, and burned them up every one, so that upon a sudden of an innumerable multitude nothing was to be perceived, but only dust of ashes and smell of smoke: when I saw this I was amazed.
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 12] Afterward I beheld the same man come down from the mountain, and call unto him another multitude which was peaceable.
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 13] And there came much people unto him, whereof some were glad, some were sorry, some of them were bound, and other some brought of them that were offered: then through great fear I awoke, and prayed unto the Most High, and said,
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 14] Thou hast shown thy servant these wonders from the beginning, and hast counted me worthy that thou shouldest receive my prayer:
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 15] and now show me moreover the interpretation of this dream.
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 16] For as I conceive in mine understanding, woe unto them that shall be left in those days! and much more woe unto them that are not left!
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 17] for they that were not left shall be in heaviness,
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 18] understanding the things that are laid up in the latter days, but not attaining unto them.
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 19] But woe unto them also that are left, for this cause; for they shall see great perils and many necessities, like as these dreams declare.
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 20] Yet is it better for one to be in peril and to come into these things, than to pass away as a cloud out of the world, and not to see the things that shall happen in the last days. And he answered unto me, and said,
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 21] The interpretation of the vision shall I tell thee, and I will also open unto thee the things whereof thou hast made mention.
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 22] Whereas thou hast spoken of them that are left behind, this is the interpretation:
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 23] He that shall endure the peril in that time shall keep them that be fallen into danger, even such as have works, and faith toward the Almighty.
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 24] Know therefore, that they that are left behind are more blessed than they that are dead.
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 25] These are the interpretations of the vision: Whereas thou sawest a man coming up from the midst of the sea,
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 26] the same is he whom the Most High hath kept a great season, who by his own self shall deliver his creature: and he shall order them that are left behind.
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 27] And whereas thou sawest, that out of his mouth there came wind, and fire, and storm;
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 28] and whereas he held neither spear, nor any instrument of war, but destroyed the assault of that multitude which came to fight against him; this is the interpretation:
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 29] Behold, the days come, when the Most High will begin to deliver them that are upon the earth.
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 30] And there shall come astonishment of mind upon them that dwell on the earth.
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 31] And one shall think to war against another, city against city, place against place, people against people, and kingdom against kingdom.
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 32] And it shall be, when these things shall come to pass, and the signs shall happen which I showed thee before, then shall my Son be revealed, whom thou sawest as a man ascending.
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 33] And it shall be, when all the nations hear his voice, every man shall leave his own land and the battle they have one against another.
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 34] And an innumerable multitude shall be gathered together, as thou sawest, desiring to come, and to fight against him.
[ASV | EN | OT | 2 Esdras | Chapter 13 | Verse 35] But he shall stand upon the top of the mount Zion.
