[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 1] And it came to pass the second night that I saw a dream, and, behold, there came up from the sea an eagle, which had twelve feathered wings, and three heads.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 2] And I saw, and, behold, she spread her wings over all the earth, and all the winds of heaven blew on her, and the clouds were gathered together against her.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 3] And I beheld, and out of her wings there grew other wings over against them; and they became little wings and small.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 4] But her heads were at rest: the head in the midst was greater than the other heads, yet rested it with them.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 5] Moreover I beheld, and, lo, the eagle flew with her wings, to reign over the earth, and over them that dwell therein.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 6] And I beheld how that all things under heaven were subject unto her, and no man spake against her, no, not one creature upon earth.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 7] And I beheld, and, lo, the eagle rose upon her talons, and uttered her voice to her wings, saying,
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 8] Watch not all at once: sleep every one in his own place, and watch by course:
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 9] but let the heads be preserved for the last.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 10] And I beheld, and, lo, the voice went not out of her heads, but from the midst of her body.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 11] And I numbered her wings that were over against the other, and, behold, there were eight of them.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 12] And I beheld, and, lo, on the right side there arose one wing, and reigned over all the earth;
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 13] and so it was, that when it reigned, the end of it came, and it appeared not, so that the place thereof appeared no more: and the next following rose up, and reigned, and it bare rule a great time;
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 14] and it happened, that when it reigned, the end of it came also, so that it appeared no more, like as the first.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 15] And, lo, there came a voice unto it, and said,
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 16] Hear thou that hast borne rule over the earth all this time: this I proclaim unto thee, before thou shalt appear no more,
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 17] There shall none after thee attain unto thy time, neither unto the half thereof.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 18] Then arose the third, and had the rule as the others before, and it also appeared no more.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 19] So went it with all the wings one after another, as that every one bare rule, and then appeared no more.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 20] And I beheld, and, lo, in process of time the wings that followed were set up upon the right side, that they might rule also; and some of them ruled, but within a while they appeared no more:
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 21] some also of them were set up, but ruled not.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 22] After this I beheld, and, lo, the twelve wings appeared no more, nor two of the little wings:
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 23] and there was no more left upon the eagle’s body, but the three heads that rested, and six little wings.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 24] And I beheld, and, lo, two little wings divided themselves from the six, and remained under the head that was upon the right side: but four remained in their place.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 25] And I beheld, and, lo, these under wings thought to set up themselves, and to have the rule.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 26] And I beheld, and, lo, there was one set up, but within a while it appeared no more.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 27] A second also, and it was sooner away than the first.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 28] And I beheld, and, lo, the two that remained thought also in themselves to reign:
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 29] and while they so thought, behold, there awoke one of the heads that were at rest, namely, it that was in the midst; for that was greater than the two other heads.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 30] And I beheld how that it joined the two other heads with it.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 31] And, behold, the head was turned with them that were with it, and did eat up the two under wings that thought to have reigned.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 32] But this head held the whole earth in possession, and bare rule over those that dwell therein with much oppression; and it had the governance of the world more than all the wings that had been.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 33] And after this I beheld, and, lo, the head also that was in the midst suddenly appeared no more, like as the wings.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 34] But there remained the two heads, which also in like sort reigned over the earth, and over those that dwell therein.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 35] And I beheld, and, lo, the head upon the right side devoured it that was upon the left side.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 36] Then I heard a voice, which said unto me, Look before thee, and consider the thing that thou seest.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 37] And I beheld, and, lo, as it were a lion roused out of the wood roaring: and I heard how that he sent out a man’s voice unto the eagle, and spake, saying,
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 38] Hear thou, I will talk with thee, and the Most High shall say unto thee,
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 39] Art not thou it that remainest of the four beasts, whom I made to reign in my world, that the end of my times might come through them?
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 40] And the fourth came, and overcame all the beasts that were past, and held the world in governance with great trembling, and the whole compass of the earth with grievous oppression; and so long time dwelt he upon the earth with deceit.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 41] And thou hast judged the earth, but not with truth.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 42] For thou hast afflicted the meek, thou hast hurt the peaceable, thou hast hated them that speak truth, thou hast loved liars, and destroyed the dwellings of them that brought forth fruit, and cast down the walls of such as did thee no harm.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 43] Therefore is thy insolent dealing come up unto the Most High, and thy pride unto the Mighty.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 44] The Most High also hath looked upon his times, and, behold, they are ended, and his ages are fulfilled.
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 45] And therefore appear no more, thou eagle, nor thy horrible wings, nor thy evil little wings, nor thy cruel heads, nor thy hurtful talons, nor all thy vain body:
[ASV | EN | OT | 2 Esdras | Chapter 11 | Verse 46] that all the earth may be refreshed, and be eased, being delivered from thy violence, and that she may hope for the judgment and mercy of him that made her.
