[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 1] And he answered me, and said, The Most High hath made this world for many, but the world to come for few.
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 2] I will tell thee now a similitude, Ezra; As when thou asketh the earth, it shall say unto thee, that it giveth very much mold whereof earthen vessels are made, and little dust that gold cometh of: even so is the course of the present world.
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 3] There are many created, but few shall be saved.
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 4] And I answered and said, Swallow down understanding then, O my soul, and let my heart devour wisdom.
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 5] For thou art come hither without thy will, and departest when thou wouldest not: for there is given thee no longer space than only to live a short time.
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 6] O Lord, that art over us, suffer thy servant, that we may pray before thee, and give us seed unto our heart, and culture to our understanding, that there may come fruit of it, whereby every one shall live that is corrupt, who beareth the likeness of a man.
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 7] For thou art alone, and we all one workmanship of thy hands, like as thou hast said.
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 8] Forasmuch as thou quickenest the body that is fashioned now in the womb, and givest it members, thy creature is preserved in fire and water, and nine months doth thy workmanship endure thy creature which is created in her.
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 9] But that which keepeth and that which is kept shall both be kept by thy keeping: and when the womb giveth up again that which hath grown in it,
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 10] thou hast commanded that out of the parts of the body, that is to say, out of the breasts, be given milk, which is the fruit of the breasts,
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 11] that the thing which is fashioned may be nourished for a time, and afterward thou shalt order it in thy mercy.
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 12] Yea, thou hast brought it up in thy righteousness, and nurtured it in thy law, and corrected it with thy judgment.
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 13] And thou shalt mortify it as thy creature, and quicken it as thy work.
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 14] If therefore thou shalt lightly and suddenly destroy him who with so great labor was fashioned by thy commandment, to what purpose was he made?
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 15] Now therefore I will speak; touching man in general, thou knowest best; but touching thy people will I speak, for whose sake I am sorry;
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 16] and for thine inheritance, for whose cause I mourn; and for Israel, for whom I am heavy; and for the seed of Jacob, for whose sake I am troubled;
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 17] therefore will I begin to pray before thee for myself and for them: for I see the falls of us that dwell in the land;
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 18] but I have heard the swiftness of the judgment which is to come.
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 19] Therefore hear my voice, and understand my saying, and I will speak before thee. The beginning of the words of Ezra, before he was taken up. And he said,
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 20] O Lord, thou that abidest forever, whose eyes are exalted, and whose chambers are in the air;
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 21] whose throne is inestimable; whose glory may not be comprehended; before whom the hosts of angels stand with trembling,
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 22] at whose bidding they are changed to wind and fire; whose word is sure, and sayings constant; whose ordinance is strong, and commandment fearful;
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 23] whose look drieth up the depths, and whose indignation maketh the mountains to melt away, and whose truth beareth witness:
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 24] hear, O Lord, the prayer of thy servant, and give ear to the petition of thy handiwork;
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 25] attend unto my words, for so long as I live I will speak, and so long as I have understanding I will answer.
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 26] O look not upon the sins of thy people; but on them that have served thee in truth,
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 27] Regard not the doings of them that deal wickedly, but of them that have kept thy covenants in affliction.
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 28] Think not upon those that have walked feignedly before thee; but remember them that have willingly known thy fear.
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 29] Let it not be thy will to destroy them that have lived like cattle; but look upon them that have clearly taught thy law.
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 30] Take thou no indignation at them that are deemed worse than beasts; but love them that have always put their trust in thy glory.
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 31] For we and our fathers have passed our lives in ways that bring death: but thou because of us sinners art called merciful.
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 32] For if thou hast a desire to have mercy upon us, then shalt thou be called merciful, to us, namely, that have no works of righteousness.
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 33] For the just, who have many good works laid up with thee, shall for their own deeds receive reward.
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 34] For what is man, that thou shouldest take displeasure at him? or what is a corruptible race, that thou shouldest be so bitter toward it?
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 35] For in truth there is no man among them that is born, but he hath dealt wickedly; and among them that have lived there is none that hath not done amiss.
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 36] For in this, O Lord, thy righteousness and thy goodness shall be declared, if thou be merciful unto them that have no store of good works.
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 37] Then answered he me, and said, Some things hast thou spoken aright, and according unto thy words so shall it come to pass.
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 38] For indeed I will not think on the fashioning of them that have sinned, or their death, their judgment, or their destruction;
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 39] but I will rejoice over the framing of the righteous, their pilgrimage also, and the salvation, and the reward, that they shall have.
[ASV | EN | OT | 2 Esdras | Chapter 8 | Verse 40] Like therefore as I have spoken, so shall it be.
