[VANDYKE | AR | OT | Isaiah | Chapter 46 | Verse 1] قَدْ جَثَا بِيلُ، ٱنْحَنَى نَبُو. صَارَتْ تَمَاثِيلُهُمَا عَلَى ٱلْحَيَوَانَاتِ وَٱلْبَهَائِمِ. مَحْمُولَاتُكُمْ مُحَمَّلَةٌ حِمْلًا لِلْمُعْيِي.
[VANDYKE | AR | OT | Isaiah | Chapter 46 | Verse 2] قَدِ ٱنْحَنَتْ. جَثَتْ مَعًا. لَمْ تَقْدِرْ أَنْ تُنَجِّيَ ٱلْحِمْلَ، وَهِيَ نَفْسُهَا قَدْ مَضَتْ فِي ٱلسَّبْيِ.
[VANDYKE | AR | OT | Isaiah | Chapter 46 | Verse 3] «اِسْمَعُوا لِي يَا بَيْتَ يَعْقُوبَ وَكُلَّ بَقِيَّةِ بَيْتِ إِسْرَائِيلَ، ٱلْمُحَمَّلِينَ عَلَيَّ مِنَ ٱلْبَطْنِ، ٱلْمَحْمُولِينَ مِنَ ٱلرَّحِمِ.
[VANDYKE | AR | OT | Isaiah | Chapter 46 | Verse 4] وَإِلَى ٱلشَّيْخُوخَةِ أَنَا هُوَ، وَإِلَى ٱلشَّيْبَةِ أَنَا أَحْمِلُ. قَدْ فَعَلْتُ، وَأَنَا أَرْفَعُ، وَأَنَا أَحْمِلُ وَأُنَجِّي.
[VANDYKE | AR | OT | Isaiah | Chapter 46 | Verse 5] بِمَنْ تُشَبِّهُونَنِي وَتُسَوُّونَنِي وَتُمَثِّلُونَنِي لِنَتَشَابَهَ؟.
[VANDYKE | AR | OT | Isaiah | Chapter 46 | Verse 6] «اَلَّذِينَ يُفْرِغُونَ ٱلذَّهَبَ مِنَ ٱلْكِيسِ، وَٱلْفِضَّةَ بِٱلْمِيزَانِ يَزِنُونَ. يَسْتَأْجِرُونَ صَائِغًا لِيَصْنَعَهَا إِلَهًا، يَخُرُّونَ وَيَسْجُدُونَ!
[VANDYKE | AR | OT | Isaiah | Chapter 46 | Verse 7] يَرْفَعُونَهُ عَلَى ٱلْكَتِفِ. يَحْمِلُونَهُ وَيَضَعُونَهُ فِي مَكَانِهِ لِيَقِفَ. مِنْ مَوْضِعِهِ لَا يَبْرَحُ. يَزْعَقُ أَحَدٌ إِلَيْهِ فَلَا يُجِيبُ. مِنْ شِدَّتِهِ لَا يُخَلِّصُهُ.
[VANDYKE | AR | OT | Isaiah | Chapter 46 | Verse 8] «اُذْكُرُوا هَذَا وَكُونُوا رِجَالًا. رَدِّدُوهُ فِي قُلُوبِكُمْ أَيُّهَا ٱلْعُصَاةُ.
[VANDYKE | AR | OT | Isaiah | Chapter 46 | Verse 9] اُذْكُرُوا ٱلْأَوَّلِيَّاتِ مُنْذُ ٱلْقَدِيمِ، لِأَنِّي أَنَا ٱللهُ وَلَيْسَ آخَرُ. ٱلْإِلَهُ وَلَيْسَ مِثْلِي.
[VANDYKE | AR | OT | Isaiah | Chapter 46 | Verse 10] مُخْبِرٌ مُنْذُ ٱلْبَدْءِ بِٱلْأَخِيرِ، وَمُنْذُ ٱلْقَدِيمِ بِمَا لَمْ يُفْعَلْ، قَائِلًا: رَأْيِي يَقُومُ وَأَفْعَلُ كُلَّ مَسَرَّتِي.
[VANDYKE | AR | OT | Isaiah | Chapter 46 | Verse 11] دَاعٍ مِنَ ٱلْمَشْرِقِ ٱلْكَاسِرَ، مِنْ أَرْضٍ بَعِيدَةٍ رَجُلَ مَشُورَتِي. قَدْ تَكَلَّمْتُ فَأُجْرِيهِ. قَضَيْتُ فَأَفْعَلُهُ.
[VANDYKE | AR | OT | Isaiah | Chapter 46 | Verse 12] «اِسْمَعُوا لِي يَا أَشِدَّاءَ ٱلْقُلُوبِ ٱلْبَعِيدِينَ عَنِ ٱلْبِرِّ.
[VANDYKE | AR | OT | Isaiah | Chapter 46 | Verse 13] قَدْ قَرَّبْتُ بِرِّي، لَا يَبْعُدُ. وَخَلَاصِي لَا يَتَأَخَّرُ. وَأَجْعَلُ فِي صِهْيَوْنَ خَلَاصًا، لِإِسْرَائِيلَ جَلَالِي.
