[JPS | EN | OT | Ezekiel | Chapter 28 | Verse 1] And the word of the LORD came unto me, saying:
[JPS | EN | OT | Ezekiel | Chapter 28 | Verse 2] 'Son of man, say unto the prince of Tyre: Thus saith the Lord GOD: Because thy heart is lifted up, and thou hast said: I am a god, I sit in the seat of God, in the heart of the seas; yet thou art man, and not God, though thou didst set thy heart as the heart of God —
[JPS | EN | OT | Ezekiel | Chapter 28 | Verse 3] Behold, thou art wiser than Daniel! there is no secret that they can hide from thee!
[JPS | EN | OT | Ezekiel | Chapter 28 | Verse 4] By thy wisdom and by thy discernment thou hast gotten thee riches, and hast gotten gold and silver into thy treasures;
[JPS | EN | OT | Ezekiel | Chapter 28 | Verse 5] In thy great wisdom by thy traffic hast thou increased thy riches, and thy heart is lifted up because of thy riches —
[JPS | EN | OT | Ezekiel | Chapter 28 | Verse 6] Therefore thus saith the Lord GOD: Because thou hast set thy heart as the heart of God;
[JPS | EN | OT | Ezekiel | Chapter 28 | Verse 7] Therefore, behold, I will bring strangers upon thee, the terrible of the nations; and they shall draw their swords against the beauty of thy wisdom, and they shall defile thy brightness.
[JPS | EN | OT | Ezekiel | Chapter 28 | Verse 8] They shall bring thee down to the pit; and thou shalt die the deaths of them that are slain, in the heart of the seas.
[JPS | EN | OT | Ezekiel | Chapter 28 | Verse 9] Wilt thou yet say before him that slayeth thee: I am God? But thou art man, and not God, in the hand of them that defile thee.
[JPS | EN | OT | Ezekiel | Chapter 28 | Verse 10] Thou shalt die the deaths of the uncircumcised by the hand of strangers; for I have spoken, saith the Lord GOD.'
[JPS | EN | OT | Ezekiel | Chapter 28 | Verse 11] Moreover the word of the LORD came unto me, saying:
[JPS | EN | OT | Ezekiel | Chapter 28 | Verse 12] 'Son of man, take up a lamentation for the king of Tyre, and say unto him: Thus saith the Lord GOD: Thou seal most accurate, full of wisdom, and perfect in beauty,
[JPS | EN | OT | Ezekiel | Chapter 28 | Verse 13] thou wast in Eden the garden of God; every precious stone was thy covering, the carnelian, the topaz, and the emerald, the beryl, the onyx, and the jasper, the sapphire, the carbuncle, and the smaragd, and gold; the workmanship of thy settings and of thy sockets was in thee, in the day that thou wast created they were prepared.
[JPS | EN | OT | Ezekiel | Chapter 28 | Verse 14] Thou wast the far-covering cherub; and I set thee, so that thou wast upon the holy mountain of God; thou hast walked up and down in the midst of stones of fire.
[JPS | EN | OT | Ezekiel | Chapter 28 | Verse 15] Thou wast perfect in thy ways from the day that thou wast created, till unrighteousness was found in thee.
[JPS | EN | OT | Ezekiel | Chapter 28 | Verse 16] By the multitude of thy traffic they filled the midst of thee with violence, and thou hast sinned; therefore have I cast thee as profane out of the mountain of God; and I have destroyed thee, O covering cherub, from the midst of the stones of fire.
[JPS | EN | OT | Ezekiel | Chapter 28 | Verse 17] Thy heart was lifted up because of thy beauty, thou hast corrupted thy wisdom by reason of thy brightness; I have cast thee to the ground, I have laid thee before kings, that they may gaze upon thee.
[JPS | EN | OT | Ezekiel | Chapter 28 | Verse 18] By the multitude of thine iniquities, in the unrighteousness of thy traffic, thou hast profaned thy sanctuaries; therefore have I brought forth a fire from the midst of thee, it hath devoured thee, and I have turned thee to ashes upon the earth in the sight of all them that behold thee.
[JPS | EN | OT | Ezekiel | Chapter 28 | Verse 19] All they that know thee among the peoples shall be appalled at thee; thou art become a terror, and thou shalt never be any more.'
[JPS | EN | OT | Ezekiel | Chapter 28 | Verse 20] And the word of the LORD came unto me, saying:
[JPS | EN | OT | Ezekiel | Chapter 28 | Verse 21] 'Son of man, set thy face toward Zidon, and prophesy against it,
[JPS | EN | OT | Ezekiel | Chapter 28 | Verse 22] and say: Thus saith the Lord GOD: Behold, I am against thee, O Zidon, and I will be glorified in the midst of thee; and they shall know that I am the LORD, when I shall have executed judgments in her, and shall be sanctified in her.
[JPS | EN | OT | Ezekiel | Chapter 28 | Verse 23] For I will send into her pestilence and blood in her streets; and the wounded shall fall in the midst of her by the sword upon her on every side; and they shall know that I am the LORD.
[JPS | EN | OT | Ezekiel | Chapter 28 | Verse 24] And there shall be no more a pricking brier unto the house of Israel, nor a piercing thorn of any that are round about them, that did have them in disdain; and they shall know that I am the Lord GOD.
[JPS | EN | OT | Ezekiel | Chapter 28 | Verse 25] Thus saith the Lord GOD: When I shall have gathered the house of Israel from the peoples among whom they are scattered, and shall be sanctified in them in the sight of the nations, then shall they dwell in their own land which I gave to My servant Jacob.
[JPS | EN | OT | Ezekiel | Chapter 28 | Verse 26] And they shall dwell safely therein, and shall build houses, and plant vineyards; yea, they shall dwell safely; when I have executed judgments upon all those that have them in disdain round about them; and they shall know that I am the LORD their God.'
