[JPS | EN | OT | Ezekiel | Chapter 29 | Verse 1] In the tenth year, in the tenth month, in the twelfth day of the month, the word of the LORD came unto me, saying:
[JPS | EN | OT | Ezekiel | Chapter 29 | Verse 2] 'Son of man, set thy face against Pharaoh king of Egypt, and prophesy against him, and against all Egypt;
[JPS | EN | OT | Ezekiel | Chapter 29 | Verse 3] speak, and say: Thus saith the Lord GOD: Behold, I am against thee, Pharaoh King of Egypt, the great dragon that lieth in the midst of his rivers, that hath said: My river is mine own, and I have made it for myself.
[JPS | EN | OT | Ezekiel | Chapter 29 | Verse 4] And I will put hooks in thy jaws, and I will cause the fish of thy rivers to stick unto thy scales; and I will bring thee up out of the midst of thy rivers, and all the fish of thy rivers shall stick unto thy scales.
[JPS | EN | OT | Ezekiel | Chapter 29 | Verse 5] And I will cast thee into the wilderness, thee and all the fish of thy rivers; thou shalt fall upon the open field; thou shalt not be brought together, nor gathered; to the beasts of the earth and to the fowls of the heaven have I given thee for food.
[JPS | EN | OT | Ezekiel | Chapter 29 | Verse 6] And all the inhabitants of Egypt shall know that I am the LORD, because they have been a staff of reed to the house of Israel.
[JPS | EN | OT | Ezekiel | Chapter 29 | Verse 7] When they take hold of thee with the hand, thou dost break, and rend all their shoulders; and when they lean upon thee, thou breakest, and makest all their loins to be at a stand.
[JPS | EN | OT | Ezekiel | Chapter 29 | Verse 8] Therefore thus saith the Lord GOD: Behold, I will bring a sword upon thee, and will cut off from thee man and beast.
[JPS | EN | OT | Ezekiel | Chapter 29 | Verse 9] And the land of Egypt shall be desolate and waste, and they shall know that I am the LORD; because he hath said: The river is mine, and I have made it.
[JPS | EN | OT | Ezekiel | Chapter 29 | Verse 10] Therefore, behold, I am against thee, and against thy rivers, and I will make the land of Egypt utterly waste and desolate, from Migdol to Syene even unto the border of Ethiopia.
[JPS | EN | OT | Ezekiel | Chapter 29 | Verse 11] No foot of man shall pass through it, nor foot of beast shall pass through it, neither shall it be inhabited forty years.
[JPS | EN | OT | Ezekiel | Chapter 29 | Verse 12] And I will make the land of Egypt desolate in the midst of the countries that are desolate, and her cities among the cities that are laid waste shall be desolate forty years; and I will scatter the Egyptians among the nations, and will disperse them through the countries.
[JPS | EN | OT | Ezekiel | Chapter 29 | Verse 13] For thus saith the Lord GOD: At the end of forty years will I gather the Egyptians from the peoples whither they were scattered;
[JPS | EN | OT | Ezekiel | Chapter 29 | Verse 14] and I will turn the captivity of Egypt, and will cause them to return into the land of Pathros, into the land of their origin; and they shall be there a lowly kingdom.
[JPS | EN | OT | Ezekiel | Chapter 29 | Verse 15] It shall be the lowliest of the kingdoms, neither shall it any more lift itself up above the nations; and I will diminish them, that they shall no more rule over the nations.
[JPS | EN | OT | Ezekiel | Chapter 29 | Verse 16] And it shall be no more the confidence of the house of Israel, bringing iniquity to remembrance, when they turn after them; and they shall know that I am the Lord GOD.'
[JPS | EN | OT | Ezekiel | Chapter 29 | Verse 17] And it came to pass in the seven and twentieth year, in the first month, in the first day of the month, the word of the LORD came unto me, saying:
[JPS | EN | OT | Ezekiel | Chapter 29 | Verse 18] 'Son of man, Nebuchadrezzar king of Babylon caused his army to serve a great service against Tyre; every head was made bald, and every shoulder was peeled; yet had he no wages, nor his army, from Tyre, for the service that he had served against it;
[JPS | EN | OT | Ezekiel | Chapter 29 | Verse 19] Therefore thus saith the Lord GOD: Behold, I will give the land of Egypt unto Nebuchadrezzar king of Babylon; and he shall carry off her abundance, and take her spoil, and take her prey; and it shall be the wages for his army.
[JPS | EN | OT | Ezekiel | Chapter 29 | Verse 20] I have given him the land of Egypt as his hire for which he served, because they wrought for Me, saith the Lord GOD.
[JPS | EN | OT | Ezekiel | Chapter 29 | Verse 21] In that day will I cause a horn to shoot up unto the house of Israel, and I will give thee the opening of the mouth in the midst of them; and they shall know that I am the LORD.'
