[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 1] Now these are the children of the province that went up from the captivity, of those who had been carried away, whom Nebuchadnezzar the king of Babylon had carried away to Babylon, and came again to Jerusalem and Judah, every one to his city;
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 2] Who came with Zerubbabel: Jeshua, Nehemiah, Seraiah, Reelaiah, Mordecai, Bilshan, Mizpar, Bigvai, Rehum, Baanah. The number of the men of the people of Israel:
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 3] The children of Parosh, two thousand a hundred seventy and two.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 4] The children of Shephatiah, three hundred seventy and two.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 5] The children of Arah, seven hundred seventy and five.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 6] The children of Pahath-moab, of the children of Jeshua and Joab, two thousand eight hundred and twelve.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 7] The children of Elam, a thousand two hundred fifty and four.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 8] The children of Zattu, nine hundred forty and five.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 9] The children of Zaccai, seven hundred and sixty.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 10] The children of Bani, six hundred forty and two.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 11] The children of Bebai, six hundred twenty and three.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 12] The children of Azgad, a thousand two hundred twenty and two.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 13] The children of Adonikam, six hundred sixty and six.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 14] The children of Bigvai, two thousand fifty and six.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 15] The children of Adin, four hundred fifty and four.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 16] The children of Ater of Hezekiah, ninety and eight.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 17] The children of Bezai, three hundred twenty and three.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 18] The children of Jorah, an hundred and twelve.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 19] The children of Hashum, two hundred twenty and three.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 20] The children of Gibbar, ninety and five.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 21] The children of Beth-lehem, a hundred twenty and three.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 22] The men of Netophah, fifty and six.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 23] The men of Anathoth, a hundred twenty and eight.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 24] The children of Azmaveth, forty and two.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 25] The children of Kirjath-arim, Chephirah, and Beeroth, seven hundred and forty and three.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 26] The children of Ramah and Gaba, six hundred twenty and one.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 27] The men of Michmas, a hundred twenty and two.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 28] The men of Beth-el and Ai, two hundred twenty and three.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 29] The children of Nebo, fifty and two.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 30] The children of Magbish, a hundred fifty and six.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 31] The children of the other Elam, a thousand two hundred fifty and four.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 32] The children of Harim, three hundred and twenty.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 33] The children of Lod, Hadid, and Ono, seven hundred twenty and five.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 34] The children of Jericho, three hundred forty and five.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 35] The children of Senaah, three thousand and six hundred and thirty.
