[IRV | BN | OT | Exodus | Chapter 19 | Verse 1] তৃতীয় মাসে মিশর দেশ থেকে ইস্রায়েল সন্তানরা বের হয়ে যাবার পর, সেই প্রথম দিনের ই তারা সীনয়ের মরুপ্রান্তে উপস্থিত হল।
[IRV | BN | OT | Exodus | Chapter 19 | Verse 2] তাঁরা রফীদীম থেকে যাত্রা করে সীনয়ের নির্জন মরুঅঞ্চলে উপস্থিত হলে সেই জায়গায় তারা শিবির তৈরী করল।
[IRV | BN | OT | Exodus | Chapter 19 | Verse 3] পরে মোশি ঈশ্বরের কাছে গেলেন, আর সদাপ্রভু পর্বত থেকে তাঁকে ডেকে বললেন, “তুমি যাকোবের বংশকে এবং ইস্রায়েল সন্তানদের এই কথা জানাও,
[IRV | BN | OT | Exodus | Chapter 19 | Verse 4] ‘আমি মিশরীয়দের প্রতি যা করেছি এবং যেমন ভাবে ঈগল পাখীর ডানা দিয়ে বহন করেছি এবং আমার কাছে নিয়ে এসেছি, তা তোমরা দেখেছ।
[IRV | BN | OT | Exodus | Chapter 19 | Verse 5] এখন যদি তোমরা আমার রব শোন এবং আমার নিয়মগুলি মেনে চলো, তবে তোমরা সব জাতির থেকে আমার নিজস্ব অধিকার হবে, কারণ পৃথিবীর সব কিছুই আমার;
[IRV | BN | OT | Exodus | Chapter 19 | Verse 6] আর আমার জন্য তোমরা যাজকদের এক রাজ্য এবং এক পবিত্র জাতি হবে।’ এই সব কথা গুলি তুমি অবশ্যই ইস্রায়েল সন্তানদের বলবে।”
[IRV | BN | OT | Exodus | Chapter 19 | Verse 7] তখন মোশি আসলেন এবং লোকদের প্রাচীনদেরকে ডাকলেন ও সদাপ্রভু তাঁকে যা যা আদেশ করলেন, সেই সব কথা তাঁদের সামনে উপস্থিত করলেন।
[IRV | BN | OT | Exodus | Chapter 19 | Verse 8] তাতে লোকেরা সবাই একত্রে উত্তর দিয়ে বলল, সদাপ্রভু যা কিছু বলেছেন, আমরা সবই করব। তখন মোশি সদাপ্রভুর কাছে লোকদের বিষয়ে আবেদন করলেন।
[IRV | BN | OT | Exodus | Chapter 19 | Verse 9] সদাপ্রভু মোশিকে বললেন, “দেখ, আমি ঘন মেঘে তোমার কাছে আসব, যখন তোমার সঙ্গে আমি কথা বলব লোকেরা যেন শুনতে পায় এবং তোমাতেও সর্বদা বিশ্বাস করে।” তখন মোশি লোকদের কথা সদাপ্রভুকে বললেন।
[IRV | BN | OT | Exodus | Chapter 19 | Verse 10] সদাপ্রভু মোশিকে বললেন, তুমি লোকদের কাছে গিয়ে আজ ও কাল তাঁদেরকে পবিত্র কর, (আমার আসার জন্য তাদের তৈরী কর) এবং তাঁরা নিজের নিজের কাপড় পরিষ্কার করুক,
[IRV | BN | OT | Exodus | Chapter 19 | Verse 11] আর তৃতীয় দিনের র জন্য সবাই তৈরী থাকুক; কারণ তিন দিনের র দিনের আমি সদাপ্রভু, সব লোকের সামনে সীনয় পর্বতের উপরে নেমে আসবেন।
[IRV | BN | OT | Exodus | Chapter 19 | Verse 12] আর তুমি লোকদের জন্য চারদিকে সীমানা তৈরী করে তাদের এই কথা বলো, “তোমরা সাবধান থাক যে, তোমরা পর্বতে যাবে না এবং তাঁর সীমানা স্পর্শ করো না; যে কেউ পর্বত স্পর্শ করবে তাঁর মৃত্যুদণ্ড অবশ্যই হবে।
[IRV | BN | OT | Exodus | Chapter 19 | Verse 13] কারও হাত তাকে স্পর্শ করবে না, কিন্তু সে অবশ্য পাথরের আঘাতে মারা যাবে, কিংবা তীর দিয়ে বিদ্ধ হবে; পশু হোক বা মানুষ হোক, সে বাঁচবে না। যখন বেশীক্ষণ তূরীবাদ্য হবে তাঁরা হয়তো পায়ে হেঁটে পর্বতে উঠবে।”
[IRV | BN | OT | Exodus | Chapter 19 | Verse 14] পরে মোশি পর্বত থেকে নেমে লোকদের কাছে এসে লোকদেরকে পবিত্র করলেন এবং তাঁরা নিজের নিজের কাপড় পরিষ্কার করল।
[IRV | BN | OT | Exodus | Chapter 19 | Verse 15] পরে তিনি লোকদেরকে বললেন, “তোমরা তৃতীয় দিনের র জন্য তৈরী হও; তোমার স্ত্রীর কাছে যেও না।”
