[IRV | BN | OT | Exodus | Chapter 31 | Verse 1] আর সদাপ্রভু মোশিকে বললেন,
[IRV | BN | OT | Exodus | Chapter 31 | Verse 2] “দেখ, আমি যিহূদা বংশের হূরের নাতি ঊরির ছেলে বৎসলেলের নাম ধরে ডাকলাম।
[IRV | BN | OT | Exodus | Chapter 31 | Verse 3] আর আমি তাকে ঈশ্বরের আত্মায়, জ্ঞানে, বুদ্ধিতে, বিদ্যায় ও সব রকম শিল্প কৌশলে পরিপূর্ণ করলাম;
[IRV | BN | OT | Exodus | Chapter 31 | Verse 4] যাতে সে শিল্পের নকশা করতে পারে, সোনা, রূপা ও পিতলের কাজ করতে পারে,
[IRV | BN | OT | Exodus | Chapter 31 | Verse 5] পাথর কেটে আকার দিতে, কাঠ খোদাই করতে ও সব রকম কারিগরী শিল্প করতে পারে।
[IRV | BN | OT | Exodus | Chapter 31 | Verse 6] আর দেখ, আমি দান বংশের অহীষামকের ছেলে অহলীয়াবকে তার সহকারী করে দিলাম এবং সমস্ত জ্ঞানী লোকের অন্তরে জ্ঞান দিলাম; সুতরাং আমি তোমাকে যা যা আদেশ করেছি, সে সমস্ত তারা তৈরী করবে;
[IRV | BN | OT | Exodus | Chapter 31 | Verse 7] সমাগম তাঁবু, সাক্ষ্য সিন্দুক ও সাক্ষ্য সিন্দুকের উপরের প্রতিবিধান এবং তাঁবুর সমস্ত পাত্র;
[IRV | BN | OT | Exodus | Chapter 31 | Verse 8] আর টেবিল ও তার সব পাত্র, পরিষ্কার বাতিদান ও তার সব পাত্র এবং ধূপবেদি;
[IRV | BN | OT | Exodus | Chapter 31 | Verse 9] আর হোমবেদি ও তার সব পাত্র এবং তলদেশ সহ বড় গামলা।
[IRV | BN | OT | Exodus | Chapter 31 | Verse 10] এবং সূক্ষ্মশিল্পিত বস্ত্র, যাজকের কাজ করার জন্য হারোণ যাজকের পবিত্র পোশাক, তার ছেলেদের পোশাক
[IRV | BN | OT | Exodus | Chapter 31 | Verse 11] এবং অভিষেকের তেল ও পবিত্র স্থানের জন্য সুগন্ধি ধূপ; আমি তোমাকে যেমন আদেশ দিয়েছি, সেই অনুসারে তারা সমস্তই করবে।”
[IRV | BN | OT | Exodus | Chapter 31 | Verse 12] আর সদাপ্রভু মোশিকে বললেন, “তুমি ইস্রায়েল সন্তানদের আরও এই কথা বলো,
[IRV | BN | OT | Exodus | Chapter 31 | Verse 13] ‘তোমরা অবশ্যই আমার বিশ্রামদিন পালন করবে; কারণ তোমাদের বংশপরম্পরা অনুসারে আমার ও তোমাদের মধ্যে এটা এক চিহ্ন হয়ে থাকলো, যেন তোমরা জানতে পারো যে, আমিই তোমাদের পবিত্র করার সদাপ্রভু।
[IRV | BN | OT | Exodus | Chapter 31 | Verse 14] সুতরাং তোমরা বিশ্রামদিন পালন করবে, কারণ তোমাদের জন্য সেই দিন পবিত্র; যে কেউ সেই দিন অপবিত্র করবে, তার অবশ্যই প্রাণদণ্ড হবে; কারণ যে কেউ ঐ দিনের কাজ করবে, সে তার লোকদের মধ্যে থেকে উচ্ছিন্ন হবে।
[IRV | BN | OT | Exodus | Chapter 31 | Verse 15] ছদিন কাজ করবে, কিন্তু সপ্তম দিন সদাপ্রভুর উদ্দেশ্যে বিশ্রামের জন্য পবিত্র বিশ্রামদিন, সেই বিশ্রামদিনের যে কেউ কাজ করবে, তার অবশ্যই প্রাণদণ্ড হবে।
[IRV | BN | OT | Exodus | Chapter 31 | Verse 16] অতএব ইস্রায়েল সন্তানরা চিরদিনের ব্যবস্থা হিসাবে বংশের পরম্পরা অনুসারে বিশ্রামদিন রক্ষা করার জন্য বিশ্রামদিন পালন করবে।
[IRV | BN | OT | Exodus | Chapter 31 | Verse 17] আমার ও ইস্রায়েল সন্তানদের মধ্যে এটা চিরকালীন চিহ্ন; কারণ সদাপ্রভু ছদিনের আকাশমণ্ডল ও পৃথিবী সৃষ্টি করেছিলেন, আর সপ্তম দিনের বিশ্রাম করেছিলেন এবং ঝালিয়ে নিয়েছিলেন’।”
[IRV | BN | OT | Exodus | Chapter 31 | Verse 18] পরে তিনি সীনয় পর্বতে মোশির সঙ্গে কথা শেষ করে সাক্ষ্যের দুটি ফলক, ঈশ্বরের আঙ্গুল দিয়ে লেখা দুটি পাথরের ফলক, তাঁকে দিলেন।
