[BBE | EN | OT | Ezekiel | Chapter 19 | Verse 1] Take up now a song of grief for the ruler of Israel, and say,
[BBE | EN | OT | Ezekiel | Chapter 19 | Verse 2] What was your mother? Like a she-lion among lions, stretched out among the young lions she gave food to her little ones.
[BBE | EN | OT | Ezekiel | Chapter 19 | Verse 3] And one of her little ones came to growth under her care, and became a young lion, learning to go after beasts for his food; and he took men for his meat.
[BBE | EN | OT | Ezekiel | Chapter 19 | Verse 4] And the nations had news of him; he was taken in the hole they had made: and, pulling him with hooks, they took him into the land of Egypt.
[BBE | EN | OT | Ezekiel | Chapter 19 | Verse 5] Now when she saw that her hope was made foolish and gone, she took another of her little ones and made him into a young lion.
[BBE | EN | OT | Ezekiel | Chapter 19 | Verse 6] And he went up and down among the lions and became a young lion, learning to go after beasts for his food; and he took men for his meat.
[BBE | EN | OT | Ezekiel | Chapter 19 | Verse 7] And he sent destruction on their widows and made waste their towns; and the land and everything in it became waste because of the loud sound of his voice.
[BBE | EN | OT | Ezekiel | Chapter 19 | Verse 8] Then the nations came against him from the kingdoms round about: their net was stretched over him and he was taken in the hole they had made.
[BBE | EN | OT | Ezekiel | Chapter 19 | Verse 9] They made him a prisoner with hooks, and took him to the king of Babylon; they put him in the strong place so that his voice might be sounding no longer on the mountains of Israel.
[BBE | EN | OT | Ezekiel | Chapter 19 | Verse 10] Your mother was in comparison like a vine, planted by the waters: she was fertile and full of branches because of the great waters.
[BBE | EN | OT | Ezekiel | Chapter 19 | Verse 11] And she had a strong rod for a rod of authority for the rulers, and it became tall among the clouds and it was seen lifted up among the number of its branches.
[BBE | EN | OT | Ezekiel | Chapter 19 | Verse 12] But she was uprooted in burning wrath, and made low on the earth; the east wind came, drying her up, and her branches were broken off; her strong rod became dry, the fire made a meal of it.
[BBE | EN | OT | Ezekiel | Chapter 19 | Verse 13] And now she is planted in the waste land, in a dry and unwatered country.
[BBE | EN | OT | Ezekiel | Chapter 19 | Verse 14] And fire has gone out from her rod, causing the destruction of her branches, so that there is no strong rod in her to be the ruler's rod of authority. This is a song of grief, and it was for a song of grief.
