[ASV | EN | OT | Ecclesiastes | Chapter 10 | Verse 1] Dead flies cause the oil of the perfumer to send forth an evil odor; so doth a little folly outweigh wisdom and honor.
[ASV | EN | OT | Ecclesiastes | Chapter 10 | Verse 2] A wise man’s heart is at his right hand; but a fool’s heart at his left.
[ASV | EN | OT | Ecclesiastes | Chapter 10 | Verse 3] Yea also, when the fool walketh by the way, his understanding faileth him, and he saith to everyone that he is a fool.
[ASV | EN | OT | Ecclesiastes | Chapter 10 | Verse 4] If the spirit of the ruler rise up against thee, leave not thy place; for gentleness allayeth great offenses.
[ASV | EN | OT | Ecclesiastes | Chapter 10 | Verse 5] There is an evil which I have seen under the sun, as it were an error which proceedeth from the ruler:
[ASV | EN | OT | Ecclesiastes | Chapter 10 | Verse 6] folly is set in great dignity, and the rich sit in a low place.
[ASV | EN | OT | Ecclesiastes | Chapter 10 | Verse 7] I have seen servants upon horses, and princes walking like servants upon the earth.
[ASV | EN | OT | Ecclesiastes | Chapter 10 | Verse 8] He that diggeth a pit shall fall into it; and whoso breaketh through a wall, a serpent shall bite him.
[ASV | EN | OT | Ecclesiastes | Chapter 10 | Verse 9] Whoso heweth out stones shall be hurt therewith; and he that cleaveth wood is endangered thereby.
[ASV | EN | OT | Ecclesiastes | Chapter 10 | Verse 10] If the iron be blunt, and one do not whet the edge, then must he put to more strength: but wisdom is profitable to direct.
[ASV | EN | OT | Ecclesiastes | Chapter 10 | Verse 11] If the serpent bite before it is charmed, then is there no advantage in the charmer.
[ASV | EN | OT | Ecclesiastes | Chapter 10 | Verse 12] The words of a wise man’s mouth are gracious; but the lips of a fool will swallow up himself.
[ASV | EN | OT | Ecclesiastes | Chapter 10 | Verse 13] The beginning of the words of his mouth is foolishness; and the end of his talk is mischievous madness.
[ASV | EN | OT | Ecclesiastes | Chapter 10 | Verse 14] A fool also multiplieth words: yet man knoweth not what shall be; and that which shall be after him, who can tell him?
[ASV | EN | OT | Ecclesiastes | Chapter 10 | Verse 15] The labor of fools wearieth every one of them; for he knoweth not how to go to the city.
[ASV | EN | OT | Ecclesiastes | Chapter 10 | Verse 16] Woe to thee, O land, when thy king is a child, and thy princes eat in the morning!
[ASV | EN | OT | Ecclesiastes | Chapter 10 | Verse 17] Happy art thou, O land, when thy king is the son of nobles, and thy princes eat in due season, for strength, and not for drunkenness!
[ASV | EN | OT | Ecclesiastes | Chapter 10 | Verse 18] By slothfulness the roof sinketh in; and through idleness of the hands the house leaketh.
[ASV | EN | OT | Ecclesiastes | Chapter 10 | Verse 19] A feast is made for laughter, and wine maketh glad the life; and money answereth all things.
[ASV | EN | OT | Ecclesiastes | Chapter 10 | Verse 20] Revile not the king, no, not in thy thought; and revile not the rich in thy bedchamber: for a bird of the heavens shall carry the voice, and that which hath wings shall tell the matter.
