[YLT | EN | OT | Psalms | Chapter 7 | Verse 1] 'The Erring One,' by David, that he sung to Jehovah concerning the words of Cush a Benjamite. O Jehovah, my God, in Thee I have trusted, Save me from all my pursuers, and deliver me.
[YLT | EN | OT | Psalms | Chapter 7 | Verse 2] Lest he tear as a lion my soul, Rending, and there is no deliverer.
[YLT | EN | OT | Psalms | Chapter 7 | Verse 3] O Jehovah, my God, if I have done this, If there is iniquity in my hands,
[YLT | EN | OT | Psalms | Chapter 7 | Verse 4] If I have done my well-wisher evil, And draw mine adversary without cause,
[YLT | EN | OT | Psalms | Chapter 7 | Verse 5] An enemy pursueth my soul, and overtaketh, And treadeth down to the earth my life, And my honour placeth in the dust. Selah.
[YLT | EN | OT | Psalms | Chapter 7 | Verse 6] Rise, O Jehovah, in Thine anger, Be lifted up at the wrath of mine adversaries, And awake Thou for me: Judgment Thou hast commanded:
[YLT | EN | OT | Psalms | Chapter 7 | Verse 7] And a company of peoples compass Thee, And over it on high turn Thou back,
[YLT | EN | OT | Psalms | Chapter 7 | Verse 8] Jehovah doth judge the peoples; Judge me, O Jehovah, According to my righteousness, And according to mine integrity on me,
[YLT | EN | OT | Psalms | Chapter 7 | Verse 9] Let, I pray Thee be ended the evil of the wicked, And establish Thou the righteous, And a trier of hearts and reins is the righteous God.
[YLT | EN | OT | Psalms | Chapter 7 | Verse 10] My shield [is] on God, Saviour of the upright in heart!
[YLT | EN | OT | Psalms | Chapter 7 | Verse 11] God [is] a righteous judge, And He is not angry at all times.
[YLT | EN | OT | Psalms | Chapter 7 | Verse 12] If [one] turn not, His sword he sharpeneth, His bow he hath trodden — He prepareth it,
[YLT | EN | OT | Psalms | Chapter 7 | Verse 13] Yea, for him He hath prepared Instruments of death, His arrows for burning pursuers He maketh.
[YLT | EN | OT | Psalms | Chapter 7 | Verse 14] Lo, he travaileth [with] iniquity, And he hath conceived perverseness, And hath brought forth falsehood.
[YLT | EN | OT | Psalms | Chapter 7 | Verse 15] A pit he hath prepared, and he diggeth it, And he falleth into a ditch he maketh.
[YLT | EN | OT | Psalms | Chapter 7 | Verse 16] Return doth his perverseness on his head, And on his crown his violence cometh down.
[YLT | EN | OT | Psalms | Chapter 7 | Verse 17] I thank Jehovah, According to His righteousness, And praise the name of Jehovah Most High!
