[YLT | EN | OT | Psalms | Chapter 9 | Verse 1] To the Overseer, 'On the Death of Labben.' — A Psalm of David. I confess, O Jehovah, with all my heart, I recount all Thy wonders,
[YLT | EN | OT | Psalms | Chapter 9 | Verse 2] I rejoice and exult in Thee, I praise Thy Name, O Most High.
[YLT | EN | OT | Psalms | Chapter 9 | Verse 3] In mine enemies turning backward, they stumble and perish from Thy face.
[YLT | EN | OT | Psalms | Chapter 9 | Verse 4] For Thou hast done my judgment and my right. Thou hast sat on a throne, A judge of righteousness.
[YLT | EN | OT | Psalms | Chapter 9 | Verse 5] Thou hast rebuked nations, Thou hast destroyed the wicked, Their name Thou hast blotted out to the age and for ever.
[YLT | EN | OT | Psalms | Chapter 9 | Verse 6] O thou Enemy, Finished have been destructions for ever, As to cities thou hast plucked up, Perished hath their memorial with them.
[YLT | EN | OT | Psalms | Chapter 9 | Verse 7] And Jehovah to the age abideth, He is preparing for judgment His throne.
[YLT | EN | OT | Psalms | Chapter 9 | Verse 8] And He judgeth the world in righteousness, He judgeth the peoples in uprightness.
[YLT | EN | OT | Psalms | Chapter 9 | Verse 9] And Jehovah is a tower for the bruised, A tower for times of adversity.
[YLT | EN | OT | Psalms | Chapter 9 | Verse 10] They trust in Thee who do know Thy name, For Thou hast not forsaken Those seeking Thee, O Jehovah.
[YLT | EN | OT | Psalms | Chapter 9 | Verse 11] Sing ye praise to Jehovah, inhabiting Zion, Declare ye among the peoples His acts,
[YLT | EN | OT | Psalms | Chapter 9 | Verse 12] For He who is seeking for blood Them hath remembered, He hath not forgotten the cry of the afflicted.
[YLT | EN | OT | Psalms | Chapter 9 | Verse 13] Favour me, O Jehovah, See mine affliction by those hating me, Thou who liftest me up from the gates of death,
[YLT | EN | OT | Psalms | Chapter 9 | Verse 14] So that I recount all Thy praise, In the gates of the daughter of Zion. I rejoice on Thy salvation.
[YLT | EN | OT | Psalms | Chapter 9 | Verse 15] Sunk have nations in a pit they made, In a net that they hid hath their foot been captured.
[YLT | EN | OT | Psalms | Chapter 9 | Verse 16] Jehovah hath been known, Judgment He hath done, By a work of his hands Hath the wicked been snared. Meditation. Selah.
[YLT | EN | OT | Psalms | Chapter 9 | Verse 17] The wicked do turn back to Sheol, All nations forgetting God.
[YLT | EN | OT | Psalms | Chapter 9 | Verse 18] For not for ever is the needy forgotten, The hope of the humble lost to the age.
[YLT | EN | OT | Psalms | Chapter 9 | Verse 19] Rise, O Jehovah, let not man be strong, Let nations be judged before Thy face.
[YLT | EN | OT | Psalms | Chapter 9 | Verse 20] Appoint, O Jehovah, a director to them, Let nations know they [are] men! Selah.
