[YLT | EN | OT | Psalms | Chapter 65 | Verse 1] To the Overseer. — A Psalm of David. A Song. To Thee, silence — praise, O God, [is] in Zion, And to Thee is a vow completed.
[YLT | EN | OT | Psalms | Chapter 65 | Verse 2] Hearer of prayer, to Thee all flesh cometh.
[YLT | EN | OT | Psalms | Chapter 65 | Verse 3] Matters of iniquities were mightier than I, Our transgressions — Thou dost cover them.
[YLT | EN | OT | Psalms | Chapter 65 | Verse 4] O the happiness of [him whom] Thou choosest, And drawest near, he inhabiteth Thy courts, We are satisfied with the goodness of Thy house, Thy holy temple.
[YLT | EN | OT | Psalms | Chapter 65 | Verse 5] By fearful things in righteousness Thou answerest us, O God of our salvation, The confidence of all far off ends of earth and sea.
[YLT | EN | OT | Psalms | Chapter 65 | Verse 6] Establishing mountains by His power, He hath been girded with might,
[YLT | EN | OT | Psalms | Chapter 65 | Verse 7] Restraining the noise of seas, the noise of their billows, And the multitude of the peoples.
[YLT | EN | OT | Psalms | Chapter 65 | Verse 8] And the inhabitants of the uttermost parts From Thy signs are afraid, The outgoings of morning and evening Thou causest to sing.
[YLT | EN | OT | Psalms | Chapter 65 | Verse 9] Thou hast inspected the earth, and waterest it, Thou makest it very rich, the rivulet of God [is] full of water, Thou preparest their corn, When thus Thou dost prepare it,
[YLT | EN | OT | Psalms | Chapter 65 | Verse 10] Its ridges have been filled, Deepened hath been its furrow, With showers Thou dost soften it, Its springing up Thou blessest.
[YLT | EN | OT | Psalms | Chapter 65 | Verse 11] Thou hast crowned the year of Thy goodness, And Thy paths drop fatness.
[YLT | EN | OT | Psalms | Chapter 65 | Verse 12] Drop do the pastures of a wilderness, And joy of the heights Thou girdest on.
[YLT | EN | OT | Psalms | Chapter 65 | Verse 13] Clothed have lambs the flock, And valleys are covered with corn, They shout — yea, they sing!
