[YLT | EN | OT | Psalms | Chapter 115 | Verse 1] Not to us, O Jehovah, not to us, But to Thy name give honour, For Thy kindness, for Thy truth.
[YLT | EN | OT | Psalms | Chapter 115 | Verse 2] Why do the nations say, 'Where, pray, [is] their God.
[YLT | EN | OT | Psalms | Chapter 115 | Verse 3] And our God [is] in the heavens, All that He hath pleased He hath done.
[YLT | EN | OT | Psalms | Chapter 115 | Verse 4] Their idols [are] silver and gold, work of man's hands,
[YLT | EN | OT | Psalms | Chapter 115 | Verse 5] A mouth they have, and they speak not, Eyes they have, and they see not,
[YLT | EN | OT | Psalms | Chapter 115 | Verse 6] Ears they have, and they hear not, A nose they have, and they smell not,
[YLT | EN | OT | Psalms | Chapter 115 | Verse 7] Their hands, but they handle not, Their feet, and they walk not;
[YLT | EN | OT | Psalms | Chapter 115 | Verse 8] Nor do they mutter through their throat, Like them are their makers, Every one who is trusting in them.
[YLT | EN | OT | Psalms | Chapter 115 | Verse 9] O Israel, trust in Jehovah, 'Their help and their shield [is] He.'
[YLT | EN | OT | Psalms | Chapter 115 | Verse 10] O house of Aaron, trust in Jehovah, 'Their help and their shield [is] He.'
[YLT | EN | OT | Psalms | Chapter 115 | Verse 11] Ye fearing Jehovah, trust in Jehovah, 'Their help and their shield [is] He.'
[YLT | EN | OT | Psalms | Chapter 115 | Verse 12] Jehovah hath remembered us, He blesseth, He blesseth the house of Israel, He blesseth the house of Aaron,
[YLT | EN | OT | Psalms | Chapter 115 | Verse 13] He blesseth those fearing Jehovah, The small with the great.
[YLT | EN | OT | Psalms | Chapter 115 | Verse 14] Jehovah addeth to you, to you, and to your sons.
[YLT | EN | OT | Psalms | Chapter 115 | Verse 15] Blessed [are] ye of Jehovah, maker of heaven and earth,
[YLT | EN | OT | Psalms | Chapter 115 | Verse 16] The heavens — the heavens [are] Jehovah's, And the earth He hath given to sons of men,
[YLT | EN | OT | Psalms | Chapter 115 | Verse 17] The dead praise not Jah, Nor any going down to silence.
[YLT | EN | OT | Psalms | Chapter 115 | Verse 18] And we, we bless Jah, From henceforth, and unto the age. Praise ye Jah!
