[YLT | EN | OT | Psalms | Chapter 148 | Verse 1] Praise ye Jah! Praise ye Jehovah from the heavens, Praise ye Him in high places.
[YLT | EN | OT | Psalms | Chapter 148 | Verse 2] Praise ye Him, all His messengers, Praise ye Him, all His hosts.
[YLT | EN | OT | Psalms | Chapter 148 | Verse 3] Praise ye Him, sun and moon, Praise ye Him, all stars of light.
[YLT | EN | OT | Psalms | Chapter 148 | Verse 4] Praise ye Him, heavens of heavens, And ye waters that are above the heavens.
[YLT | EN | OT | Psalms | Chapter 148 | Verse 5] They do praise the name of Jehovah, For He commanded, and they were created.
[YLT | EN | OT | Psalms | Chapter 148 | Verse 6] And He establisheth them for ever to the age, A statute He gave, and they pass not over.
[YLT | EN | OT | Psalms | Chapter 148 | Verse 7] Praise ye Jehovah from the earth, Dragons and all deeps,
[YLT | EN | OT | Psalms | Chapter 148 | Verse 8] Fire and hail, snow and vapour, Whirlwind doing His word;
[YLT | EN | OT | Psalms | Chapter 148 | Verse 9] The mountains and all heights, Fruit tree, and all cedars,
[YLT | EN | OT | Psalms | Chapter 148 | Verse 10] The wild beast, and all cattle, Creeping thing, and winged bird,
[YLT | EN | OT | Psalms | Chapter 148 | Verse 11] Kings of earth, and all peoples, Chiefs, and all judges of earth,
[YLT | EN | OT | Psalms | Chapter 148 | Verse 12] Young men, and also maidens, Aged men, with youths,
[YLT | EN | OT | Psalms | Chapter 148 | Verse 13] They praise the name of Jehovah, For His name alone hath been set on high, His honour [is] above earth and heavens.
[YLT | EN | OT | Psalms | Chapter 148 | Verse 14] And He exalteth the horn of His people, The praise of all His saints, Of the sons of Israel, a people near Him. Praise ye Jah!
