[YLT | EN | OT | Psalms | Chapter 41 | Verse 1] To the Overseer. — A Psalm of David. O the happiness of him Who is acting wisely unto the poor, In a day of evil doth Jehovah deliver him.
[YLT | EN | OT | Psalms | Chapter 41 | Verse 2] Jehovah doth preserve him and revive him, He is happy in the land, And Thou givest him not into the will of his enemies.
[YLT | EN | OT | Psalms | Chapter 41 | Verse 3] Jehovah supporteth on a couch of sickness, All his bed Thou hast turned in his weakness.
[YLT | EN | OT | Psalms | Chapter 41 | Verse 4] I — I said, 'O Jehovah, favour me, Heal my soul, for I did sin against Thee,'
[YLT | EN | OT | Psalms | Chapter 41 | Verse 5] Mine enemies say evil of me: When he dieth — his name hath perished!
[YLT | EN | OT | Psalms | Chapter 41 | Verse 6] And if he came to see — vanity he speaketh, His heart gathereth iniquity to itself, He goeth out — at the street he speaketh.
[YLT | EN | OT | Psalms | Chapter 41 | Verse 7] All hating me whisper together against me, Against me they devise evil to me:
[YLT | EN | OT | Psalms | Chapter 41 | Verse 8] A thing of Belial is poured out on him, And because he lay down he riseth not again.
[YLT | EN | OT | Psalms | Chapter 41 | Verse 9] Even mine ally, in whom I trusted, One eating my bread, made great the heel against me,
[YLT | EN | OT | Psalms | Chapter 41 | Verse 10] And Thou, Jehovah, favour me, And cause me to rise, And I give recompence to them.
[YLT | EN | OT | Psalms | Chapter 41 | Verse 11] By this I have known, That Thou hast delighted in me, Because my enemy shouteth not over me.
[YLT | EN | OT | Psalms | Chapter 41 | Verse 12] As to me, in mine integrity, Thou hast taken hold upon me, And causest me to stand before Thee to the age.
[YLT | EN | OT | Psalms | Chapter 41 | Verse 13] Blessed [is] Jehovah, God of Israel, From the age — and unto the age. Amen and Amen.
