[YLT | EN | OT | Psalms | Chapter 50 | Verse 1] A Psalm of Asaph. The God of gods — Jehovah — hath spoken, And He calleth to the earth From the rising of the sun unto its going in.
[YLT | EN | OT | Psalms | Chapter 50 | Verse 2] From Zion, the perfection of beauty, God shone.
[YLT | EN | OT | Psalms | Chapter 50 | Verse 3] Our God cometh, and is not silent, Fire before Him doth devour, And round about him it hath been very tempestuous.
[YLT | EN | OT | Psalms | Chapter 50 | Verse 4] He doth call unto the heavens from above, And unto the earth, to judge His people.
[YLT | EN | OT | Psalms | Chapter 50 | Verse 5] Gather ye to Me My saints, Making covenant with Me over a sacrifice.
[YLT | EN | OT | Psalms | Chapter 50 | Verse 6] And the heavens declare His righteousness, For God Himself [is] judge. Selah.
[YLT | EN | OT | Psalms | Chapter 50 | Verse 7] Hear, O My people, and I speak, O Israel, and I testify against thee, God, thy God [am] I.
[YLT | EN | OT | Psalms | Chapter 50 | Verse 8] Not for thy sacrifices do I reprove thee, Yea, thy burnt-offerings [Are] before Me continually.
[YLT | EN | OT | Psalms | Chapter 50 | Verse 9] I take not from thy house a bullock, From thy folds he goats.
[YLT | EN | OT | Psalms | Chapter 50 | Verse 10] For Mine [is] every beast of the forest, The cattle on the hills of oxen.
[YLT | EN | OT | Psalms | Chapter 50 | Verse 11] I have known every fowl of the mountains, And the wild beast of the field [is] with Me.
[YLT | EN | OT | Psalms | Chapter 50 | Verse 12] If I am hungry I tell not to thee, For Mine [is] the world and its fulness.
[YLT | EN | OT | Psalms | Chapter 50 | Verse 13] Do I eat the flesh of bulls, And drink the blood of he-goats?
[YLT | EN | OT | Psalms | Chapter 50 | Verse 14] Sacrifice to God confession, And complete to the Most High thy vows.
[YLT | EN | OT | Psalms | Chapter 50 | Verse 15] And call Me in a day of adversity, I deliver thee, and thou honourest Me.
[YLT | EN | OT | Psalms | Chapter 50 | Verse 16] And to the wicked hath God said: What to thee — to recount My statutes? That thou liftest up My covenant on thy mouth?
[YLT | EN | OT | Psalms | Chapter 50 | Verse 17] Yea, thou hast hated instruction, And dost cast My words behind thee.
[YLT | EN | OT | Psalms | Chapter 50 | Verse 18] If thou hast seen a thief, Then thou art pleased with him, And with adulterers [is] thy portion.
[YLT | EN | OT | Psalms | Chapter 50 | Verse 19] Thy mouth thou hast sent forth with evil, And thy tongue joineth deceit together,
[YLT | EN | OT | Psalms | Chapter 50 | Verse 20] Thou sittest, against thy brother thou speakest, Against a son of thy mother givest slander.
[YLT | EN | OT | Psalms | Chapter 50 | Verse 21] These thou didst, and I kept silent, Thou hast thought that I am like thee, I reprove thee, and set in array before thine eyes.
[YLT | EN | OT | Psalms | Chapter 50 | Verse 22] Understand this, I pray you, Ye who are forgetting God, Lest I tear, and there is no deliverer.
[YLT | EN | OT | Psalms | Chapter 50 | Verse 23] He who is sacrificing praise honoureth Me, As to him who maketh a way, I cause him to look on the salvation of God!
