[YLT | EN | OT | Psalms | Chapter 2 | Verse 1] Why have nations tumultuously assembled? And do peoples meditate vanity?
[YLT | EN | OT | Psalms | Chapter 2 | Verse 2] Station themselves do kings of the earth, And princes have been united together, Against Jehovah, and against His Messiah:
[YLT | EN | OT | Psalms | Chapter 2 | Verse 3] 'Let us draw off Their cords, And cast from us Their thick bands.'
[YLT | EN | OT | Psalms | Chapter 2 | Verse 4] He who is sitting in the heavens doth laugh, The Lord doth mock at them.
[YLT | EN | OT | Psalms | Chapter 2 | Verse 5] Then doth He speak unto them in His anger, And in His wrath He doth trouble them:
[YLT | EN | OT | Psalms | Chapter 2 | Verse 6] 'And I — I have anointed My King, Upon Zion — My holy hill.'
[YLT | EN | OT | Psalms | Chapter 2 | Verse 7] I declare concerning a statute: Jehovah said unto me, 'My Son Thou [art], I to-day have brought thee forth.
[YLT | EN | OT | Psalms | Chapter 2 | Verse 8] Ask of Me and I give nations — thy inheritance, And thy possession — the ends of earth.
[YLT | EN | OT | Psalms | Chapter 2 | Verse 9] Thou dost rule them with a sceptre of iron, As a vessel of a potter Thou dost crush them.'
[YLT | EN | OT | Psalms | Chapter 2 | Verse 10] And now, O kings, act wisely, Be instructed, O judges of earth,
[YLT | EN | OT | Psalms | Chapter 2 | Verse 11] Serve ye Jehovah with fear, And rejoice with trembling.
[YLT | EN | OT | Psalms | Chapter 2 | Verse 12] Kiss the Chosen One, lest He be angry, And ye lose the way, When His anger burneth but a little, O the happiness of all trusting in Him!
