[YLT | EN | OT | Psalms | Chapter 55 | Verse 1] To the Overseer with stringed instruments. — An instruction, by David. Give ear, O God, [to] my prayer, And hide not from my supplication.
[YLT | EN | OT | Psalms | Chapter 55 | Verse 2] Attend to me, and answer me, I mourn in my meditation, and make a noise,
[YLT | EN | OT | Psalms | Chapter 55 | Verse 3] Because of the voice of an enemy, Because of the oppression of the wicked, For they cause sorrow to move against me, And in anger they hate me.
[YLT | EN | OT | Psalms | Chapter 55 | Verse 4] My heart is pained within me, And terrors of death have fallen on me.
[YLT | EN | OT | Psalms | Chapter 55 | Verse 5] Fear and trembling come in to me, And horror doth cover me.
[YLT | EN | OT | Psalms | Chapter 55 | Verse 6] And I say, 'Who doth give to me a pinion as a dove? I fly away and rest,
[YLT | EN | OT | Psalms | Chapter 55 | Verse 7] Lo, I move far off, I lodge in a wilderness. Selah.
[YLT | EN | OT | Psalms | Chapter 55 | Verse 8] I hasten escape for myself, From a rushing wind, from a whirlwind.
[YLT | EN | OT | Psalms | Chapter 55 | Verse 9] Swallow up, O Lord, divide their tongue, For I saw violence and strife in a city.
[YLT | EN | OT | Psalms | Chapter 55 | Verse 10] By day and by night they go round it, on its walls. Both iniquity and perverseness [are] in its midst,
[YLT | EN | OT | Psalms | Chapter 55 | Verse 11] Mischiefs [are] in its midst. Fraud and deceit depart not from its street.
[YLT | EN | OT | Psalms | Chapter 55 | Verse 12] For an enemy reproacheth me not, or I bear [it], He who is hating me Hath not magnified himself against me, Or I hide from him.
[YLT | EN | OT | Psalms | Chapter 55 | Verse 13] But thou, a man — as mine equal, My familiar friend, and mine acquaintance.
[YLT | EN | OT | Psalms | Chapter 55 | Verse 14] When together we sweeten counsel, Into the house of God we walk in company.
[YLT | EN | OT | Psalms | Chapter 55 | Verse 15] Desolations [are] upon them, They go down [to] Sheol — alive, For wickedness [is] in their dwelling, in their midst.
[YLT | EN | OT | Psalms | Chapter 55 | Verse 16] I — to God I call, and Jehovah saveth me.
[YLT | EN | OT | Psalms | Chapter 55 | Verse 17] Evening, and morning, and noon, I meditate, and make a noise, and He heareth my voice,
[YLT | EN | OT | Psalms | Chapter 55 | Verse 18] He hath ransomed in peace my soul From him who is near to me, For with the multitude they were with me.
[YLT | EN | OT | Psalms | Chapter 55 | Verse 19] God doth hear and afflict them, And He sitteth of old. Selah. Because they have no changes, and fear not God,
[YLT | EN | OT | Psalms | Chapter 55 | Verse 20] He hath sent forth his hands against his well-wishers, He hath polluted his covenant.
[YLT | EN | OT | Psalms | Chapter 55 | Verse 21] Sweeter than honey hath been his mouth, And his heart [is] war! Softer have been his words than oil, And they [are] drawn [swords].
[YLT | EN | OT | Psalms | Chapter 55 | Verse 22] Cast on Jehovah that which He hath given thee, And He doth sustain thee, He doth not suffer for ever the moving of the righteous.
[YLT | EN | OT | Psalms | Chapter 55 | Verse 23] And Thou, O God, dost bring them down To a pit of destruction, Men of blood and deceit reach not to half their days, And I — I do trust in Thee!
