[YLT | EN | OT | Psalms | Chapter 68 | Verse 1] To the Overseer. — A Psalm, a song of David. Rise doth God — scattered are His enemies! And those hating Him flee from His face.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 2] As the driving away of smoke Thou drivest away, As the melting of wax before fire, The wicked perish at the presence of God.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 3] And the righteous rejoice, they exult before God, And they joy with gladness.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 4] Sing ye to God — praise His name, Raise up a highway for Him who is riding in deserts, In Jah [is] His name, and exult before Him.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 5] Father of the fatherless, and judge of the widows, [Is] God in His holy habitation.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 6] God — causing the lonely to dwell at home, Bringing out bound ones into prosperity, Only — the refractory have inhabited a dry place.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 7] O God, in Thy going forth before Thy people, In Thy stepping through the wilderness, Selah.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 8] The earth hath shaken, Yea, the heavens have dropped before God, This Sinai — before God, the God of Israel.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 9] A shower of free-will gifts thou shakest out, O God. Thine inheritance, when it hath been weary, Thou hast established it.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 10] Thy company have dwelt in it, Thou preparest in Thy goodness for the poor, O God.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 11] The Lord doth give the saying, The female proclaimers [are] a numerous host.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 12] Kings of hosts flee utterly away, And a female inhabitant of the house apportioneth spoil.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 13] Though ye do lie between two boundaries, Wings of a dove covered with silver, And her pinions with yellow gold.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 14] When the Mighty spreadeth kings in it, It doth snow in Salmon.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 15] A hill of God [is] the hill of Bashan, A hill of heights [is] the hill of Bashan.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 16] Why do ye envy, O high hills, The hill God hath desired for His seat? Jehovah also doth tabernacle for ever.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 17] The chariots of God [are] myriads, thousands of changes, The Lord [is] among them, in Sinai, in the sanctuary.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 18] Thou hast ascended on high, Thou hast taken captive captivity, Thou hast taken gifts for men, That even the refractory may rest, O Jah God.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 19] Blessed [is] the Lord, day by day He layeth on us. God Himself [is] our salvation. Selah.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 20] God Himself [is] to us a God for deliverances, And Jehovah Lord hath the outgoings of death.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 21] Only — God doth smite The head of His enemies, The hairy crown of a habitual walker in his guilt.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 22] The Lord said: 'From Bashan I bring back, I bring back from the depths of the sea.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 23] So that thou dashest thy foot in blood, [In the blood of] enemies — the tongue of Thy dogs.'
[YLT | EN | OT | Psalms | Chapter 68 | Verse 24] They have seen Thy goings, O God, Goings of my God, my king, in the sanctuary.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 25] Singers have been before, Behind [are] players on instruments, In the midst virgins playing with timbrels.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 26] In assemblies bless ye God, The Lord — from the fountain of Israel.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 27] There [is] little Benjamin their ruler, Heads of Judah their defence, Heads of Zebulun — heads of Naphtali.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 28] Thy God hath commanded thy strength, Be strong, O God, this Thou hast wrought for us.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 29] Because of Thy temple at Jerusalem, To Thee do kings bring a present.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 30] Rebuke a beast of the reeds, a company of bulls, With calves of the peoples, Each humbling himself with pieces of silver, Scatter Thou peoples delighting in conflicts.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 31] Come do fat ones out of Egypt, Cush causeth her hands to run to God.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 32] Kingdoms of the earth, sing ye to God, Praise ye the Lord. Selah.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 33] To him who is riding on the heavens of the heavens of old, Lo, He giveth with His voice a strong voice.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 34] Ascribe ye strength to God, Over Israel [is] His excellency, and His strength in the clouds.
[YLT | EN | OT | Psalms | Chapter 68 | Verse 35] Fearful, O God, out of Thy sanctuaries, The God of Israel Himself, Giving strength and might to the people. Blessed [is] God!
