[YLT | EN | OT | Psalms | Chapter 63 | Verse 1] A Psalm of David, in his being in the wilderness of Judah. O God, Thou [art] my God, earnestly do I seek Thee, Thirsted for Thee hath my soul, Longed for Thee hath my flesh, In a land dry and weary, without waters.
[YLT | EN | OT | Psalms | Chapter 63 | Verse 2] So in the sanctuary I have seen Thee, To behold Thy strength and Thine honour.
[YLT | EN | OT | Psalms | Chapter 63 | Verse 3] Because better [is] Thy kindness than life, My lips do praise Thee.
[YLT | EN | OT | Psalms | Chapter 63 | Verse 4] So I bless Thee in my life, in Thy name I lift up my hands.
[YLT | EN | OT | Psalms | Chapter 63 | Verse 5] As [with] milk and fatness is my soul satisfied, And [with] singing lips doth my mouth praise.
[YLT | EN | OT | Psalms | Chapter 63 | Verse 6] If I have remembered Thee on my couch, In the watches — I meditate on Thee.
[YLT | EN | OT | Psalms | Chapter 63 | Verse 7] For Thou hast been a help to me, And in the shadow of Thy wings I sing.
[YLT | EN | OT | Psalms | Chapter 63 | Verse 8] Cleaved hath my soul after Thee, On me hath Thy right hand taken hold.
[YLT | EN | OT | Psalms | Chapter 63 | Verse 9] And they who for desolation seek my soul, Go in to the lower parts of the earth.
[YLT | EN | OT | Psalms | Chapter 63 | Verse 10] They cause him to run on the edge of the sword, A portion for foxes they are.
[YLT | EN | OT | Psalms | Chapter 63 | Verse 11] And the king doth rejoice in God, Boast himself doth every one swearing by Him, But stopped is the mouth of those speaking lies!
