[YLT | EN | OT | Psalms | Chapter 81 | Verse 1] To the Overseer. — 'On the Gittith.' By Asaph. Cry aloud to God our strength, Shout to the God of Jacob.
[YLT | EN | OT | Psalms | Chapter 81 | Verse 2] Lift up a song, and give out a timbrel, A pleasant harp with psaltery.
[YLT | EN | OT | Psalms | Chapter 81 | Verse 3] Blow in the month a trumpet, In the new moon, at the day of our festival,
[YLT | EN | OT | Psalms | Chapter 81 | Verse 4] For a statute to Israel it [is], An ordinance of the God of Jacob.
[YLT | EN | OT | Psalms | Chapter 81 | Verse 5] A testimony on Joseph He hath placed it, In his going forth over the land of Egypt. A lip, I have not known — I hear.
[YLT | EN | OT | Psalms | Chapter 81 | Verse 6] From the burden his shoulder I turned aside, His hands from the basket pass over.
[YLT | EN | OT | Psalms | Chapter 81 | Verse 7] In distress thou hast called and I deliver thee, I answer thee in the secret place of thunder, I try thee by the waters of Meribah. Selah.
[YLT | EN | OT | Psalms | Chapter 81 | Verse 8] Hear, O My people, and I testify to thee, O Israel, if thou dost hearken to me:
[YLT | EN | OT | Psalms | Chapter 81 | Verse 9] There is not in thee a strange god, And thou bowest not thyself to a strange god.
[YLT | EN | OT | Psalms | Chapter 81 | Verse 10] I [am] Jehovah thy God, Who bringeth thee up out of the land of Egypt. Enlarge thy mouth, and I fill it.
[YLT | EN | OT | Psalms | Chapter 81 | Verse 11] But, My people hearkened not to My voice, And Israel hath not consented to Me.
[YLT | EN | OT | Psalms | Chapter 81 | Verse 12] And I send them away in the enmity of their heart, They walk in their own counsels.
[YLT | EN | OT | Psalms | Chapter 81 | Verse 13] O that My people were hearkening to Me, Israel in My ways would walk.
[YLT | EN | OT | Psalms | Chapter 81 | Verse 14] As a little thing their enemies I cause to bow, And against their adversaries I turn back My hand,
[YLT | EN | OT | Psalms | Chapter 81 | Verse 15] Those hating Jehovah feign obedience to Him, But their time is — to the age.
[YLT | EN | OT | Psalms | Chapter 81 | Verse 16] He causeth him to eat of the fat of wheat, And [with] honey from a rock I satisfy thee!
