[YLT | EN | OT | Psalms | Chapter 16 | Verse 1] A Secret Treasure of David. Preserve me, O God, for I did trust in Thee.
[YLT | EN | OT | Psalms | Chapter 16 | Verse 2] Thou hast said to Jehovah, 'My Lord Thou [art];' My good [is] not for thine own sake;
[YLT | EN | OT | Psalms | Chapter 16 | Verse 3] For the holy ones who [are] in the land, And the honourable, all my delight [is] in them.
[YLT | EN | OT | Psalms | Chapter 16 | Verse 4] Multiplied are their griefs, [Who] have hastened backward; I pour not out their libations of blood, Nor do I take up their names on my lips.
[YLT | EN | OT | Psalms | Chapter 16 | Verse 5] Jehovah [is] the portion of my share, and of my cup, Thou — Thou dost uphold my lot.
[YLT | EN | OT | Psalms | Chapter 16 | Verse 6] Lines have fallen to me in pleasant places, Yea, a beauteous inheritance [is] for me.
[YLT | EN | OT | Psalms | Chapter 16 | Verse 7] I bless Jehovah who hath counselled me; Also [in] the nights my reins instruct me.
[YLT | EN | OT | Psalms | Chapter 16 | Verse 8] I did place Jehovah before me continually, Because — at my right hand I am not moved.
[YLT | EN | OT | Psalms | Chapter 16 | Verse 9] Therefore hath my heart been glad, And my honour doth rejoice, Also my flesh dwelleth confidently:
[YLT | EN | OT | Psalms | Chapter 16 | Verse 10] For Thou dost not leave my soul to Sheol, Nor givest thy saintly one to see corruption.
[YLT | EN | OT | Psalms | Chapter 16 | Verse 11] Thou causest me to know the path of life; Fulness of joys [is] with Thy presence, Pleasant things by Thy right hand for ever!
