[YLT | EN | OT | Psalms | Chapter 89 | Verse 1] An instruction, by Ethan the Ezrahite. Of the kind acts of Jehovah, to the age I sing, To all generations I make known Thy faithfulness with my mouth,
[YLT | EN | OT | Psalms | Chapter 89 | Verse 2] For I said, 'To the age is kindness built, The heavens! Thou dost establish Thy faithfulness in them.'
[YLT | EN | OT | Psalms | Chapter 89 | Verse 3] I have made a covenant for My chosen, I have sworn to David My servant:
[YLT | EN | OT | Psalms | Chapter 89 | Verse 4] 'Even to the age do I establish thy seed, And have built to generation and generation thy throne. Selah.
[YLT | EN | OT | Psalms | Chapter 89 | Verse 5] and the heavens confess Thy wonders, O Jehovah, Thy faithfulness also [is] in an assembly of holy ones.
[YLT | EN | OT | Psalms | Chapter 89 | Verse 6] For who in the sky, Compareth himself to Jehovah? Is like to Jehovah among sons of the mighty?
[YLT | EN | OT | Psalms | Chapter 89 | Verse 7] God is very terrible, In the secret counsel of His holy ones, And fearful over all surrounding Him.
[YLT | EN | OT | Psalms | Chapter 89 | Verse 8] O Jehovah, God of Hosts, Who [is] like Thee — a strong Jah? And Thy faithfulness [is] round about Thee.
[YLT | EN | OT | Psalms | Chapter 89 | Verse 9] Thou [art] ruler over the pride of the sea, In the lifting up of its billows Thou dost restrain them.
[YLT | EN | OT | Psalms | Chapter 89 | Verse 10] Thou hast bruised Rahab, as one wounded. With the arm of Thy strength Thou hast scattered Thine enemies.
[YLT | EN | OT | Psalms | Chapter 89 | Verse 11] Thine [are] the heavens — the earth also [is] Thine, The habitable world and its fulness, Thou hast founded them.
[YLT | EN | OT | Psalms | Chapter 89 | Verse 12] North and south Thou hast appointed them, Tabor and Hermon in Thy name do sing.
[YLT | EN | OT | Psalms | Chapter 89 | Verse 13] Thou hast an arm with might, Strong is Thy hand — high Thy right hand.
[YLT | EN | OT | Psalms | Chapter 89 | Verse 14] Righteousness and judgment [Are] the fixed place of Thy throne, Kindness and truth go before Thy face.
[YLT | EN | OT | Psalms | Chapter 89 | Verse 15] O the happiness of the people knowing the shout, O Jehovah, in the light of Thy face they walk habitually.
[YLT | EN | OT | Psalms | Chapter 89 | Verse 16] In Thy name they rejoice all the day, And in Thy righteousness they are exalted,
[YLT | EN | OT | Psalms | Chapter 89 | Verse 17] For the beauty of their strength [art] Thou, And in Thy good will is our horn exalted,
[YLT | EN | OT | Psalms | Chapter 89 | Verse 18] For of Jehovah [is] our shield, And of the Holy One of Israel our king.
[YLT | EN | OT | Psalms | Chapter 89 | Verse 19] Then Thou hast spoken in vision, To Thy saint, yea, Thou sayest, I have placed help upon a mighty one, Exalted a chosen one out of the people,
[YLT | EN | OT | Psalms | Chapter 89 | Verse 20] I have found David My servant, With My holy oil I have anointed him.
[YLT | EN | OT | Psalms | Chapter 89 | Verse 21] With whom My hand is established, My arm also doth strengthen him.
[YLT | EN | OT | Psalms | Chapter 89 | Verse 22] An enemy exacteth not upon him, And a son of perverseness afflicteth him not.
[YLT | EN | OT | Psalms | Chapter 89 | Verse 23] And I have beaten down before him his adversaries, And those hating him I plague,
[YLT | EN | OT | Psalms | Chapter 89 | Verse 24] And My faithfulness and kindness [are] with him, And in My name is his horn exalted.
[YLT | EN | OT | Psalms | Chapter 89 | Verse 25] And I have set on the sea his hand, And on the rivers his right hand.
[YLT | EN | OT | Psalms | Chapter 89 | Verse 26] He proclaimeth me: 'Thou [art] my Father, My God, and the rock of my salvation.'
[YLT | EN | OT | Psalms | Chapter 89 | Verse 27] I also first-born do appoint him, Highest of the kings of the earth.
[YLT | EN | OT | Psalms | Chapter 89 | Verse 28] To the age I keep for him My kindness, And My covenant [is] stedfast with him.
[YLT | EN | OT | Psalms | Chapter 89 | Verse 29] And I have set his seed for ever, And his throne as the days of the heavens.
[YLT | EN | OT | Psalms | Chapter 89 | Verse 30] If his sons forsake My law, And in My judgments do not walk;
[YLT | EN | OT | Psalms | Chapter 89 | Verse 31] If My statutes they pollute, And My commands do not keep,
[YLT | EN | OT | Psalms | Chapter 89 | Verse 32] I have looked after with a rod their transgression, And with strokes their iniquity,
[YLT | EN | OT | Psalms | Chapter 89 | Verse 33] And My kindness I break not from him, Nor do I deal falsely in My faithfulness.
[YLT | EN | OT | Psalms | Chapter 89 | Verse 34] I profane not My covenant, And that which is going forth from My lips I change not.
[YLT | EN | OT | Psalms | Chapter 89 | Verse 35] Once I have sworn by My holiness, I lie not to David,
[YLT | EN | OT | Psalms | Chapter 89 | Verse 36] His seed is to the age, And his throne [is] as the sun before Me,
[YLT | EN | OT | Psalms | Chapter 89 | Verse 37] As the moon it is established — to the age, And the witness in the sky is stedfast. Selah.
[YLT | EN | OT | Psalms | Chapter 89 | Verse 38] And Thou, Thou hast cast off, and dost reject, Thou hast shown Thyself wroth With Thine anointed,
[YLT | EN | OT | Psalms | Chapter 89 | Verse 39] Hast rejected the covenant of Thy servant, Thou hast polluted to the earth his crown,
[YLT | EN | OT | Psalms | Chapter 89 | Verse 40] Thou hast broken down all his hedges, Thou hast made his fenced places a ruin.
[YLT | EN | OT | Psalms | Chapter 89 | Verse 41] Spoiled him have all passing by the way, He hath been a reproach to his neighbours,
[YLT | EN | OT | Psalms | Chapter 89 | Verse 42] Thou hast exalted the right hand of his adversaries, Thou hast caused all his enemies to rejoice.
[YLT | EN | OT | Psalms | Chapter 89 | Verse 43] Also — Thou turnest back the sharpness of his sword, And hast not established him in battle,
[YLT | EN | OT | Psalms | Chapter 89 | Verse 44] Hast caused [him] to cease from his brightness, And his throne to the earth hast cast down.
[YLT | EN | OT | Psalms | Chapter 89 | Verse 45] Thou hast shortened the days of his youth, Hast covered him over [with] shame. Selah.
[YLT | EN | OT | Psalms | Chapter 89 | Verse 46] Till when, O Jehovah, art Thou hidden? For ever doth Thy fury burn as fire?
[YLT | EN | OT | Psalms | Chapter 89 | Verse 47] Remember, I pray Thee, what [is] life-time? Wherefore in vain hast Thou created All the sons of men?
[YLT | EN | OT | Psalms | Chapter 89 | Verse 48] Who [is] the man that liveth, and doth not see death? He delivereth his soul from the hand of Sheol. Selah.
[YLT | EN | OT | Psalms | Chapter 89 | Verse 49] Where [are] Thy former kindnesses, O Lord. Thou hast sworn to David in Thy faithfulness,
[YLT | EN | OT | Psalms | Chapter 89 | Verse 50] Remember, O Lord, the reproach of Thy servants, I have borne in my bosom all the strivings of the peoples,
[YLT | EN | OT | Psalms | Chapter 89 | Verse 51] Wherewith Thine enemies reproached, O Jehovah, Wherewith they have reproached The steps of Thine anointed.
[YLT | EN | OT | Psalms | Chapter 89 | Verse 52] Blessed [is] Jehovah to the age. Amen, and amen!
