[YLT | EN | OT | Psalms | Chapter 119 | Verse 1] [Aleph.] O the happiness of those perfect in the way, They are walking in the law of Jehovah,
[YLT | EN | OT | Psalms | Chapter 119 | Verse 2] O the happiness of those keeping His testimonies, With the whole heart they seek Him.
[YLT | EN | OT | Psalms | Chapter 119 | Verse 3] Yea, they have not done iniquity, In His ways they have walked.
[YLT | EN | OT | Psalms | Chapter 119 | Verse 4] Thou hast commanded us Thy precepts to keep diligently,
[YLT | EN | OT | Psalms | Chapter 119 | Verse 5] O that my ways were prepared to keep Thy statutes,
[YLT | EN | OT | Psalms | Chapter 119 | Verse 6] Then I am not ashamed In my looking unto all Thy commands.
[YLT | EN | OT | Psalms | Chapter 119 | Verse 7] I confess Thee with uprightness of heart, In my learning the judgments of Thy righteousness.
[YLT | EN | OT | Psalms | Chapter 119 | Verse 8] Thy statutes I keep, leave me not utterly!
[YLT | EN | OT | Psalms | Chapter 119 | Verse 9] [Beth.] With what doth a young man purify his path? To observe — according to Thy word.
[YLT | EN | OT | Psalms | Chapter 119 | Verse 10] With all my heart I have sought Thee, Let me not err from Thy commands.
[YLT | EN | OT | Psalms | Chapter 119 | Verse 11] In my heart I have hid Thy saying, That I sin not before Thee.
[YLT | EN | OT | Psalms | Chapter 119 | Verse 12] Blessed [art] Thou, O Jehovah, teach me Thy statutes.
[YLT | EN | OT | Psalms | Chapter 119 | Verse 13] With my lips I have recounted All the judgments of Thy mouth.
[YLT | EN | OT | Psalms | Chapter 119 | Verse 14] In the way of Thy testimonies I have joyed, As over all wealth.
[YLT | EN | OT | Psalms | Chapter 119 | Verse 15] In Thy precepts I meditate, And I behold attentively Thy paths.
[YLT | EN | OT | Psalms | Chapter 119 | Verse 16] In Thy statutes I delight myself, I do not forget Thy word.
[YLT | EN | OT | Psalms | Chapter 119 | Verse 17] [Gimel.] Confer benefits on Thy servant, I live, and I keep Thy word.
[YLT | EN | OT | Psalms | Chapter 119 | Verse 18] Uncover mine eyes, and I behold wonders out of Thy law.
[YLT | EN | OT | Psalms | Chapter 119 | Verse 19] A sojourner I [am] on earth, Hide not from me Thy commands.
[YLT | EN | OT | Psalms | Chapter 119 | Verse 20] Broken hath my soul for desire Unto Thy judgments at all times.
[YLT | EN | OT | Psalms | Chapter 119 | Verse 21] Thou hast rebuked the cursed proud, Who are erring from Thy commands.
[YLT | EN | OT | Psalms | Chapter 119 | Verse 22] Remove from me reproach and contempt, For Thy testimonies I have kept.
[YLT | EN | OT | Psalms | Chapter 119 | Verse 23] Princes also sat — against me they spoke, Thy servant doth meditate in Thy statutes,
[YLT | EN | OT | Psalms | Chapter 119 | Verse 24] Thy testimonies also [are] my delight, The men of my counsel!
[YLT | EN | OT | Psalms | Chapter 119 | Verse 25] [Daleth.] Cleaved to the dust hath my soul, Quicken me according to Thy word.
[YLT | EN | OT | Psalms | Chapter 119 | Verse 26] My ways I have recounted, And Thou answerest me, teach me Thy statutes,
