[YLT | EN | OT | Psalms | Chapter 49 | Verse 1] To the Overseer. — By sons of Korah. A Psalm. Hear this, all ye peoples, Give ear, all ye inhabitants of the world.
[YLT | EN | OT | Psalms | Chapter 49 | Verse 2] Both low and high, together rich and needy.
[YLT | EN | OT | Psalms | Chapter 49 | Verse 3] My mouth speaketh wise things, And the meditations of my heart [are] things of understanding.
[YLT | EN | OT | Psalms | Chapter 49 | Verse 4] I incline to a simile mine ear, I open with a harp my riddle:
[YLT | EN | OT | Psalms | Chapter 49 | Verse 5] Why do I fear in days of evil? The iniquity of my supplanters doth compass me.
[YLT | EN | OT | Psalms | Chapter 49 | Verse 6] Those trusting on their wealth, And in the multitude of their riches, Do shew themselves foolish.
[YLT | EN | OT | Psalms | Chapter 49 | Verse 7] A brother doth no one at all ransom, He doth not give to God his atonement.
[YLT | EN | OT | Psalms | Chapter 49 | Verse 8] And precious [is] the redemption of their soul, And it hath ceased — to the age.
[YLT | EN | OT | Psalms | Chapter 49 | Verse 9] And still he liveth for ever, He seeth not the pit.
[YLT | EN | OT | Psalms | Chapter 49 | Verse 10] For he seeth wise men die, Together the foolish and brutish perish, And have left to others their wealth.
[YLT | EN | OT | Psalms | Chapter 49 | Verse 11] Their heart [is]: Their houses [are] to the age, Their tabernacles to all generations. They proclaimed their names over the lands.
[YLT | EN | OT | Psalms | Chapter 49 | Verse 12] And man in honour doth not remain, He hath been like the beasts, they have been cut off.
[YLT | EN | OT | Psalms | Chapter 49 | Verse 13] This their way [is] folly for them, And their posterity with their sayings are pleased. Selah.
[YLT | EN | OT | Psalms | Chapter 49 | Verse 14] As sheep for Sheol they have set themselves, Death doth afflict them, And the upright rule over them in the morning, And their form [is] for consumption. Sheol [is] a dwelling for him.
[YLT | EN | OT | Psalms | Chapter 49 | Verse 15] Only, God doth ransom my soul from the hand of Sheol, For He doth receive me. Selah.
[YLT | EN | OT | Psalms | Chapter 49 | Verse 16] Fear not, when one maketh wealth, When the honour of his house is abundant,
[YLT | EN | OT | Psalms | Chapter 49 | Verse 17] For at his death he receiveth nothing, His honour goeth not down after him.
[YLT | EN | OT | Psalms | Chapter 49 | Verse 18] For his soul in his life he blesseth, (And they praise thee when thou dost well for thyself.)
[YLT | EN | OT | Psalms | Chapter 49 | Verse 19] It cometh to the generation of his fathers, For ever they see not the light.
[YLT | EN | OT | Psalms | Chapter 49 | Verse 20] Man in honour, who understandest not, Hath been like the beasts, they have been cut off!
