[YLT | EN | OT | Psalms | Chapter 85 | Verse 1] To the Overseer. — By sons of Korah. A Psalm. Thou hast accepted, O Jehovah, Thy land, Thou hast turned [to] the captivity of Jacob.
[YLT | EN | OT | Psalms | Chapter 85 | Verse 2] Thou hast borne away the iniquity of Thy people, Thou hast covered all their sin. Selah.
[YLT | EN | OT | Psalms | Chapter 85 | Verse 3] Thou hast gathered up all Thy wrath, Thou hast turned back from the fierceness of Thine anger.
[YLT | EN | OT | Psalms | Chapter 85 | Verse 4] Turn back [to] us, O God of our salvation, And make void Thine anger with us.
[YLT | EN | OT | Psalms | Chapter 85 | Verse 5] To the age art Thou angry against us? Dost Thou draw out Thine anger To generation and generation?
[YLT | EN | OT | Psalms | Chapter 85 | Verse 6] Dost Thou not turn back? Thou revivest us, And Thy people do rejoice in Thee.
[YLT | EN | OT | Psalms | Chapter 85 | Verse 7] Show us, O Jehovah, thy kindness, And Thy salvation Thou dost give to us.
[YLT | EN | OT | Psalms | Chapter 85 | Verse 8] I hear what God Jehovah speaketh, For He speaketh peace unto His people, And unto His saints, and they turn not back to folly.
[YLT | EN | OT | Psalms | Chapter 85 | Verse 9] Only, near to those fearing Him [is] His salvation, That honour may dwell in our land.
[YLT | EN | OT | Psalms | Chapter 85 | Verse 10] Kindness and truth have met, Righteousness and peace have kissed,
[YLT | EN | OT | Psalms | Chapter 85 | Verse 11] Truth from the earth springeth up, And righteousness from heaven looketh out,
[YLT | EN | OT | Psalms | Chapter 85 | Verse 12] Jehovah also giveth that which is good, And our land doth give its increase.
[YLT | EN | OT | Psalms | Chapter 85 | Verse 13] Righteousness before Him goeth, And maketh His footsteps for a way!
