[YLT | EN | OT | Psalms | Chapter 57 | Verse 1] To the Overseer. — 'Destroy not.' — A secret treasure of David, in his fleeing from the face of Saul into a cave. Favour me, O God, favour me, For in Thee is my soul trusting, And in the shadow of Thy wings I trust, Until the calamities pass over.
[YLT | EN | OT | Psalms | Chapter 57 | Verse 2] I call to God Most High, To God [who] is perfecting for me.
[YLT | EN | OT | Psalms | Chapter 57 | Verse 3] He sendeth from the heaven, and saveth me, He reproached — who is panting after me. Selah. God sendeth forth His kindness and His truth.
[YLT | EN | OT | Psalms | Chapter 57 | Verse 4] My soul [is] in the midst of lions, I lie down [among] flames — sons of men, Their teeth [are] a spear and arrows, And their tongue a sharp sword.
[YLT | EN | OT | Psalms | Chapter 57 | Verse 5] Be Thou exalted above the heavens, O God, Above all the earth Thine honour.
[YLT | EN | OT | Psalms | Chapter 57 | Verse 6] A net they have prepared for my steps, Bowed down hath my soul, They have digged before me a pit, They have fallen into its midst. Selah.
[YLT | EN | OT | Psalms | Chapter 57 | Verse 7] Prepared is my heart, O God, Prepared is my heart, I sing and praise.
[YLT | EN | OT | Psalms | Chapter 57 | Verse 8] Awake, mine honour, awake, psaltery and harp, I awake the morning dawn.
[YLT | EN | OT | Psalms | Chapter 57 | Verse 9] I thank Thee among the peoples, O Lord, I praise Thee among the nations.
[YLT | EN | OT | Psalms | Chapter 57 | Verse 10] For great unto the heavens [is] Thy kindness, And unto the clouds Thy truth.
[YLT | EN | OT | Psalms | Chapter 57 | Verse 11] Be thou exalted above the heavens, O God. Above all the earth Thine honour!
