[YLT | EN | OT | Psalms | Chapter 19 | Verse 1] To the Overseer. — A Psalm of David. The heavens [are] recounting the honour of God, And the work of His hands The expanse [is] declaring.
[YLT | EN | OT | Psalms | Chapter 19 | Verse 2] Day to day uttereth speech, And night to night sheweth knowledge.
[YLT | EN | OT | Psalms | Chapter 19 | Verse 3] There is no speech, and there are no words. Their voice hath not been heard.
[YLT | EN | OT | Psalms | Chapter 19 | Verse 4] Into all the earth hath their line gone forth, And to the end of the world their sayings, For the sun He placed a tent in them,
[YLT | EN | OT | Psalms | Chapter 19 | Verse 5] And he, as a bridegroom, goeth out from his covering, He rejoiceth as a mighty one To run the path.
[YLT | EN | OT | Psalms | Chapter 19 | Verse 6] From the end of the heavens [is] his going out, And his revolution [is] unto their ends, And nothing is hid from his heat.
[YLT | EN | OT | Psalms | Chapter 19 | Verse 7] The law of Jehovah [is] perfect, refreshing the soul, The testimonies of Jehovah [are] stedfast, Making wise the simple,
[YLT | EN | OT | Psalms | Chapter 19 | Verse 8] The precepts of Jehovah [are] upright, Rejoicing the heart, The command of Jehovah [is] pure, enlightening the eyes,
[YLT | EN | OT | Psalms | Chapter 19 | Verse 9] The fear of Jehovah [is] clean, standing to the age, The judgments of Jehovah [are] true, They have been righteous — together.
[YLT | EN | OT | Psalms | Chapter 19 | Verse 10] They are more desirable than gold, Yea, than much fine gold; and sweeter than honey, Even liquid honey of the comb.
[YLT | EN | OT | Psalms | Chapter 19 | Verse 11] Also — Thy servant is warned by them, 'In keeping them [is] a great reward.'
[YLT | EN | OT | Psalms | Chapter 19 | Verse 12] Errors! who doth understand? From hidden ones declare me innocent,
[YLT | EN | OT | Psalms | Chapter 19 | Verse 13] Also — from presumptuous ones keep back Thy servant, Let them not rule over me, Then am I perfect, And declared innocent of much transgression,
[YLT | EN | OT | Psalms | Chapter 19 | Verse 14] Let the sayings of my mouth, And the meditation of my heart, Be for a pleasing thing before Thee, O Jehovah, my rock, and my redeemer!
