[YLT | EN | OT | Psalms | Chapter 21 | Verse 1] To the Overseer. — A Psalm of David. Jehovah, in Thy strength is the king joyful, In Thy salvation how greatly he rejoiceth.
[YLT | EN | OT | Psalms | Chapter 21 | Verse 2] The desire of his heart Thou gavest to him, And the request of his lips Thou hast not withheld. Selah.
[YLT | EN | OT | Psalms | Chapter 21 | Verse 3] For Thou puttest before him blessings of goodness, Thou settest on his head a crown of fine gold.
[YLT | EN | OT | Psalms | Chapter 21 | Verse 4] Life he hath asked from Thee, Thou hast given to him — length of days, Age-during — and for ever.
[YLT | EN | OT | Psalms | Chapter 21 | Verse 5] Great [is] his honour in Thy salvation, Honour and majesty Thou placest on him.
[YLT | EN | OT | Psalms | Chapter 21 | Verse 6] For Thou makest him blessings for ever, Thou dost cause him to rejoice with joy, By Thy countenance.
[YLT | EN | OT | Psalms | Chapter 21 | Verse 7] For the king is trusting in Jehovah, And in the kindness of the Most High He is not moved.
[YLT | EN | OT | Psalms | Chapter 21 | Verse 8] Thy hand cometh to all Thine enemies, Thy right hand doth find Thy haters.
[YLT | EN | OT | Psalms | Chapter 21 | Verse 9] Thou makest them as a furnace of fire, At the time of Thy presence. Jehovah in His anger doth swallow them, And fire doth devour them.
[YLT | EN | OT | Psalms | Chapter 21 | Verse 10] Their fruit from earth Thou destroyest, And their seed from the sons of men.
[YLT | EN | OT | Psalms | Chapter 21 | Verse 11] For they stretched out against Thee evil, They devised a wicked device, they prevail not,
[YLT | EN | OT | Psalms | Chapter 21 | Verse 12] For Thou makest them a butt, When Thy strings Thou preparest against their faces.
[YLT | EN | OT | Psalms | Chapter 21 | Verse 13] Be Thou exalted, O Jehovah in, Thy strength, We sing and we praise Thy might!
