[YLT | EN | OT | Psalms | Chapter 46 | Verse 1] To the Overseer. — By sons of Korah. 'For the Virgins.' — A song. God [is] to us a refuge and strength, A help in adversities found most surely.
[YLT | EN | OT | Psalms | Chapter 46 | Verse 2] Therefore we fear not in the changing of earth, And in the slipping of mountains Into the heart of the seas.
[YLT | EN | OT | Psalms | Chapter 46 | Verse 3] Roar — troubled are its waters, Mountains they shake in its pride. Selah.
[YLT | EN | OT | Psalms | Chapter 46 | Verse 4] A river — its rivulets rejoice the city of God, Thy holy place of the tabernacles of the Most High.
[YLT | EN | OT | Psalms | Chapter 46 | Verse 5] God [is] in her midst — she is not moved, God doth help her at the turn of the morn!
[YLT | EN | OT | Psalms | Chapter 46 | Verse 6] Troubled have been nations, Moved have been kingdoms, He hath given forth with His voice, earth melteth.
[YLT | EN | OT | Psalms | Chapter 46 | Verse 7] Jehovah of Hosts [is] with us, A tower for us [is] the God of Jacob. Selah.
[YLT | EN | OT | Psalms | Chapter 46 | Verse 8] Come ye, see the works of Jehovah, Who hath done astonishing things in the earth,
[YLT | EN | OT | Psalms | Chapter 46 | Verse 9] Causing wars to cease, Unto the end of the earth, the bow he shivereth, And the spear He hath cut asunder, Chariots he doth burn with fire.
[YLT | EN | OT | Psalms | Chapter 46 | Verse 10] Desist, and know that I [am] God, I am exalted among nations, I am exalted in the earth.
[YLT | EN | OT | Psalms | Chapter 46 | Verse 11] Jehovah of hosts [is] with us, A tower for us [is] the God of Jacob! Selah.
