[YLT | EN | OT | Psalms | Chapter 33 | Verse 1] Sing, ye righteous, in Jehovah, For upright ones praise [is] comely.
[YLT | EN | OT | Psalms | Chapter 33 | Verse 2] Give ye thanks to Jehovah with a harp, With psaltery of ten strings sing praise to Him,
[YLT | EN | OT | Psalms | Chapter 33 | Verse 3] Sing ye to Him a new song, Play skilfully with shouting.
[YLT | EN | OT | Psalms | Chapter 33 | Verse 4] For upright [is] the word of Jehovah, And all His work [is] in faithfulness.
[YLT | EN | OT | Psalms | Chapter 33 | Verse 5] Loving righteousness and judgment, Of the kindness of Jehovah is the earth full.
[YLT | EN | OT | Psalms | Chapter 33 | Verse 6] By the word of Jehovah The heavens have been made, And by the breath of His mouth all their host.
[YLT | EN | OT | Psalms | Chapter 33 | Verse 7] Gathering as a heap the waters of the sea, Putting in treasuries the depths.
[YLT | EN | OT | Psalms | Chapter 33 | Verse 8] Afraid of Jehovah are all the earth, Of Him are all the inhabitants of the world afraid.
[YLT | EN | OT | Psalms | Chapter 33 | Verse 9] For He hath said, and it is, He hath commanded, and it standeth.
[YLT | EN | OT | Psalms | Chapter 33 | Verse 10] Jehovah made void the counsel of nations, He disallowed the thoughts of the peoples.
[YLT | EN | OT | Psalms | Chapter 33 | Verse 11] The counsel of Jehovah to the age standeth, The thoughts of His heart to all generations.
[YLT | EN | OT | Psalms | Chapter 33 | Verse 12] O the happiness of the nation whose God [is] Jehovah, Of the people He did choose, For an inheritance to Him.
[YLT | EN | OT | Psalms | Chapter 33 | Verse 13] From the heavens hath Jehovah looked, He hath seen all the sons of men.
[YLT | EN | OT | Psalms | Chapter 33 | Verse 14] From the fixed place of His dwelling, He looked unto all inhabitants of the earth;
[YLT | EN | OT | Psalms | Chapter 33 | Verse 15] Who is forming their hearts together, Who is attending unto all their works.
[YLT | EN | OT | Psalms | Chapter 33 | Verse 16] The king is not saved by the multitude of a force. A mighty man is not delivered, By abundance of power.
[YLT | EN | OT | Psalms | Chapter 33 | Verse 17] A false thing [is] the horse for safety, And by the abundance of his strength He doth not deliver.
[YLT | EN | OT | Psalms | Chapter 33 | Verse 18] Lo, the eye of Jehovah [is] to those fearing Him, To those waiting for His kindness,
[YLT | EN | OT | Psalms | Chapter 33 | Verse 19] To deliver from death their soul, And to keep them alive in famine.
[YLT | EN | OT | Psalms | Chapter 33 | Verse 20] Our soul hath waited for Jehovah, Our help and our shield [is] He,
[YLT | EN | OT | Psalms | Chapter 33 | Verse 21] For in Him doth our heart rejoice, For in His holy name we have trusted.
[YLT | EN | OT | Psalms | Chapter 33 | Verse 22] Let Thy kindness, O Jehovah, be upon us, As we have waited for Thee!
