[YLT | EN | OT | Psalms | Chapter 76 | Verse 1] To the Overseer with stringed instruments. — A Psalm of Asaph. — A Song. In Judah [is] God known, in Israel His name [is] great.
[YLT | EN | OT | Psalms | Chapter 76 | Verse 2] And His tabernacle is in Salem, And His habitation in Zion.
[YLT | EN | OT | Psalms | Chapter 76 | Verse 3] There he hath shivered arrows of a bow, Shield, and sword, and battle. Selah.
[YLT | EN | OT | Psalms | Chapter 76 | Verse 4] Bright [art] Thou, honourable above hills of prey.
[YLT | EN | OT | Psalms | Chapter 76 | Verse 5] Spoiled themselves have the mighty of heart, They have slept their sleep, And none of the men of might found their hands.
[YLT | EN | OT | Psalms | Chapter 76 | Verse 6] From Thy rebuke, O God of Jacob, Both rider and horse have been fast asleep.
[YLT | EN | OT | Psalms | Chapter 76 | Verse 7] Thou, fearful [art] Thou, And who doth stand before Thee, Since Thou hast been angry!
[YLT | EN | OT | Psalms | Chapter 76 | Verse 8] From heaven Thou hast sounded judgment, Earth hath feared, and hath been still,
[YLT | EN | OT | Psalms | Chapter 76 | Verse 9] In the rising of God to judgment, To save all the humble of earth. Selah.
[YLT | EN | OT | Psalms | Chapter 76 | Verse 10] For the fierceness of man praiseth Thee, The remnant of fierceness Thou girdest on.
[YLT | EN | OT | Psalms | Chapter 76 | Verse 11] Vow and complete to Jehovah your God, All ye surrounding him. They bring presents to the Fearful One.
[YLT | EN | OT | Psalms | Chapter 76 | Verse 12] He doth gather the spirit of leaders, Fearful to the kings of earth!
