[YLT | EN | OT | Psalms | Chapter 145 | Verse 1] Praise by David. I exalt Thee, my God, O king, And bless Thy name to the age and for ever.
[YLT | EN | OT | Psalms | Chapter 145 | Verse 2] Every day do I bless Thee, And praise Thy name to the age and for ever.
[YLT | EN | OT | Psalms | Chapter 145 | Verse 3] Great [is] Jehovah, and praised greatly, And of His greatness there is no searching.
[YLT | EN | OT | Psalms | Chapter 145 | Verse 4] Generation to generation praiseth Thy works, And Thy mighty acts they declare.
[YLT | EN | OT | Psalms | Chapter 145 | Verse 5] The honour — the glory of Thy majesty, And the matters of Thy wonders I declare.
[YLT | EN | OT | Psalms | Chapter 145 | Verse 6] And the strength of Thy fearful acts they tell, And Thy greatness I recount.
[YLT | EN | OT | Psalms | Chapter 145 | Verse 7] The memorial of the abundance of Thy goodness they send forth. And Thy righteousness they sing.
[YLT | EN | OT | Psalms | Chapter 145 | Verse 8] Gracious and merciful [is] Jehovah, Slow to anger, and great in kindness.
[YLT | EN | OT | Psalms | Chapter 145 | Verse 9] Good [is] Jehovah to all, And His mercies [are] over all His works.
[YLT | EN | OT | Psalms | Chapter 145 | Verse 10] Confess Thee O Jehovah, do all Thy works, And Thy saints do bless Thee.
[YLT | EN | OT | Psalms | Chapter 145 | Verse 11] The honour of Thy kingdom they tell, And [of] Thy might they speak,
[YLT | EN | OT | Psalms | Chapter 145 | Verse 12] To make known to sons of men His mighty acts, The honour of the majesty of His kingdom.
[YLT | EN | OT | Psalms | Chapter 145 | Verse 13] Thy kingdom [is] a kingdom of all ages, And Thy dominion [is] in all generations.
[YLT | EN | OT | Psalms | Chapter 145 | Verse 14] Jehovah is supporting all who are falling, And raising up all who are bowed down.
[YLT | EN | OT | Psalms | Chapter 145 | Verse 15] The eyes of all unto Thee do look, And Thou art giving to them their food in its season,
[YLT | EN | OT | Psalms | Chapter 145 | Verse 16] Opening Thy hand, and satisfying The desire of every living thing.
[YLT | EN | OT | Psalms | Chapter 145 | Verse 17] Righteous [is] Jehovah in all His ways, And kind in all His works.
[YLT | EN | OT | Psalms | Chapter 145 | Verse 18] Near [is] Jehovah to all those calling Him, To all who call Him in truth.
[YLT | EN | OT | Psalms | Chapter 145 | Verse 19] The desire of those fearing Him He doth, And their cry He heareth, and saveth them.
[YLT | EN | OT | Psalms | Chapter 145 | Verse 20] Jehovah preserveth all those loving Him, And all the wicked He destroyeth.
[YLT | EN | OT | Psalms | Chapter 145 | Verse 21] The praise of Jehovah my mouth speaketh, And all flesh doth bless His holy name, To the age and for ever!
