[YLT | EN | OT | Psalms | Chapter 132 | Verse 1] A Song of the Ascents. Remember, Jehovah, for David, all his afflictions.
[YLT | EN | OT | Psalms | Chapter 132 | Verse 2] Who hath sworn to Jehovah. He hath vowed to the Mighty One of Jacob:
[YLT | EN | OT | Psalms | Chapter 132 | Verse 3] 'If I enter into the tent of my house, If I go up on the couch of my bed,
[YLT | EN | OT | Psalms | Chapter 132 | Verse 4] If I give sleep to mine eyes, To mine eyelids — slumber,
[YLT | EN | OT | Psalms | Chapter 132 | Verse 5] Till I do find a place for Jehovah, Tabernacles for the Mighty One of Jacob.
[YLT | EN | OT | Psalms | Chapter 132 | Verse 6] 'Lo, we have heard it in Ephratah, We have found it in the fields of the forest.
[YLT | EN | OT | Psalms | Chapter 132 | Verse 7] We come in to His tabernacles, We bow ourselves at His footstool.
[YLT | EN | OT | Psalms | Chapter 132 | Verse 8] Arise, O Jehovah, to Thy rest, Thou, and the ark of Thy strength,
[YLT | EN | OT | Psalms | Chapter 132 | Verse 9] Thy priests do put on righteousness, And Thy pious ones cry aloud.
[YLT | EN | OT | Psalms | Chapter 132 | Verse 10] For the sake of David Thy servant, Turn not back the face of Thine anointed.
[YLT | EN | OT | Psalms | Chapter 132 | Verse 11] Jehovah hath sworn truth to David, He turneth not back from it: Of the fruit of thy body, I set on the throne for thee.
[YLT | EN | OT | Psalms | Chapter 132 | Verse 12] If thy sons keep My covenant, And My testimonies that I teach them, Their sons also for ever and ever, Do sit on the throne for thee.
[YLT | EN | OT | Psalms | Chapter 132 | Verse 13] For Jehovah hath fixed on Zion, He hath desired [it] for a seat to Himself,
[YLT | EN | OT | Psalms | Chapter 132 | Verse 14] This [is] My rest for ever and ever, Here do I sit, for I have desired it.
[YLT | EN | OT | Psalms | Chapter 132 | Verse 15] Her provision I greatly bless, Her needy ones I satisfy [with] bread,
[YLT | EN | OT | Psalms | Chapter 132 | Verse 16] And her priests I clothe [with] salvation, And her pious ones do sing aloud.
[YLT | EN | OT | Psalms | Chapter 132 | Verse 17] There I cause to spring up a horn for David, I have arranged a lamp for Mine anointed.
[YLT | EN | OT | Psalms | Chapter 132 | Verse 18] His enemies I do clothe [with] shame, And upon him doth his crown flourish!
