[YLT | EN | OT | Psalms | Chapter 37 | Verse 1] By David. Do not fret because of evil doers, Be not envious against doers of iniquity,
[YLT | EN | OT | Psalms | Chapter 37 | Verse 2] For as grass speedily they are cut off, And as the greenness of the tender grass do fade.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 3] Trust in Jehovah, and do good, Dwell [in] the land, and enjoy faithfulness,
[YLT | EN | OT | Psalms | Chapter 37 | Verse 4] And delight thyself on Jehovah, And He giveth to thee the petitions of thy heart.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 5] Roll on Jehovah thy way, And trust upon Him, and He worketh,
[YLT | EN | OT | Psalms | Chapter 37 | Verse 6] And hath brought out as light thy righteousness, And thy judgment as noon-day.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 7] Be silent for Jehovah, and stay thyself for Him, Do not fret because of him Who is making prosperous his way, Because of a man doing wicked devices.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 8] Desist from anger, and forsake fury, Fret not thyself only to do evil.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 9] For evil doers are cut off, As to those waiting on Jehovah, they possess the land.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 10] And yet a little, and the wicked is not, And thou hast considered his place, and it is not.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 11] And the humble do possess the land, And they have delighted themselves In the abundance of peace.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 12] The wicked is devising against the righteous, And gnashing against him his teeth.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 13] The Lord doth laugh at him, For He hath seen that his day cometh.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 14] A sword have the wicked opened, And they have trodden their bow, To cause to fall the poor and needy, To slaughter the upright of the way.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 15] Their sword doth enter into their own heart, And their bows are shivered.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 16] Better [is] the little of the righteous, Than the store of many wicked.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 17] For the arms of the wicked are shivered, And Jehovah is sustaining the righteous.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 18] Jehovah knoweth the days of the perfect, And their inheritance is — to the age.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 19] They are not ashamed in a time of evil, And in days of famine they are satisfied.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 20] But the wicked perish, and the enemies of Jehovah, As the preciousness of lambs, Have been consumed, In smoke they have been consumed.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 21] The wicked is borrowing and repayeth not, And the righteous is gracious and giving.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 22] For His blessed ones do possess the land, And His reviled ones are cut off.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 23] From Jehovah [are] the steps of a man, They have been prepared, And his way he desireth.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 24] When he falleth, he is not cast down, For Jehovah is sustaining his hand.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 25] Young I have been, I have also become old, And I have not seen the righteous forsaken, And his seed seeking bread.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 26] All the day he is gracious and lending, And his seed [is] for a blessing.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 27] Turn aside from evil, and do good, and dwell to the age.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 28] For Jehovah is loving judgment, And He doth not forsake His saintly ones, To the age they have been kept, And the seed of the wicked is cut off.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 29] The righteous possess the land, And they dwell for ever on it.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 30] The mouth of the righteous uttereth wisdom, And his tongue speaketh judgment.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 31] The law of his God [is] his heart, His steps do not slide.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 32] The wicked is watching for the righteous, And is seeking to put him to death.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 33] Jehovah doth not leave him in his hand, Nor condemn him in his being judged.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 34] Look unto Jehovah, and keep His way, And He doth exalt thee to possess the land, In the wicked being cut off — thou seest!
[YLT | EN | OT | Psalms | Chapter 37 | Verse 35] I have seen the wicked terrible, And spreading as a green native plant,
[YLT | EN | OT | Psalms | Chapter 37 | Verse 36] And he passeth away, and lo, he is not, And I seek him, and he is not found!
[YLT | EN | OT | Psalms | Chapter 37 | Verse 37] Observe the perfect, and see the upright, For the latter end of each [is] peace.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 38] And transgressors were destroyed together, The latter end of the wicked was cut off.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 39] And the salvation of the righteous [is] from Jehovah, Their strong place in a time of adversity.
[YLT | EN | OT | Psalms | Chapter 37 | Verse 40] And Jehovah doth help them and deliver them, He delivereth them from the wicked, And saveth them, Because they trusted in Him!
