[YLT | EN | OT | Psalms | Chapter 83 | Verse 1] A Song, — A Psalm of Asaph. O God, let there be no silence to Thee, Be not silent, nor be quiet, O God.
[YLT | EN | OT | Psalms | Chapter 83 | Verse 2] For, lo, Thine enemies do roar, And those hating Thee have lifted up the head,
[YLT | EN | OT | Psalms | Chapter 83 | Verse 3] Against Thy people they take crafty counsel, And consult against Thy hidden ones.
[YLT | EN | OT | Psalms | Chapter 83 | Verse 4] They have said, 'Come, And we cut them off from [being] a nation, And the name of Israel is not remembered any more.'
[YLT | EN | OT | Psalms | Chapter 83 | Verse 5] For they consulted in heart together, Against Thee a covenant they make,
[YLT | EN | OT | Psalms | Chapter 83 | Verse 6] Tents of Edom, and Ishmaelites, Moab, and the Hagarenes,
[YLT | EN | OT | Psalms | Chapter 83 | Verse 7] Gebal, and Ammon, and Amalek, Philistia with inhabitants of Tyre,
[YLT | EN | OT | Psalms | Chapter 83 | Verse 8] Asshur also is joined with them, They have been an arm to sons of Lot. Selah.
[YLT | EN | OT | Psalms | Chapter 83 | Verse 9] Do to them as [to] Midian, As [to] Sisera, as [to] Jabin, at the stream Kishon.
[YLT | EN | OT | Psalms | Chapter 83 | Verse 10] They were destroyed at Endor, They were dung for the ground!
[YLT | EN | OT | Psalms | Chapter 83 | Verse 11] Make their nobles as Oreb and as Zeeb, And as Zebah and Zalmunna all their princes,
[YLT | EN | OT | Psalms | Chapter 83 | Verse 12] Who have said, 'Let us occupy for ourselves The comely places of God.'
[YLT | EN | OT | Psalms | Chapter 83 | Verse 13] O my God, make them as a rolling thing, As stubble before wind.
[YLT | EN | OT | Psalms | Chapter 83 | Verse 14] As a fire doth burn a forest, And as a flame setteth hills on fire,
[YLT | EN | OT | Psalms | Chapter 83 | Verse 15] So dost Thou pursue them with Thy whirlwind, And with Thy hurricane troublest them.
[YLT | EN | OT | Psalms | Chapter 83 | Verse 16] Fill their faces [with] shame, And they seek Thy name, O Jehovah.
[YLT | EN | OT | Psalms | Chapter 83 | Verse 17] They are ashamed and troubled for ever, Yea, they are confounded and lost.
[YLT | EN | OT | Psalms | Chapter 83 | Verse 18] And they know that Thou — (Thy name [is] Jehovah — by Thyself,) [Art] the Most High over all the earth!
