[YLT | EN | OT | Psalms | Chapter 77 | Verse 1] To the Overseer, for Jeduthun. — A Psalm of Asaph. My voice [is] to God, and I cry, my voice [is] to God, And He hath given ear unto me.
[YLT | EN | OT | Psalms | Chapter 77 | Verse 2] In a day of my distress the Lord I sought, My hand by night hath been spread out, And it doth not cease, My soul hath refused to be comforted.
[YLT | EN | OT | Psalms | Chapter 77 | Verse 3] I remember God, and make a noise, I meditate, and feeble is my spirit. Selah.
[YLT | EN | OT | Psalms | Chapter 77 | Verse 4] Thou hast taken hold of the watches of mine eyes, I have been moved, and I speak not.
[YLT | EN | OT | Psalms | Chapter 77 | Verse 5] I have reckoned the days of old, The years of the ages.
[YLT | EN | OT | Psalms | Chapter 77 | Verse 6] I remember my music in the night, With my heart I meditate, and my spirit doth search diligently:
[YLT | EN | OT | Psalms | Chapter 77 | Verse 7] To the ages doth the Lord cast off? Doth He add to be pleased no more?
[YLT | EN | OT | Psalms | Chapter 77 | Verse 8] Hath His kindness ceased for ever? The saying failed to all generations?
[YLT | EN | OT | Psalms | Chapter 77 | Verse 9] Hath God forgotten [His] favours? Hath He shut up in anger His mercies? Selah.
[YLT | EN | OT | Psalms | Chapter 77 | Verse 10] And I say: 'My weakness is, The changes of the right hand of the Most High.'
[YLT | EN | OT | Psalms | Chapter 77 | Verse 11] I mention the doings of Jah, For I remember of old Thy wonders,
[YLT | EN | OT | Psalms | Chapter 77 | Verse 12] And I have meditated on all Thy working, And I talk concerning Thy doings.
[YLT | EN | OT | Psalms | Chapter 77 | Verse 13] O God, in holiness [is] Thy way, Who [is] a great god like God?
[YLT | EN | OT | Psalms | Chapter 77 | Verse 14] Thou [art] the God doing wonders. Thou hast made known among the peoples Thy strength,
[YLT | EN | OT | Psalms | Chapter 77 | Verse 15] Thou hast redeemed with strength Thy people, The sons of Jacob and Joseph. Selah.
[YLT | EN | OT | Psalms | Chapter 77 | Verse 16] The waters have seen Thee, O God, The waters have seen Thee, They are afraid — also depths are troubled.
[YLT | EN | OT | Psalms | Chapter 77 | Verse 17] Poured out waters have thick clouds, The skies have given forth a noise, Also — Thine arrows go up and down.
[YLT | EN | OT | Psalms | Chapter 77 | Verse 18] The voice of Thy thunder [is] in the spheres, Lightnings have lightened the world, The earth hath trembled, yea, it shaketh.
[YLT | EN | OT | Psalms | Chapter 77 | Verse 19] In the sea [is] Thy way, And Thy paths [are] in many waters, And Thy tracks have not been known.
[YLT | EN | OT | Psalms | Chapter 77 | Verse 20] Thou hast led as a flock Thy people, By the hand of Moses and Aaron!
