[YLT | EN | OT | Psalms | Chapter 90 | Verse 1] A Prayer of Moses, the man of God. Lord, a habitation Thou — Thou hast been, To us — in generation and generation,
[YLT | EN | OT | Psalms | Chapter 90 | Verse 2] Before mountains were brought forth, And Thou dost form the earth and the world, Even from age unto age Thou [art] God.
[YLT | EN | OT | Psalms | Chapter 90 | Verse 3] Thou turnest man unto a bruised thing, And sayest, Turn back, ye sons of men.
[YLT | EN | OT | Psalms | Chapter 90 | Verse 4] For a thousand years in Thine eyes [are] as yesterday, For it passeth on, yea, a watch by night.
[YLT | EN | OT | Psalms | Chapter 90 | Verse 5] Thou hast inundated them, they are asleep, In the morning as grass he changeth.
[YLT | EN | OT | Psalms | Chapter 90 | Verse 6] In the morning it flourisheth, and hath changed, At evening it is cut down, and hath withered.
[YLT | EN | OT | Psalms | Chapter 90 | Verse 7] For we were consumed in Thine anger, And in Thy fury we have been troubled.
[YLT | EN | OT | Psalms | Chapter 90 | Verse 8] Thou hast set our iniquities before Thee, Our hidden things at the light of Thy face,
[YLT | EN | OT | Psalms | Chapter 90 | Verse 9] For all our days pined away in Thy wrath, We consumed our years as a meditation.
[YLT | EN | OT | Psalms | Chapter 90 | Verse 10] Days of our years, in them [are] seventy years, And if, by reason of might, eighty years, Yet [is] their enlargement labour and vanity, For it hath been cut off hastily, and we fly away.
[YLT | EN | OT | Psalms | Chapter 90 | Verse 11] Who knoweth the power of Thine anger? And according to Thy fear — Thy wrath?
[YLT | EN | OT | Psalms | Chapter 90 | Verse 12] To number our days aright let [us] know, And we bring the heart to wisdom.
[YLT | EN | OT | Psalms | Chapter 90 | Verse 13] Turn back, O Jehovah, till when? And repent concerning Thy servants.
[YLT | EN | OT | Psalms | Chapter 90 | Verse 14] Satisfy us at morn [with] Thy kindness, And we sing and rejoice all our days.
[YLT | EN | OT | Psalms | Chapter 90 | Verse 15] Cause us to rejoice according to the days Wherein Thou hast afflicted us, The years we have seen evil.
[YLT | EN | OT | Psalms | Chapter 90 | Verse 16] Let Thy work appear unto Thy servants, And Thine honour on their sons.
[YLT | EN | OT | Psalms | Chapter 90 | Verse 17] And let the pleasantness of Jehovah our God be upon us, And the work of our hands establish on us, Yea, the work of our hands establish it!
