[YLT | EN | OT | Psalms | Chapter 5 | Verse 1] To the Overseer, 'Concerning the Inheritances.' — A Psalm of David. My sayings hear, O Jehovah, Consider my meditation.
[YLT | EN | OT | Psalms | Chapter 5 | Verse 2] Be attentive to the voice of my cry, My king and my God, For unto Thee I pray habitually.
[YLT | EN | OT | Psalms | Chapter 5 | Verse 3] Jehovah, [at] morning Thou hearest my voice, [At] morning I set in array for Thee, And I look out.
[YLT | EN | OT | Psalms | Chapter 5 | Verse 4] For not a God desiring wickedness [art] Thou, Evil inhabiteth Thee not.
[YLT | EN | OT | Psalms | Chapter 5 | Verse 5] The boastful station not themselves before Thine eyes: Thou hast hated all working iniquity.
[YLT | EN | OT | Psalms | Chapter 5 | Verse 6] Thou destroyest those speaking lies, A man of blood and deceit Jehovah doth abominate.
[YLT | EN | OT | Psalms | Chapter 5 | Verse 7] And I, in the abundance of Thy kindness, I enter Thy house, I bow myself toward Thy holy temple in Thy fear.
[YLT | EN | OT | Psalms | Chapter 5 | Verse 8] O Jehovah, lead me in Thy righteousness, Because of those observing me, Make straight before me Thy way,
[YLT | EN | OT | Psalms | Chapter 5 | Verse 9] For there is no stability in their mouth. Their heart [is] mischiefs, An open grave [is] their throat, Their tongue they make smooth.
[YLT | EN | OT | Psalms | Chapter 5 | Verse 10] Declare them guilty, O God, Let them fall from their own counsels, In the abundance of their transgressions Drive them away, Because they have rebelled against Thee.
[YLT | EN | OT | Psalms | Chapter 5 | Verse 11] And rejoice do all trusting in Thee, To the age they sing, and Thou coverest them over, And those loving Thy name exult in Thee.
[YLT | EN | OT | Psalms | Chapter 5 | Verse 12] For Thou blessest the righteous, O Jehovah, As a buckler with favour dost compass him!
