[YLT | EN | OT | Psalms | Chapter 80 | Verse 1] To the Overseer. — 'On the Lilies.' A testimony of Asaph. — A Psalm. Shepherd of Israel, give ear, Leading Joseph as a flock, Inhabiting the cherubs — shine forth,
[YLT | EN | OT | Psalms | Chapter 80 | Verse 2] Before Ephraim, and Benjamin, and Manasseh, Wake up Thy might, and come for our salvation.
[YLT | EN | OT | Psalms | Chapter 80 | Verse 3] O God, cause us to turn back, And cause Thy face to shine, and we are saved.
[YLT | EN | OT | Psalms | Chapter 80 | Verse 4] Jehovah, God of Hosts, till when? Thou hast burned against the prayer of Thy people.
[YLT | EN | OT | Psalms | Chapter 80 | Verse 5] Thou hast caused them to eat bread of tears, And causest them to drink With tears a third time.
[YLT | EN | OT | Psalms | Chapter 80 | Verse 6] Thou makest us a strife to our neighbours, And our enemies mock at it.
[YLT | EN | OT | Psalms | Chapter 80 | Verse 7] God of Hosts, turn us back, And cause Thy face to shine, and we are saved.
[YLT | EN | OT | Psalms | Chapter 80 | Verse 8] A vine out of Egypt Thou dost bring, Thou dost cast out nations, and plantest it.
[YLT | EN | OT | Psalms | Chapter 80 | Verse 9] Thou hast looked before it, and dost root it, And it filleth the land,
[YLT | EN | OT | Psalms | Chapter 80 | Verse 10] Covered have been hills [with] its shadow, And its boughs [are] cedars of God.
[YLT | EN | OT | Psalms | Chapter 80 | Verse 11] It sendeth forth its branches unto the sea, And unto the river its sucklings.
[YLT | EN | OT | Psalms | Chapter 80 | Verse 12] Why hast Thou broken down its hedges, And all passing by the way have plucked it?
[YLT | EN | OT | Psalms | Chapter 80 | Verse 13] A boar out of the forest doth waste it, And a wild beast of the fields consumeth it.
[YLT | EN | OT | Psalms | Chapter 80 | Verse 14] God of Hosts, turn back, we beseech Thee, Look from heaven, and see, and inspect this vine,
[YLT | EN | OT | Psalms | Chapter 80 | Verse 15] And the root that Thy right hand planted, And the branch Thou madest strong for Thee,
[YLT | EN | OT | Psalms | Chapter 80 | Verse 16] Burnt with fire — cut down, From the rebuke of Thy face they perish.
[YLT | EN | OT | Psalms | Chapter 80 | Verse 17] Let Thy hand be on the man of Thy right hand, On the son of man Thou hast strengthened for Thyself.
[YLT | EN | OT | Psalms | Chapter 80 | Verse 18] And we do not go back from Thee, Thou dost revive us, and in Thy name we call.
[YLT | EN | OT | Psalms | Chapter 80 | Verse 19] O Jehovah, God of Hosts, turn us back, Cause Thy face to shine, and we are saved!
