[YLT | EN | OT | Psalms | Chapter 26 | Verse 1] By David. Judge me, O Jehovah, for I in mine integrity have walked, And in Jehovah I have trusted, I slide not.
[YLT | EN | OT | Psalms | Chapter 26 | Verse 2] Try me, O Jehovah, and prove me, Purified [are] my reins and my heart.
[YLT | EN | OT | Psalms | Chapter 26 | Verse 3] For Thy kindness [is] before mine eyes, And I have walked habitually in Thy truth.
[YLT | EN | OT | Psalms | Chapter 26 | Verse 4] I have not sat with vain men, And with dissemblers I enter not.
[YLT | EN | OT | Psalms | Chapter 26 | Verse 5] I have hated the assembly of evil doers, And with the wicked I sit not.
[YLT | EN | OT | Psalms | Chapter 26 | Verse 6] I wash in innocency my hands, And I compass Thine altar, O Jehovah.
[YLT | EN | OT | Psalms | Chapter 26 | Verse 7] To sound with a voice of confession, And to recount all Thy wonders.
[YLT | EN | OT | Psalms | Chapter 26 | Verse 8] Jehovah, I have loved the habitation of Thy house, And the place of the tabernacle of Thine honour.
[YLT | EN | OT | Psalms | Chapter 26 | Verse 9] Do not gather with sinners my soul, And with men of blood my life,
[YLT | EN | OT | Psalms | Chapter 26 | Verse 10] In whose hand [is] a wicked device, And their right hand [is] full of bribes.
[YLT | EN | OT | Psalms | Chapter 26 | Verse 11] And I, in mine integrity I walk, Redeem me, and favour me.
[YLT | EN | OT | Psalms | Chapter 26 | Verse 12] My foot hath stood in uprightness, In assemblies I bless Jehovah!
