[YLT | EN | OT | Psalms | Chapter 45 | Verse 1] To the Overseer. — 'On the Lilies.' — By sons of Korah. — An Instruction. — A song of loves. My heart hath indited a good thing, I am telling my works to a king, My tongue [is] the pen of a speedy writer.
[YLT | EN | OT | Psalms | Chapter 45 | Verse 2] Thou hast been beautified above the sons of men, Grace hath been poured into thy lips, Therefore hath God blessed thee to the age.
[YLT | EN | OT | Psalms | Chapter 45 | Verse 3] Gird Thy sword upon the thigh, O mighty, Thy glory and Thy majesty!
[YLT | EN | OT | Psalms | Chapter 45 | Verse 4] As to Thy majesty — prosper! — ride! Because of truth, and meekness — righteousness, And Thy right hand showeth Thee fearful things.
[YLT | EN | OT | Psalms | Chapter 45 | Verse 5] Thine arrows [are] sharp, — Peoples fall under Thee — In the heart of the enemies of the king.
[YLT | EN | OT | Psalms | Chapter 45 | Verse 6] Thy throne, O God, [is] age-during, and for ever, A sceptre of uprightness [Is] the sceptre of Thy kingdom.
[YLT | EN | OT | Psalms | Chapter 45 | Verse 7] Thou hast loved righteousness and hatest wickedness, Therefore God, thy God, hath anointed thee, Oil of joy above thy companions.
[YLT | EN | OT | Psalms | Chapter 45 | Verse 8] Myrrh and aloes, cassia! all thy garments, Out of palaces of ivory Stringed instruments have made thee glad.
[YLT | EN | OT | Psalms | Chapter 45 | Verse 9] Daughters of kings [are] among thy precious ones, A queen hath stood at thy right hand, In pure gold of Ophir.
[YLT | EN | OT | Psalms | Chapter 45 | Verse 10] Hearken, O daughter, and see, incline thine ear, And forget thy people, and thy father's house,
[YLT | EN | OT | Psalms | Chapter 45 | Verse 11] And the king doth desire thy beauty, Because he [is] thy lord — bow thyself to him,
[YLT | EN | OT | Psalms | Chapter 45 | Verse 12] And the daughter of Tyre with a present, The rich of the people do appease thy face.
[YLT | EN | OT | Psalms | Chapter 45 | Verse 13] All glory [is] the daughter of the king within, Of gold-embroidered work [is] her clothing.
[YLT | EN | OT | Psalms | Chapter 45 | Verse 14] In divers colours she is brought to the king, Virgins — after her — her companions, Are brought to thee.
[YLT | EN | OT | Psalms | Chapter 45 | Verse 15] They are brought with joy and gladness, They come into the palace of the king.
[YLT | EN | OT | Psalms | Chapter 45 | Verse 16] Instead of thy fathers are thy sons, Thou dost appoint them for princes in all the earth.
[YLT | EN | OT | Psalms | Chapter 45 | Verse 17] I make mention of Thy name in all generations, Therefore do peoples praise Thee, To the age, and for ever!
