[YLT | EN | OT | Psalms | Chapter 135 | Verse 1] Praise ye Jah! Praise ye the name of Jehovah, Praise, ye servants of Jehovah,
[YLT | EN | OT | Psalms | Chapter 135 | Verse 2] Who are standing in the house of Jehovah, In the courts of the house of our God.
[YLT | EN | OT | Psalms | Chapter 135 | Verse 3] Praise ye Jah! for Jehovah [is] good, Sing praise to His name, for [it is] pleasant.
[YLT | EN | OT | Psalms | Chapter 135 | Verse 4] For Jacob hath Jah chosen for Himself, Israel for His peculiar treasure.
[YLT | EN | OT | Psalms | Chapter 135 | Verse 5] For I have known that great [is] Jehovah, Yea, our Lord [is] above all gods.
[YLT | EN | OT | Psalms | Chapter 135 | Verse 6] All that Jehovah pleased He hath done, In the heavens and in earth, In the seas and all deep places,
[YLT | EN | OT | Psalms | Chapter 135 | Verse 7] Causing vapours to ascend from the end of the earth, Lightnings for the rain He hath made, Bringing forth wind from His treasures.
[YLT | EN | OT | Psalms | Chapter 135 | Verse 8] Who smote the first-born of Egypt, From man unto beast.
[YLT | EN | OT | Psalms | Chapter 135 | Verse 9] He sent tokens and wonders into thy midst, O Egypt, On Pharaoh and on all his servants.
[YLT | EN | OT | Psalms | Chapter 135 | Verse 10] Who smote many nations, and slew strong kings,
[YLT | EN | OT | Psalms | Chapter 135 | Verse 11] Even Sihon king of the Amorite, And Og king of Bashan, And all kingdoms of Canaan.
[YLT | EN | OT | Psalms | Chapter 135 | Verse 12] And He gave their land an inheritance, An inheritance to Israel His people,
[YLT | EN | OT | Psalms | Chapter 135 | Verse 13] O Jehovah, Thy name [is] to the age, O Jehovah, Thy memorial to all generations.
[YLT | EN | OT | Psalms | Chapter 135 | Verse 14] For Jehovah doth judge His people, And for His servants comforteth Himself.
[YLT | EN | OT | Psalms | Chapter 135 | Verse 15] The idols of the nations [are] silver and gold, Work of the hands of man.
[YLT | EN | OT | Psalms | Chapter 135 | Verse 16] A mouth they have, and they speak not, Eyes they have, and they see not,
[YLT | EN | OT | Psalms | Chapter 135 | Verse 17] Ears they have, and they give not ear, Nose — there is no breath in their mouth!
[YLT | EN | OT | Psalms | Chapter 135 | Verse 18] Like them are their makers, Every one who is trusting in them.
[YLT | EN | OT | Psalms | Chapter 135 | Verse 19] O house of Israel, bless ye Jehovah, O house of Aaron, bless ye Jehovah,
[YLT | EN | OT | Psalms | Chapter 135 | Verse 20] O house of Levi, bless ye Jehovah, Those fearing Jehovah, bless ye Jehovah.
[YLT | EN | OT | Psalms | Chapter 135 | Verse 21] Blessed [is] Jehovah from Zion, Inhabiting Jerusalem — praise ye Jah!
