[YLT | EN | OT | Psalms | Chapter 95 | Verse 1] Come, we sing to Jehovah, We shout to the rock of our salvation.
[YLT | EN | OT | Psalms | Chapter 95 | Verse 2] We come before His face with thanksgiving, With psalms we shout to Him.
[YLT | EN | OT | Psalms | Chapter 95 | Verse 3] For a great God [is] Jehovah, And a great king over all gods.
[YLT | EN | OT | Psalms | Chapter 95 | Verse 4] In whose hand [are] the deep places of earth, And the strong places of hills [are] His.
[YLT | EN | OT | Psalms | Chapter 95 | Verse 5] Whose is the sea, and He made it, And His hands formed the dry land.
[YLT | EN | OT | Psalms | Chapter 95 | Verse 6] Come in, we bow ourselves, and we bend, We kneel before Jehovah our Maker.
[YLT | EN | OT | Psalms | Chapter 95 | Verse 7] For He [is] our God, and we the people of His pasture, And the flock of His hand, To-day, if to His voice ye hearken,
[YLT | EN | OT | Psalms | Chapter 95 | Verse 8] Harden not your heart as [in] Meribah, As [in] the day of Massah in the wilderness,
[YLT | EN | OT | Psalms | Chapter 95 | Verse 9] Where your fathers have tried Me, Have proved Me, yea, have seen My work.
[YLT | EN | OT | Psalms | Chapter 95 | Verse 10] Forty years I am weary of the generation, And I say, 'A people erring in heart — they! And they have not known My ways:'
[YLT | EN | OT | Psalms | Chapter 95 | Verse 11] Where I sware in Mine anger, 'If they come in unto My rest — !'
