[YLT | EN | OT | Psalms | Chapter 118 | Verse 1] Give ye thanks to Jehovah, For good, for to the age [is] His kindness.
[YLT | EN | OT | Psalms | Chapter 118 | Verse 2] I pray you, let Israel say, That, to the age [is] His kindness.
[YLT | EN | OT | Psalms | Chapter 118 | Verse 3] I pray you, let the house of Aaron say, That, to the age [is] His kindness.
[YLT | EN | OT | Psalms | Chapter 118 | Verse 4] I pray you, let those fearing Jehovah say, That, to the age [is] His kindness.
[YLT | EN | OT | Psalms | Chapter 118 | Verse 5] From the straitness I called Jah, Jah answered me in a broad place.
[YLT | EN | OT | Psalms | Chapter 118 | Verse 6] Jehovah [is] for me, I do not fear what man doth to me.
[YLT | EN | OT | Psalms | Chapter 118 | Verse 7] Jehovah [is] for me among my helpers, And I — I look on those hating me.
[YLT | EN | OT | Psalms | Chapter 118 | Verse 8] Better to take refuge in Jehovah than to trust in man,
[YLT | EN | OT | Psalms | Chapter 118 | Verse 9] Better to take refuge in Jehovah, Than to trust in princes.
[YLT | EN | OT | Psalms | Chapter 118 | Verse 10] All nations have compassed me about, In the name of Jehovah I surely cut them off.
[YLT | EN | OT | Psalms | Chapter 118 | Verse 11] They have compassed me about, Yea, they have compassed me about, In the name of Jehovah I surely cut them off.
[YLT | EN | OT | Psalms | Chapter 118 | Verse 12] They compassed me about as bees, They have been extinguished as a fire of thorns, In the name of Jehovah I surely cut them off.
[YLT | EN | OT | Psalms | Chapter 118 | Verse 13] Thou hast sorely thrust me to fall, And Jehovah hath helped me.
[YLT | EN | OT | Psalms | Chapter 118 | Verse 14] My strength and song [is] Jah, And He is to me for salvation.
[YLT | EN | OT | Psalms | Chapter 118 | Verse 15] A voice of singing and salvation, [Is] in the tents of the righteous, The right hand of Jehovah is doing valiantly.
[YLT | EN | OT | Psalms | Chapter 118 | Verse 16] The right hand of Jehovah is exalted, The right hand of Jehovah is doing valiantly.
[YLT | EN | OT | Psalms | Chapter 118 | Verse 17] I do not die, but live, And recount the works of Jah,
[YLT | EN | OT | Psalms | Chapter 118 | Verse 18] Jah hath sorely chastened me, And to death hath not given me up.
[YLT | EN | OT | Psalms | Chapter 118 | Verse 19] Open ye to me gates of righteousness, I enter into them — I thank Jah.
[YLT | EN | OT | Psalms | Chapter 118 | Verse 20] This [is] the gate to Jehovah, The righteous enter into it.
[YLT | EN | OT | Psalms | Chapter 118 | Verse 21] I thank Thee, for Thou hast answered me, And art to me for salvation.
[YLT | EN | OT | Psalms | Chapter 118 | Verse 22] A stone the builders refused Hath become head of a corner.
[YLT | EN | OT | Psalms | Chapter 118 | Verse 23] From Jehovah hath this been, It [is] wonderful in our eyes,
[YLT | EN | OT | Psalms | Chapter 118 | Verse 24] This [is] the day Jehovah hath made, We rejoice and are glad in it.
[YLT | EN | OT | Psalms | Chapter 118 | Verse 25] I beseech Thee, O Jehovah, save, I pray Thee, I beseech Thee, O Jehovah, prosper, I pray Thee.
[YLT | EN | OT | Psalms | Chapter 118 | Verse 26] Blessed [is] he who is coming In the name of Jehovah, We blessed you from the house of Jehovah,
[YLT | EN | OT | Psalms | Chapter 118 | Verse 27] God [is] Jehovah, and He giveth to us light, Direct ye the festal-sacrifice with cords, Unto the horns of the altar.
[YLT | EN | OT | Psalms | Chapter 118 | Verse 28] My God Thou [art], and I confess Thee, My God, I exalt Thee.
[YLT | EN | OT | Psalms | Chapter 118 | Verse 29] Give ye thanks to Jehovah, For good, for to the age, [is] His kindness!
