[IRV | GU | OT | 1 Chronicles | Chapter 14 | Verse 1] પછી તૂરના રાજા હીરામે, દાઉદને માટે મહેલ બાંધવા સારુ તેની પાસે સંદેશાવાહકો સાથે દેવદાર વૃક્ષ, કડિયા તથા સુતારો મોકલ્યા.
[IRV | GU | OT | 1 Chronicles | Chapter 14 | Verse 2] દાઉદ જાણતો હતો કે યહોવાહે, તેને ઇઝરાયલના રાજા તરીકે સ્થાપ્યો છે અને તેના ઇઝરાયલી લોકો માટે તેના રાજ્યનો મહિમા ઘણો વધાર્યો છે.
[IRV | GU | OT | 1 Chronicles | Chapter 14 | Verse 3] યરુશાલેમમાં, દાઉદે વધારે પત્નીઓ કરી અને તે બીજા ઘણાં દીકરા-દીકરીઓનો પિતા થયો.
[IRV | GU | OT | 1 Chronicles | Chapter 14 | Verse 4] યરુશાલેમમાં તેના જે દીકરાઓ જન્મ્યા તેઓનાં નામ આ પ્રમાણે છે: શામ્મૂઆ, શોબાબ, નાથાન, સુલેમાન,
[IRV | GU | OT | 1 Chronicles | Chapter 14 | Verse 5] ઈબ્હાર, અલીશૂઆ, એલ્પેલેટ,
[IRV | GU | OT | 1 Chronicles | Chapter 14 | Verse 6] નોગા, નેફેગ, યાફીઆ,
[IRV | GU | OT | 1 Chronicles | Chapter 14 | Verse 7] અલિશામા, બેલ્યાદા તથા અલિફેલેટ.
[IRV | GU | OT | 1 Chronicles | Chapter 14 | Verse 8] હવે જ્યારે પલિસ્તીઓએ સાંભળ્યું કે દાઉદ આખા ઇઝરાયલ પર રાજા તરીકે અભિષિક્ત થયો છે, ત્યારે તેઓ સર્વ તેની સામે લડાઈ કરવાને આવ્યા. પણ તે સાંભળીને દાઉદ તેઓની સામે બહાર નીકળ્યો.
[IRV | GU | OT | 1 Chronicles | Chapter 14 | Verse 9] હવે પલિસ્તીઓએ આવીને રફાઈમની ખીણમાં હુમલો કરીને લૂંટ ચલાવી.
[IRV | GU | OT | 1 Chronicles | Chapter 14 | Verse 10] પછી દાઉદે યહોવાહની સલાહ લીધી. તેણે પૂછ્યું, “શું હું પલિસ્તીઓ પર આક્રમણ કરું? શું તમે મને તેઓ પર વિજય અપાવશો?” યહોવાહે તેને કહ્યું, “આક્રમણ કર, હું તેઓને તારા હાથમાં સોંપી દઈશ.”
[IRV | GU | OT | 1 Chronicles | Chapter 14 | Verse 11] તેથી દાઉદ અને તેના માણસો, બાલ-પરાસીમ આગળ આવ્યા અને ત્યાં દાઉદે તેમને હરાવ્યા. દાઉદે કહ્યું; “જેમ પાણીના જોરથી પાળ તૂટી પડે છે તેમ ઈશ્વરે મારા દુશ્મનોનો સંહાર કર્યો છે.” તેથી તે જગ્યાનું નામ બાલ-પરાસીમ રાખવામાં આવ્યું.
[IRV | GU | OT | 1 Chronicles | Chapter 14 | Verse 12] પલિસ્તીઓ પોતાના દેવોને ત્યાં જ પડતા મૂકીને નાસી ગયા હતા, દાઉદની આજ્ઞાથી તેઓને બાળી નાખવામા આવ્યા.
[IRV | GU | OT | 1 Chronicles | Chapter 14 | Verse 13] પછી પલિસ્તીઓએ ફરીથી બીજી વાર ખીણમાં લૂંટ ચલાવી.
[IRV | GU | OT | 1 Chronicles | Chapter 14 | Verse 14] તેથી દાઉદે ફરીથી ઈશ્વરની સલાહ માગી. ઈશ્વરે તેને કહ્યું, “તું તેઓના ઉપર સામેથી હુમલો કરીશ નહિ, પણ ફરીને તેમની પાછળ જઈ શેતૂરના વૃક્ષોની સામેથી તેઓ પર હુમલો કરજે.
[IRV | GU | OT | 1 Chronicles | Chapter 14 | Verse 15] જ્યારે શેતૂરવૃક્ષોની ટોચમાં કૂચ થતી હોવાનો અવાજ તને સંભળાય, ત્યારે તું બહાર નીકળીને હુમલો કરજે. કેમ કે પલિસ્તીઓના સૈન્યનો સંહાર કરવા માટે ઈશ્વર તારી આગળ ગયા છે.”
[IRV | GU | OT | 1 Chronicles | Chapter 14 | Verse 16] ઈશ્વરે દાઉદને આજ્ઞા કરી હતી તેમ તેણે કર્યું. તેણે ગિબ્યોનથી તે છેક ગેઝેર સુધી પલિસ્તીઓના સૈન્યનો સંહાર કર્યો.
[IRV | GU | OT | 1 Chronicles | Chapter 14 | Verse 17] પછી દાઉદની કીર્તિ સર્વ દેશોમાં પ્રસરી ગઈ અને યહોવાહે, સર્વ પ્રજાઓને તેનાથી ભયભીત બનાવી દીધી.
