[IRV | GU | OT | 1 Chronicles | Chapter 8 | Verse 1] બિન્યામીનના પાંચ દીકરા; જયેષ્ઠ દીકરો બેલા, આશ્બેલ, અહારાહ,
[IRV | GU | OT | 1 Chronicles | Chapter 8 | Verse 2] નોહા તથા રાફા.
[IRV | GU | OT | 1 Chronicles | Chapter 8 | Verse 3] બેલાના દીકરાઓ; આદ્દાર, ગેરા, એહૂદ,
[IRV | GU | OT | 1 Chronicles | Chapter 8 | Verse 4] અબીશુઆ, નામાન, અહોઆહ,
[IRV | GU | OT | 1 Chronicles | Chapter 8 | Verse 5] ગેરા, શફૂફાન તથા હૂરામ.
[IRV | GU | OT | 1 Chronicles | Chapter 8 | Verse 6] આ એહૂદના વંશજો ગેબાના રહેવાસીઓના કુટુંબોના આગેવાનો હતા, તેઓને બંદીવાન કરીને માનાહાથમાં લઈ જવાયા.
[IRV | GU | OT | 1 Chronicles | Chapter 8 | Verse 7] નામાન, અહિયા, ગેરા. ગેરાના દીકરાઓ; ઉઝઝા તથા અહિહુદ.
[IRV | GU | OT | 1 Chronicles | Chapter 8 | Verse 8] શાહરાઈમે તેની પત્નીઓ હુશીમ અને બારાને છૂટાછેડા આપી દીધા, પછી મોઆબ દેશમાં અન્ય પત્નીઓથી થયેલા તેના દીકરા;
[IRV | GU | OT | 1 Chronicles | Chapter 8 | Verse 9] તેની પત્ની હોદેશથી, શાહરાઈમ યોબાબ, સિબ્યા, મેશા તથા માલ્કામ,
[IRV | GU | OT | 1 Chronicles | Chapter 8 | Verse 10] યેઉસ, શાખ્યા અને મિર્મા. આ તેના દીકરાઓ તેઓના કુટુંબોના આગેવાનો હતા.
[IRV | GU | OT | 1 Chronicles | Chapter 8 | Verse 11] પત્ની હુશીમથી જન્મેલા દીકરા અબિટુબ તથા એલ્પાલ.
[IRV | GU | OT | 1 Chronicles | Chapter 8 | Verse 12] એલ્પાલના દીકરાઓ; એબેર, મિશામ તથા શેમેદ. શેમેદે ઓનો તથા લોદ નગરો તથા ગામો બંધાવ્યાં,
[IRV | GU | OT | 1 Chronicles | Chapter 8 | Verse 13] તેના બીજા દીકરાઓ; બરિયા તથા શેમા. તેઓ આયાલોનમાં રહેતા કુટુંબોના આગેવાનો હતા, તેઓએ ગાથના રહેવાસીઓને કાઢી મૂક્યા.
[IRV | GU | OT | 1 Chronicles | Chapter 8 | Verse 14] બરિયાના દીકરાઓ; આહ્યો, શાશાક, યેરેમોથ,
