[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 1] આદમ, શેથ, અનોશ,
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 2] કેનાન, માહલાલેલ, યારેદ;
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 3] હનોખ, મથૂશેલાહ, લામેખ,
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 4] નૂહ, શેમ, હામ તથા યાફેથ.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 5] યાફેથના દીકરાઓ: ગોમેર, માગોગ, માદાય, યાવાન, તુબાલ, મેશેખ તથા તીરાસ.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 6] ગોમેરના દીકરા: આશ્કનાઝ, રિફાથ અને તોગાર્મા.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 7] યાવાનના દીકરા: એલીશા, તાર્શીશ, કિત્તીમ તથા દોદાનીમ.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 8] હામના દીકરા: કૂશ, મિસરાઈમ, પૂટ તથા કનાન.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 9] કૂશના દીકરા: સબા, હવીલા, સાબ્તા, રામા તથા સાબ્તેકા. રામાના દીકરા: શેબા તથા દેદાન.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 10] કૂશનો દીકરો નિમ્રોદ તે પૃથ્વી પરનો પ્રથમ વિજેતા હતો.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 11] મિસરાઈમ એ લૂદીમ, અનામીમ, લહાબીમ, નાફતુહીમ,
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 12] પાથરુસીમ, કાસ્લુહીમ પલિસ્તીઓના પૂર્વજ તથા કાફતોરીમનો પૂર્વજ હતો.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 13] કનાન પોતાના જયેષ્ઠ દીકરા સિદોન પછી હેથ,
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 14] યબૂસી, અમોરી, ગિર્ગાશી,
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 15] હિવ્વી, આર્કી, સિની,
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 16] આર્વાદી, સમારી તથા હમાથીઓનો પૂર્વજ હતો.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 17] શેમના દીકરા: એલામ, આશ્શૂર, આર્પાકશાદ, લૂદ, અરામ, ઉસ, હૂલ, ગેથેર તથા મેશેખ.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 18] આર્પાકશાદનો દીકરો શેલા, શેલાનો દીકરો એબેર.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 19] એબેરના બે દીકરા હતા: પેલેગ અને યોકટાન. પેલેગના સમયમાં પૃથ્વીના વિભાગ થયા હતા.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 20] યોકટાનના વંશજો: આલ્મોદાદ, શેલેફ, હસાર્માવેથ, યેરાહ,
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 21] હદોરામ, ઉઝાલ, દિકલાહ,
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 22] એબાલ, અબિમાએલ, શેબા,
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 23] ઓફીર, હવીલા અને યોબાબ.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 24] શેમ, આર્પાકશાદ, શેલા,
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 25] એબેર, પેલેગ, રેઉ,
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 26] સરૂગ, નાહોર, તેરાહ,
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 27] અને ઇબ્રામ એટલે ઇબ્રાહિમ.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 28] ઇબ્રાહિમના દીકરા: ઇસહાક તથા ઇશ્માએલ.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 29] તેઓની વંશાવળી આ છે: ઇશ્માએલના દીકરા: તેનો જ્યેષ્ઠ દીકરો નબાયોથ પછી કેદાર, આદબએલ, મિબ્સામ,
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 30] મિશમા, દુમા, માસ્સા, હદાદ, તેમા,
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 31] યટુર, નાફીશ તથા કેદમા. આ ઇશ્માએલના દીકરાઓ હતા.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 32] ઇબ્રાહિમની ઉપપત્ની કટૂરાના દીકરા: ઝિમ્રાન, યોકશાન, મદાન, મિદ્યાન, યિશ્બાક તથા શુઆ. યોકશાનના દીકરા: શેબા તથા દેદાન.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 33] મિદ્યાનના દીકરા: એફા, એફેર, હનોખ, અબીદા તથા એલ્દાહ.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 34] ઇબ્રાહિમનો દીકરો ઇસહાક. ઇસહાકના દીકરા: એસાવ તથા યાકૂબ ઇઝરાયલ હતા.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 35] એસાવના દીકરા: અલિફાઝ, રેઉએલ, યેઉશ, યાલામ તથા કોરા.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 36] અલિફાઝના દીકરા: તેમાન, ઓમાર, સફી, ગાતામ, કનાઝ, તિમ્ના તથા અમાલેક.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 37] રેઉએલના દીકરા: નાહાથ, ઝેરાહ, શામ્મા તથા મિઝઝા.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 38] સેઈરના દીકરા: લોટાન, શોબાલ, સિબયોન, અના, દિશોન, એસેર તથા દિશાન.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 39] લોટાનના દીકરા: હોરી તથા હોમામ. લોટાનની બહેન તિમ્ના.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 40] શોબાલના દીકરા: આલ્યાન, માનાહાથ, એબાલ, શફી તથા ઓનામ. સિબયોનના દીકરા: એયાહ તથા અના.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 41] અનાનો દીકરો: દિશોન. દિશોનના દીકરા: હામ્રાન, એશ્બાન, યિથ્રાન તથા ખરાન.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 42] એસેરના દીકરા: બિલ્હાન, ઝાવાન તથા યાકાન. દિશાનના દીકરા: ઉસ તથા આરાન.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 43] ઇઝરાયલમાં કોઈ રાજાએ રાજ કર્યું તે પહેલા આ બધા રાજાઓએ અદોમ દેશમાં રાજ કર્યું હતું: બેઓરનો દીકરો બેલા. તેના નગરનું નામ દિનહાબા હતું.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 44] બેલા મરણ પામ્યો ત્યારે બોસરાના ઝેરાહના દીકરા યોબાબે તેની જગ્યાએ રાજ કર્યું.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 45] યોબાબ મરણ પામ્યો, ત્યારે તેની જગ્યાએ તેમાનીઓના દેશના હુશામે રાજ કર્યું.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 46] હુશામ મરણ પામ્યો, ત્યારે બદાદના દીકરા હદાદે રાજ કર્યું. તેણે મોઆબીઓના દેશમાં મિદ્યાનીઓને હરાવ્યા અને માર્યા. તેના નગરનું નામ અવીથ હતું.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 47] હદાદ મરણ પામ્યો ત્યારે માસરેકાના સામ્લાએ તેની જગ્યાએ રાજ કર્યુ.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 48] સામ્લા મરણ પામ્યો ત્યારે નદી પરના રહોબોથના શાઉલે તેની જગ્યાએ રાજ કર્યુ.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 49] શાઉલ મરણ પામ્યો ત્યારે આખ્બોરના દીકરા બાલ-હનાને તેની જગ્યાએ રાજ કર્યું.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 50] બાલ-હનાન મરણ પામ્યો ત્યારે હદાદે તેની જગ્યાએ રાજ કર્યું. તેના નગરનું નામ પાઉ હતું. તેની પત્નીનું નામ મહેટાબેલ હતું, તે મેઝાહાબની દીકરી માટ્રેદની દીકરી હતી.
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 51] હદાદ મરણ પામ્યો. અદોમના સરદારો આ હતા: તિમ્ના, આલ્વાહ, યથેથ,
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 52] ઓહોલીબામાહ, એલા, પીનોન,
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 53] કનાઝ, તેમાન, મિબ્સાર,
[IRV | GU | OT | 1 Chronicles | Chapter 1 | Verse 54] માગ્દીએલ તથા ઇરામ. આ બધા અદોમ કુળના સરદારો હતા.
