[IRV | PA | NT | Titus | Chapter 1 | Verse 1] ਪੌਲੁਸ, ਜੋ ਪਰਮੇਸ਼ੁਰ ਦਾ ਦਾਸ ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਚੁਣਿਆਂ ਹੋਇਆਂ ਦੇ ਵਿਸ਼ਵਾਸ ਅਤੇ ਸੱਚੇ ਗਿਆਨ ਦੁਆਰਾ ਜੋ ਭਗਤੀ ਦੇ ਅਨੁਸਾਰ ਹੈ, ਸਥਾਪਤ ਕਰਨ ਲਈ ਯਿਸੂ ਮਸੀਹ ਦਾ ਰਸੂਲ ਹਾਂ।
[IRV | PA | NT | Titus | Chapter 1 | Verse 2] ਉਸ ਸਦੀਪਕ ਜੀਵਨ ਦੀ ਆਸ ਉੱਤੇ ਜਿਸ ਦਾ ਪਰਮੇਸ਼ੁਰ ਨੇ ਪੁਰਾਣੇ ਸਮਿਆਂ ਤੋਂ ਵਾਇਦਾ ਕੀਤਾ ਸੀ, ਉਹ ਕਦੇ ਝੂਠ ਨਹੀਂ ਬੋਲ ਸਕਦਾ।
[IRV | PA | NT | Titus | Chapter 1 | Verse 3] ਪਰ ਸਮੇਂ ਸਿਰ ਆਪਣੇ ਬਚਨ ਨੂੰ ਉਸ ਪਰਚਾਰ ਦੇ ਰਾਹੀਂ ਪਰਗਟ ਕੀਤਾ, ਜਿਹੜਾ ਸਾਡੇ ਮੁਕਤੀਦਾਤਾ ਪਰਮੇਸ਼ੁਰ ਦੀ ਆਗਿਆ ਅਨੁਸਾਰ ਮੈਨੂੰ ਸੌਂਪਿਆ ਗਿਆ।
[IRV | PA | NT | Titus | Chapter 1 | Verse 4] ਅੱਗੇ ਤੋਂ ਤੀਤੁਸ ਨੂੰ, ਜਿਹੜਾ ਵਿਸ਼ਵਾਸ ਵਿੱਚ ਮੇਰਾ ਸੱਚਾ ਪੁੱਤਰ ਹੈ, ਪਿਤਾ ਪਰਮੇਸ਼ੁਰ ਅਤੇ ਸਾਡੇ ਮੁਕਤੀਦਾਤਾ ਮਸੀਹ ਯਿਸੂ ਦੀ ਵੱਲੋਂ ਤੈਨੂੰ ਕਿਰਪਾ ਅਤੇ ਸ਼ਾਂਤੀ ਮਿਲਦੀ ਰਹੇ।
[IRV | PA | NT | Titus | Chapter 1 | Verse 5] ਮੈਂ ਤੈਨੂੰ ਇਸ ਕਰਕੇ ਕਰੇਤ ਵਿੱਚ ਛੱਡ ਆਇਆ ਸੀ, ਕਿਉਂ ਜੋ ਜਿਹੜੀਆਂ ਗੱਲਾਂ ਰਹਿ ਗਈਆਂ ਸਨ ਤੂੰ ਉਹਨਾਂ ਵਿੱਚ ਸੁਧਾਰ ਲਿਆਵੇ ਅਤੇ ਹਰੇਕ ਨਗਰ ਉੱਤੇ ਬਜ਼ੁਰਗਾਂ ਨੂੰ ਜ਼ਿੰਮੇਵਾਰੀ ਦੇਵੇ ਜਿਵੇਂ ਮੈਂ ਤੈਨੂੰ ਆਗਿਆ ਦਿੱਤੀ ਸੀ।
[IRV | PA | NT | Titus | Chapter 1 | Verse 6] ਜੋ ਨਿਰਦੋਸ਼ ਅਤੇ ਇੱਕੋ ਪਤਨੀ ਦਾ ਪਤੀ ਹੋਵੇ, ਜਿਸ ਦੇ ਬੱਚੇ ਵਿਸ਼ਵਾਸੀ ਹੋਣ ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਉੱਪਰ ਬਦਚਲਣੀ ਦਾ ਕੋਈ ਦੋਸ਼ ਨਾ ਹੋਵੇ ਅਤੇ ਨਾ ਉਹ ਢੀਠ ਹੋਣ।
[IRV | PA | NT | Titus | Chapter 1 | Verse 7] ਕਿਉਂਕਿ ਚਾਹੀਦਾ ਹੈ ਜੋ ਕਲੀਸਿਯਾ ਦਾ ਨਿਗਾਹਬਾਨ ਪਰਮੇਸ਼ੁਰ ਦਾ ਭੰਡਾਰੀ ਹੋਣ ਦੇ ਕਰਕੇ, ਨਿਰਦੋਸ਼ ਹੋਵੇ, ਨਾ ਮਨ ਮਰਜ਼ੀ ਕਰਨ ਵਾਲਾ, ਨਾ ਕ੍ਰੋਧੀ, ਨਾ ਸ਼ਰਾਬੀ, ਨਾ ਝਗੜਾਲੂ, ਨਾ ਝੂਠੇ ਲਾਭ ਦਾ ਲਾਲਚੀ ਹੋਵੇ।
[IRV | PA | NT | Titus | Chapter 1 | Verse 8] ਸਗੋਂ ਪਰਾਹੁਣਚਾਰੀ, ਨੇਕੀ ਦਾ ਪਿਆਰ, ਸਮਝ ਵਾਲਾ, ਧਰਮੀ, ਪਵਿੱਤਰ, ਪਰਹੇਜ਼ਗਾਰ ਹੋਵੇ।
[IRV | PA | NT | Titus | Chapter 1 | Verse 9] ਅਤੇ ਵਿਸ਼ਵਾਸਯੋਗ ਬਚਨ ਨੂੰ ਜਿਹੜਾ ਇਸ ਸਿੱਖਿਆ ਦੇ ਅਨੁਸਾਰ ਹੈ ਫੜੀ ਰੱਖੇ ਭਈ ਉਹ ਖ਼ਰੀ ਸਿੱਖਿਆ ਨਾਲ ਉਪਦੇਸ਼ ਕਰੇ ਅਤੇ ਵਿਵਾਦ ਕਰਨ ਵਾਲਿਆਂ ਨੂੰ ਚੁੱਪ ਕਰਾ ਸਕੇ।
[IRV | PA | NT | Titus | Chapter 1 | Verse 10] ਖ਼ਾਸ ਕਰਕੇ ਜਿਹੜੇ ਸੁੰਨਤੀ ਹਨ ਉਹ ਬਾਹਲੇ ਢੀਠ, ਫਾਲਤੂ ਦੀਆਂ ਗੱਲਾਂ ਕਰਨ ਵਾਲੇ ਅਤੇ ਧੋਖਾ ਦੇਣ ਵਾਲੇ ਹਨ।
[IRV | PA | NT | Titus | Chapter 1 | Verse 11] ਜਿਨ੍ਹਾਂ ਦਾ ਮੂੰਹ ਬੰਦ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ। ਉਹ ਝੂਠੇ ਲਾਭ ਦੇ ਲਈ ਅਜਿਹੀ ਸਿੱਖਿਆ ਦੇ ਕੇ ਘਰਾਂ ਦੇ ਘਰ ਉਜਾੜ ਦਿੰਦੇ ਹਨ।
