[IRV | PA | NT | Titus | Chapter 3 | Verse 1] ਉਨ੍ਹਾਂ ਨੂੰ ਯਾਦ ਕਰਾ ਕਿ ਹਾਕਮਾਂ ਅਤੇ ਅਧਿਕਾਰੀਆਂ ਦੇ ਅਧੀਨ ਹੋਣ ਅਤੇ ਆਗਿਆਕਾਰੀ ਬਣੇ ਰਹਿਣ ਅਤੇ ਹਰੇਕ ਭਲੇ ਕੰਮ ਲਈ ਤਿਆਰ ਰਹਿਣ।
[IRV | PA | NT | Titus | Chapter 3 | Verse 2] ਕਿਸੇ ਦੀ ਬਦਨਾਮੀ ਨਾ ਕਰਨ, ਝਗੜਾਲੂ ਨਹੀਂ ਸਗੋਂ ਨਮਰ ਸੁਭਾਓ ਦੇ ਹੋਣ ਅਤੇ ਸਭ ਮਨੁੱਖਾਂ ਨਾਲ ਪੂਰੀ ਨਰਮਾਈ ਨਾਲ ਵਿਵਹਾਰ ਕਰਨ।
[IRV | PA | NT | Titus | Chapter 3 | Verse 3] ਕਿਉਂ ਜੋ ਪਹਿਲਾਂ ਤਾਂ ਅਸੀਂ ਵੀ ਮੂਰਖ, ਅਣ-ਆਗਿਆਕਾਰੀ, ਧੋਖਾ ਖਾਣ ਵਾਲੇ, ਅਨੇਕ ਪਰਕਾਰ ਦੇ ਬੁਰਿਆਂ ਵਿਸ਼ਿਆਂ ਅਤੇ ਈਰਖਾ ਦਾ ਜੀਵਨ ਬਤੀਤ ਕਰਦੇ ਸੀ, ਅਸੀਂ ਘਿਣਾਉਣੇ ਅਤੇ ਇੱਕ ਦੂਜੇ ਦੇ ਵੈਰੀ ਸੀ।
[IRV | PA | NT | Titus | Chapter 3 | Verse 4] ਪਰ ਜਦੋਂ ਸਾਡੇ ਮੁਕਤੀਦਾਤਾ ਪਰਮੇਸ਼ੁਰ ਦੀ ਕਿਰਪਾ ਅਤੇ ਪਿਆਰ ਜੋ ਮਨੁੱਖਾਂ ਦੇ ਨਾਲ ਸੀ, ਸਾਡੇ ਉੱਤੇ ਪਰਗਟ ਹੋਇਆ।
[IRV | PA | NT | Titus | Chapter 3 | Verse 5] ਤਾਂ ਉਸ ਨੇ ਧਾਰਮਿਕਤਾ ਦੇ ਕੰਮਾਂ ਕਰਕੇ ਨਹੀਂ ਜੋ ਅਸੀਂ ਕੀਤੇ ਸਗੋਂ ਆਪਣੀ ਦਯਾ ਦੇ ਅਨੁਸਾਰ ਨਵੇਂ ਜਨਮ ਦੇ ਇਸ਼ਨਾਨ ਅਤੇ ਪਵਿੱਤਰ ਆਤਮਾ ਵਿੱਚ ਨਵੀਨੀਕਰਨ ਦੁਆਰਾ ਨਵੇਂ ਜਨਮ ਦੇ ਰਾਹੀਂ ਸਾਨੂੰ ਬਚਾਇਆ।
[IRV | PA | NT | Titus | Chapter 3 | Verse 6] ਜਿਸ ਨੂੰ ਉਸ ਨੇ ਸਾਡੇ ਮੁਕਤੀਦਾਤਾ ਯਿਸੂ ਮਸੀਹ ਦੇ ਦੁਆਰਾ ਸਾਡੇ ਉੱਤੇ ਵਧੇਰੇ ਵਹਾਇਆ।
[IRV | PA | NT | Titus | Chapter 3 | Verse 7] ਤਾਂ ਜੋ ਅਸੀਂ ਉਸ ਦੀ ਕਿਰਪਾ ਨਾਲ ਧਰਮੀ ਠਹਿਰ ਕੇ ਸਦੀਪਕ ਜੀਵਨ ਦੀ ਆਸ ਵਿੱਚ ਵਾਰਿਸ ਹੋਈਏ।
[IRV | PA | NT | Titus | Chapter 3 | Verse 8] ਇਹ ਬਚਨ ਸੱਚ ਹੈ ਅਤੇ ਮੈਂ ਇਹੋ ਚਾਹੁੰਦਾ ਹਾਂ ਜੋ ਤੂੰ ਇਨ੍ਹਾਂ ਗੱਲਾਂ ਦੇ ਬਾਰੇ ਦਲੇਰੀ ਨਾਲ ਬੋਲਿਆ ਕਰ ਕਿ ਜਿਨ੍ਹਾਂ ਨੇ ਪਰਮੇਸ਼ੁਰ ਉੱਤੇ ਵਿਸ਼ਵਾਸ ਕੀਤਾ ਹੈ ਉਹ ਭਲੇ ਕੰਮਾਂ ਵਿੱਚ ਲੱਗੇ ਰਹਿਣ। ਇਹ ਗੱਲਾਂ ਭਲੀਆਂ ਅਤੇ ਮਨੁੱਖਾਂ ਦੇ ਲਾਭ ਦੀਆਂ ਹਨ।
[IRV | PA | NT | Titus | Chapter 3 | Verse 9] ਪਰ ਮੂਰਖਤਾ ਦੇ ਸਵਾਲਾਂ ਅਤੇ ਕੁਲਪੱਤ੍ਰੀਆਂ ਅਤੇ ਝਗੜਿਆਂ ਅਤੇ ਉਨ੍ਹਾਂ ਬਖੇੜਿਆਂ ਤੋਂ ਜਿਹੜੇ ਬਿਵਸਥਾ ਦੇ ਬਾਰੇ ਹੋਣ ਉਹਨਾਂ ਤੋਂ ਦੂਰ ਰਹਿ, ਕਿਉਂ ਜੋ ਇਹ ਬੇਫਲ ਅਤੇ ਵਿਅਰਥ ਹਨ।
[IRV | PA | NT | Titus | Chapter 3 | Verse 10] ਜਿਹੜਾ ਮਨੁੱਖ ਪਖੰਡੀ ਹੋਵੇ ਉਸ ਨੂੰ ਇੱਕ ਦੋ ਵਾਰੀ ਚਿਤਾਵਨੀ ਦੇ ਕੇ ਉਸ ਤੋਂ ਦੂਰ ਰਹਿ।
[IRV | PA | NT | Titus | Chapter 3 | Verse 11] ਕਿਉਂ ਜੋ ਤੂੰ ਜਾਣਦਾ ਹੈਂ ਕਿ ਇਹੋ ਜਿਹਾ ਮਨੁੱਖ ਰਾਹ ਤੋਂ ਭਟਕ ਗਿਆ ਹੈ ਅਤੇ ਪਾਪ ਕਰਦਾ, ਆਪਣੇ ਆਪ ਨੂੰ ਦੋਸ਼ੀ ਬਣਾਉਂਦਾ ਹੈ।
[IRV | PA | NT | Titus | Chapter 3 | Verse 12] ਜਦੋਂ ਮੈਂ ਅਰਤਿਮਿਸ ਜਾਂ ਤੁਖਿਕੁਸ ਨੂੰ ਤੇਰੇ ਕੋਲ ਭੇਜਾਂ ਤਾਂ ਤੂੰ ਨਿਕੁਪੁਲਿਸ ਵਿੱਚ ਮੇਰੇ ਕੋਲ ਆਉਣ ਦਾ ਜਤਨ ਕਰੀਂ ਕਿਉਂ ਜੋ ਮੈਂ ਉੱਥੇ ਸਿਆਲ ਕੱਟਣ ਦਾ ਇਰਾਦਾ ਕੀਤਾ ਹੈ।
[IRV | PA | NT | Titus | Chapter 3 | Verse 13] ਉਪਦੇਸ਼ਕ ਜ਼ੇਨਸ ਅਤੇ ਅਪੁੱਲੋਸ ਨੂੰ ਕੋਸ਼ਿਸ਼ ਕਰ ਕੇ ਪਹਿਲਾਂ ਭੇਜ ਦੇਵੀਂ ਕਿ ਉਹਨਾਂ ਨੂੰ ਕਿਸੇ ਵਸਤੂ ਦੀ ਘਾਟ ਨਾ ਹੋਵੇ।
[IRV | PA | NT | Titus | Chapter 3 | Verse 14] ਅਤੇ ਸਾਡੇ ਲੋਕਾਂ ਨੂੰ ਵੀ ਇਹ ਸਿੱਖਣਾ ਚਾਹੀਦਾ ਹੈ ਕਿ ਜ਼ਰੂਰੀ ਲੋੜਾਂ ਪੂਰੀਆਂ ਕਰਨ ਲਈ ਚੰਗੇ ਕੰਮ ਕਰਨ ਵਿੱਚ ਮਨ ਲਾਉਣ ਤਾਂ ਜੋ ਉਹ ਬੇਫਲ ਨਾ ਰਹਿਣ।
