[IRV | PA | NT | Titus | Chapter 2 | Verse 1] ਪਰ ਤੂੰ ਉਹ ਬਚਨ ਆਖੀਂ ਜੋ ਖਰੀ ਸਿੱਖਿਆ ਦੇ ਨਾਲ ਮੇਲ ਖਾਂਦੇ ਹੋਣ।
[IRV | PA | NT | Titus | Chapter 2 | Verse 2] ਜੋ ਬਜ਼ੁਰਗ ਪਰਹੇਜ਼ਗਾਰ, ਗੰਭੀਰ, ਸੁਰਤ ਵਾਲੇ, ਵਿਸ਼ਵਾਸ, ਪਿਆਰ ਅਤੇ ਸਹਿਣਸ਼ੀਲਤਾ ਵਿੱਚ ਮਜ਼ਬੂਤ ਹੋਣ।
[IRV | PA | NT | Titus | Chapter 2 | Verse 3] ਇਸੇ ਪਰਕਾਰ ਬਜ਼ੁਰਗ ਔਰਤਾਂ ਦਾ ਚਾਲ-ਚਲਣ ਵੀ ਆਦਰ ਵਾਲਾ ਹੋਵੇ, ਉਹ ਨਾ ਦੋਸ਼ ਲਾਉਣ ਵਾਲੀਆਂ, ਨਾ ਸ਼ਰਾਬ ਪੀਣ ਵਾਲੀਆਂ ਸਗੋਂ ਚੰਗੀਆਂ ਗੱਲਾਂ ਦੀ ਸਿੱਖਿਆ ਦੇਣ ਵਾਲੀਆਂ ਹੋਣ।
[IRV | PA | NT | Titus | Chapter 2 | Verse 4] ਭਈ ਜਵਾਨ ਇਸਤਰੀਆਂ ਨੂੰ ਅਜਿਹੀ ਸਿੱਖਿਆ ਦੇਣ, ਜੋ ਓਹ ਆਪਣੇ ਪਤੀਆਂ ਅਤੇ ਬੱਚਿਆਂ ਨਾਲ ਪਿਆਰ ਕਰਨ।
[IRV | PA | NT | Titus | Chapter 2 | Verse 5] ਸਮਝਦਾਰ, ਪਵਿੱਤਰ, ਘਰ ਸੰਭਾਲਣ ਵਾਲੀਆਂ, ਨੇਕ ਅਤੇ ਆਪਣੇ ਪਤੀਆਂ ਦੇ ਅਧੀਨ ਹੋਣ ਤਾਂ ਜੋ ਪਰਮੇਸ਼ੁਰ ਦੇ ਬਚਨ ਦੀ ਨਿੰਦਿਆ ਨਾ ਹੋਵੇ।
[IRV | PA | NT | Titus | Chapter 2 | Verse 6] ਇਸੇ ਤਰ੍ਹਾਂ ਨੌਜਵਾਨਾਂ ਨੂੰ ਸਮਝਾ ਜੋ ਬਹੁਤੇ ਕਾਹਲੇ ਨਾ ਹੋਣ।
[IRV | PA | NT | Titus | Chapter 2 | Verse 7] ਅਤੇ ਤੂੰ ਸਭ ਗੱਲਾਂ ਵਿੱਚ ਆਪਣੇ ਆਪ ਨੂੰ ਭਲੇ ਕੰਮਾਂ ਦਾ ਚੰਗਾ ਨਮੂਨਾ ਬਣਾ। ਤੇਰੀ ਸਿੱਖਿਆ ਗੰਭੀਰਤਾਈ ਅਤੇ ਸਚਿਆਈ ਨਾਲ ਹੋਵੇ।
[IRV | PA | NT | Titus | Chapter 2 | Verse 8] ਤੇਰੇ ਬਚਨਾਂ ਵਿੱਚ ਖਰਿਆਈ ਹੋਵੇ ਤਾਂ ਜੋ ਵਿਰੋਧੀ ਨੂੰ ਸਾਡੇ ਉੱਤੇ ਦੋਸ਼ ਲਾਉਣ ਦਾ ਮੌਕਾ ਨਾ ਮਿਲੇ ਅਤੇ ਉਹ ਸ਼ਰਮਿੰਦੇ ਹੋਣ।
[IRV | PA | NT | Titus | Chapter 2 | Verse 9] ਨੌਕਰਾਂ ਨੂੰ ਸਮਝਾ ਕਿ ਉਹ ਆਪਣੇ ਮਾਲਕਾਂ ਦੀ ਹਰੇਕ ਗੱਲ ਮੰਨਣ ਅਤੇ ਉਹਨਾਂ ਦੇ ਮਨਭਾਉਂਦੇ ਕੰਮ ਕਰਨ।
[IRV | PA | NT | Titus | Chapter 2 | Verse 10] ਚੋਰੀ ਚਲਾਕੀ ਨਾ ਕਰਨ ਸਗੋਂ ਪੂਰੀ ਜ਼ਿੰਮੇਵਾਰੀ ਵਿਖਾਉਣ ਜੋ ਸਾਰੀਆਂ ਗੱਲਾਂ ਵਿੱਚ ਸਾਡੇ ਮੁਕਤੀਦਾਤਾ ਪਰਮੇਸ਼ੁਰ ਦੀ ਸਿੱਖਿਆ ਨੂੰ ਸ਼ੋਭਾ ਮਿਲੇ।
[IRV | PA | NT | Titus | Chapter 2 | Verse 11] ਕਿਉਂ ਜੋ ਪਰਮੇਸ਼ੁਰ ਦੀ ਕਿਰਪਾ ਸਭਨਾਂ ਮਨੁੱਖਾਂ ਦੀ ਮੁਕਤੀ ਲਈ ਪਰਗਟ ਹੋਈ।
[IRV | PA | NT | Titus | Chapter 2 | Verse 12] ਅਤੇ ਇਹ ਕਿਰਪਾ ਸਾਨੂੰ ਚਿਤਾਵਨੀ ਦਿੰਦੀ ਹੈ ਕਿ ਅਸੀਂ ਅਭਗਤੀ ਅਤੇ ਸੰਸਾਰੀ ਵਿਸ਼ਿਆਂ ਤੋਂ ਮਨ ਫਿਰਾ ਕੇ ਇਸ ਵਰਤਮਾਨ ਸਮੇਂ ਵਿੱਚ ਸਮਝ, ਧਾਰਮਿਕਤਾ ਅਤੇ ਭਗਤੀ ਨਾਲ ਜ਼ਿੰਦਗੀ ਨੂੰ ਬਤੀਤ ਕਰੀਏ।
[IRV | PA | NT | Titus | Chapter 2 | Verse 13] ਅਤੇ ਉਸ ਪਵਿੱਤਰ ਆਸ ਦੀ ਅਤੇ ਆਪਣੇ ਮਹਾਨ ਪਰਮੇਸ਼ੁਰ ਅਤੇ ਮੁਕਤੀਦਾਤਾ ਯਿਸੂ ਮਸੀਹ ਦੀ ਮਹਿਮਾ ਦੇ ਪਰਗਟ ਹੋਣ ਦੀ ਉਡੀਕ ਕਰੀਏ।
[IRV | PA | NT | Titus | Chapter 2 | Verse 14] ਜਿਸ ਨੇ ਆਪਣੇ ਆਪ ਨੂੰ ਸਾਡੇ ਲਈ ਦੇ ਦਿੱਤਾ ਕਿ ਸਾਰੇ ਕੁਧਰਮ ਤੋਂ ਸਾਡਾ ਛੁਟਕਾਰਾ ਕਰੇ ਅਤੇ ਆਪਣੇ ਲਈ ਇੱਕ ਖ਼ਾਸ ਕੌਮ ਨੂੰ ਪਵਿੱਤਰ ਕਰੇ ਜੋ ਭਲੇ ਕੰਮਾਂ ਵਿੱਚ ਲੱਗੀ ਰਹੇ।
[IRV | PA | NT | Titus | Chapter 2 | Verse 15] ਇਹਨਾਂ ਬਚਨਾਂ ਅਤੇ ਪੂਰੇ ਅਧਿਕਾਰ ਨਾਲ ਆਗਿਆ ਦੇ ਅਤੇ ਸਿਖਾਉਂਦਾ ਰਹਿ l ਕੋਈ ਤੈਨੂੰ ਤੁਛ ਨਾ ਜਾਣੇ।
