[IRV | ML | NT | Revelation | Chapter 17 | Verse 1] പിന്നെ ഏഴു കലശമുള്ള ഏഴു ദൂതന്മാരിൽ ഒരുവൻ വന്നു എന്നോടു സംസാരിച്ചു: വരിക, ഭൂമിയിലെ രാജാക്കന്മാരോടു വേശ്യാവൃത്തി ചെയ്തു തന്റെ വേശ്യാവൃത്തിയുടെ മദ്യത്താൽ
[IRV | ML | NT | Revelation | Chapter 17 | Verse 2] ഭൂവാസികളെ മത്തരാക്കിയവളായി പെരുവെള്ളത്തിന്മീതെ ഇരിക്കുന്ന മഹാവേശ്യയുടെ ന്യായവിധി ഞാൻ കാണിച്ചുതരാം എന്നു പറഞ്ഞു.
[IRV | ML | NT | Revelation | Chapter 17 | Verse 3] അവൻ എന്നെ ആത്മാവിൽ മരുഭൂമിയിലേക്കു കൊണ്ടുപോയി. അപ്പോൾ ഏഴു തലയും പത്തു കൊമ്പും ഉള്ളതായി ദൂഷണനാമങ്ങൾ നിറഞ്ഞു കടുഞ്ചുവപ്പുള്ളോരു മൃഗത്തിന്മേൽ ഒരു സ്ത്രീ ഇരിക്കുന്നതു ഞാൻ കണ്ടു.
[IRV | ML | NT | Revelation | Chapter 17 | Verse 4] ആ സ്ത്രീ ധൂമ്രവർണ്ണവും കടുഞ്ചുവപ്പു നിറവും ഉള്ള വസ്ത്രം ധരിച്ചു പൊന്നും രത്നവും മുത്തും അണിഞ്ഞവളായി തന്റെ വേശ്യവൃത്തിയുടെ മ്ലേച്ഛതയും അശുദ്ധിയും നിറഞ്ഞ സ്വർണ്ണപാനപാത്രം കയ്യിൽ പിടിച്ചിരുന്നു.
[IRV | ML | NT | Revelation | Chapter 17 | Verse 5] മർമ്മം: മഹതിയാം ബാബിലോൻ; വേശ്യമാരുടെയും മ്ലേച്ഛതകളുടെയും മാതാവു എന്നൊരു പേർ അവളുടെ നെറ്റിയിൽ എഴുതീട്ടുണ്ടു.
[IRV | ML | NT | Revelation | Chapter 17 | Verse 6] വിശുദ്ധന്മാരുടെ രക്തവും യേശുവിന്റെ സാക്ഷികളുടെ രക്തവും കുടിച്ചു സ്ത്രീ മത്തയായിരിക്കുന്നതു ഞാൻ കണ്ടു; അവളെ കണ്ടിട്ടു അത്യന്തം ആശ്ചര്യപ്പെട്ടു.
[IRV | ML | NT | Revelation | Chapter 17 | Verse 7] ദൂതൻ എന്നോടു പറഞ്ഞതു: നീ ആശ്ചര്യപ്പെടുന്നതു എന്തു? ഈ സ്ത്രീയുടെയും ഏഴു തലയും പത്തു കൊമ്പും ഉള്ളതായി അവളെ ചുമക്കുന്ന മൃഗത്തിന്റെയും മർമ്മം ഞാൻ പറഞ്ഞുതരാം.
[IRV | ML | NT | Revelation | Chapter 17 | Verse 8] നീ കണ്ട മൃഗമോ ഉണ്ടായിരുന്നതും ഇപ്പോൾ ഇല്ലാത്തതും ഇനി അഗാധത്തിൽനിന്നു കയറി നാശത്തിലേക്കു പോകുവാൻ ഇരിക്കുന്നതും ആകുന്നു; ഉണ്ടായിരുന്നതും ഇല്ലാത്തതും വരുവാനുള്ളതുമായ മൃഗത്തെ ലോകസ്ഥാപനം മുതൽ ജീവപുസ്തകത്തിൽ പേർ എഴുതാതിരിക്കുന്ന ഭൂവാസികൾ കണ്ടു അതിശയിക്കും.
[IRV | ML | NT | Revelation | Chapter 17 | Verse 9] ഇവിടെ ജ്ഞാന ബുദ്ധി ഉണ്ടു; തല ഏഴും സ്ത്രീ ഇരിക്കുന്ന ഏഴു മലയാകുന്നു.
[IRV | ML | NT | Revelation | Chapter 17 | Verse 10] അവ ഏഴു രാജാക്കന്മാരും ആകുന്നു; അഞ്ചുപേർ വീണുപോയി; ഒരുത്തൻ ഉണ്ടു; മറ്റവൻ ഇതുവരെ വന്നിട്ടില്ല; വന്നാൽ പിന്നെ അവൻ കുറഞ്ഞോന്നു ഇരിക്കേണ്ടതാകുന്നു.
[IRV | ML | NT | Revelation | Chapter 17 | Verse 11] ഉണ്ടായിരുന്നതും ഇല്ലാത്തതുമായ മൃഗം എട്ടാമത്തവനും എഴുവരിൽ ഉൾപ്പെട്ടവനും തന്നേ; അവൻ നാശത്തിലേക്കു പോകുന്നു.
[IRV | ML | NT | Revelation | Chapter 17 | Verse 12] നീ കണ്ട പത്തു കൊമ്പു പത്തു രാജാക്കന്മാർ; അവർ ഇതുവരെ രാജത്വം പ്രാപിച്ചിട്ടില്ല; മൃഗത്തോടു ഒന്നിച്ചു ഒരു നാഴിക നേരത്തേക്കു രാജാക്കന്മാരേപ്പോലെ അധികാരം പ്രാപിക്കും താനും.
[IRV | ML | NT | Revelation | Chapter 17 | Verse 13] ഇവർ ഒരേ അഭിപ്രായമുള്ളവർ; തങ്ങളുടെ ശക്തിയും അധികാരവും മൃഗത്തിന്നു ഏല്പിച്ചുകൊടുക്കുന്നു.
[IRV | ML | NT | Revelation | Chapter 17 | Verse 14] അവർ കുഞ്ഞാടിനോടു പോരാടും; താൻ കർത്താധികർത്താവും രാജാധിരാജാവും ആകകൊണ്ടു കുഞ്ഞാടു തന്നോടുകൂടെയുള്ള വിളിക്കപ്പെട്ടവരും തിരഞ്ഞെടുക്കപ്പെട്ടവരും വിശ്വസ്തരുമായി അവരെ ജയിക്കും.
[IRV | ML | NT | Revelation | Chapter 17 | Verse 15] പിന്നെ അവൻ എന്നോടു പറഞ്ഞതു: നീ കണ്ടതും വേശ്യ ഇരിക്കുന്നതുമായ വെള്ളം വംശങ്ങളും പുരുഷാരങ്ങളും ജാതികളും ഭാഷകളും അത്രേ.
[IRV | ML | NT | Revelation | Chapter 17 | Verse 16] നീ കണ്ട പത്തു കൊമ്പും മൃഗവും വേശ്യയെ ദ്വേഷിച്ചു ശൂന്യവും നഗ്നവുമാക്കി അവളുടെ മാംസം തിന്നുകളയും; അവളെ തീകൊണ്ടു ദഹിപ്പിക്കയും ചെയ്യും.
[IRV | ML | NT | Revelation | Chapter 17 | Verse 17] ദൈവത്തിന്റെ വചനം നിവൃത്തിയാകുവോളം തന്റെ ഹിതം ചെയ്‌വാനും ഒരേ അഭിപ്രായം നടത്തുവാനും തങ്ങടെ രാജത്വം മൃഗത്തിന്നു കൊടുപ്പാനും ദൈവം അവരുടെ ഹൃദയത്തിൽ തോന്നിച്ചു.
[IRV | ML | NT | Revelation | Chapter 17 | Verse 18] നീ കണ്ട സ്ത്രീയോ ഭൂരാജാക്കന്മാരുടെ മേൽ രാജത്വമുള്ള മഹാനഗരം തന്നേ.
