[ERV | EN | OT | Song of Solomon | Chapter 3 | Verse 1] By night on my bed I sought him whom my soul loveth: I sought him, but I found him not.
[ERV | EN | OT | Song of Solomon | Chapter 3 | Verse 2] I said, I will rise now, and go about the city, in the streets and in the broad ways, I will seek him whom my soul loveth: I sought him, but I found him not.
[ERV | EN | OT | Song of Solomon | Chapter 3 | Verse 3] The watchmen that go about the city found me: to whom I said, Saw ye him whom my soul loveth?
[ERV | EN | OT | Song of Solomon | Chapter 3 | Verse 4] It was but a little that I passed from them, when I found him whom my soul loveth: I held him, and would not let him go, until I had brought him into my mother’s house, and into the chamber of her that conceived me.
[ERV | EN | OT | Song of Solomon | Chapter 3 | Verse 5] I adjure you, O daughters of Jerusalem, by the roes, and by the hinds of the field, that ye stir not up, nor awaken love, until it please.
[ERV | EN | OT | Song of Solomon | Chapter 3 | Verse 6] Who is this that cometh up out of the wilderness like pillars of smoke, perfumed with myrrh and frankincense, with all powders of the merchant?
[ERV | EN | OT | Song of Solomon | Chapter 3 | Verse 7] Behold, it is the litter of Solomon; threescore mighty men are about it, of the mighty men of Israel.
[ERV | EN | OT | Song of Solomon | Chapter 3 | Verse 8] They all handle the sword, and are expert in war: every man hath his sword upon his thigh, because of fear in the night.
[ERV | EN | OT | Song of Solomon | Chapter 3 | Verse 9] King Solomon made himself a palanquin of the wood of Lebanon.
[ERV | EN | OT | Song of Solomon | Chapter 3 | Verse 10] He made the pillars thereof of silver, the bottom thereof of gold, the seat of it of purple, the midst thereof being paved with love, from the daughters of Jerusalem.
[ERV | EN | OT | Song of Solomon | Chapter 3 | Verse 11] Go forth, O ye daughters of Zion, and behold king Solomon, with the crown wherewith his mother hath crowned him in the day of his espousals, and in the day of the gladness of his heart.
