[ERV | EN | OT | Song of Solomon | Chapter 1 | Verse 1] The Song of songs, which is Solomon’s.
[ERV | EN | OT | Song of Solomon | Chapter 1 | Verse 2] Let him kiss me with the kisses of his mouth: for thy love is better than wine.
[ERV | EN | OT | Song of Solomon | Chapter 1 | Verse 3] Thine ointments have a goodly fragrance; thy name is as ointment poured forth; therefore do the virgins love thee.
[ERV | EN | OT | Song of Solomon | Chapter 1 | Verse 4] Draw me; we will run after thee: the king hath brought me into his chambers: we will be glad and rejoice in thee, we will make mention of thy love more than of wine: rightly do they love thee.
[ERV | EN | OT | Song of Solomon | Chapter 1 | Verse 5] I am black, but comely, O ye daughters of Jerusalem, as the tents of Kedar, as the curtains of Solomon.
[ERV | EN | OT | Song of Solomon | Chapter 1 | Verse 6] Look not upon me, because I am swarthy, because the sun hath scorched me. My mother’s sons were incensed against me, they made me keeper of the vineyards; but mine own vineyard have I not kept.
[ERV | EN | OT | Song of Solomon | Chapter 1 | Verse 7] Tell me, O thou whom my soul loveth, where thou feedest thy flock, where thou makest it to rest at noon: for why should I be as one that is veiled beside the flocks of thy companions?
[ERV | EN | OT | Song of Solomon | Chapter 1 | Verse 8] If thou know not, O thou fairest among women, go thy way forth by the footsteps of the flock, and feed thy kids beside the shepherds’ tents.
[ERV | EN | OT | Song of Solomon | Chapter 1 | Verse 9] I have compared thee, O my love, to a steed in Pharaoh’s chariots.
[ERV | EN | OT | Song of Solomon | Chapter 1 | Verse 10] Thy cheeks are comely with plaits of hair, thy neck with strings of jewels
[ERV | EN | OT | Song of Solomon | Chapter 1 | Verse 11] We will make thee plaits of gold with studs of silver.
[ERV | EN | OT | Song of Solomon | Chapter 1 | Verse 12] While the king sat at his table, my spikenard sent forth its fragrance.
[ERV | EN | OT | Song of Solomon | Chapter 1 | Verse 13] My beloved is unto me as a bundle of myrrh, that lieth betwixt my breasts.
[ERV | EN | OT | Song of Solomon | Chapter 1 | Verse 14] My beloved is unto me as a cluster of henna-flowers in the vineyards of En-gedi.
[ERV | EN | OT | Song of Solomon | Chapter 1 | Verse 15] Behold, thou art fair, my love; behold, thou art fair; thine eyes are as doves.
[ERV | EN | OT | Song of Solomon | Chapter 1 | Verse 16] Behold, thou art fair, my beloved, yea, pleasant: also our couch is green.
[ERV | EN | OT | Song of Solomon | Chapter 1 | Verse 17] The beams of our house are cedars, and our rafters are firs.
